file,task,gold_clauses,auto_clauses,canonical_words,tp,fp,fn,tn,n_positions,precision,recall,f1,kappa,n_correct,n_sub,n_del,n_ins,wer
ALL_001_F_GER_ENG_ST1,ST1,32,28,213,24,3,7,179,213,0.8888888888888888,0.7741935483870968,0.8275862068965517,0.800561797752809,191,3,19,0,0.103
ALL_003_F_RUS_ENG_ST2,ST2,94,95,502,81,13,12,402,508,0.8617021276595744,0.8709677419354839,0.8663101604278075,0.8361544018990608,471,14,17,6,0.074
ALL_005_M_CMN_ENG_ST1,ST1,33,35,207,29,5,3,171,208,0.8529411764705882,0.90625,0.8787878787878787,0.8559556786703603,174,18,15,1,0.164
ALL_008_F_PBR_ENG_ST2,ST2,30,29,170,24,4,5,140,173,0.8571428571428571,0.8275862068965517,0.8421052631578947,0.8109748694913195,144,14,12,3,0.171
ALL_010_M_RUS_ENG_ST1,ST1,59,57,387,50,6,8,324,388,0.8928571428571429,0.8620689655172413,0.8771929824561403,0.856052575789697,360,10,17,1,0.072
ALL_013_M_JPN_ENG_ST2,ST2,27,30,221,17,12,9,194,232,0.5862068965517241,0.6538461538461539,0.6181818181818182,0.5670103092783504,188,7,26,11,0.199
ALL_014_M_TUR_ENG_ST2,ST2,51,51,297,44,6,6,254,310,0.88,0.88,0.88,0.8569230769230769,266,17,14,13,0.148
ALL_018_F_CMN_ENG_ST1,ST1,49,51,282,46,4,2,233,285,0.92,0.9583333333333334,0.9387755102040817,0.926070038910506,271,6,5,3,0.05
ALL_023_M_KOR_ENG_ST1,ST1,15,14,106,11,2,3,90,106,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.787830264211369,77,12,17,0,0.274
ALL_029_M_TUR_ENG_ST1,ST1,28,28,153,24,3,3,123,153,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8650793650793652,147,2,4,0,0.039
ALL_031_M_VIE_ENG_ST2,ST2,28,31,200,22,8,5,166,201,0.7333333333333333,0.8148148148148148,0.7719298245614035,0.7343702348276913,168,4,28,1,0.165
ALL_034_M_HIN_ENG_ST1,ST1,33,27,153,23,3,9,120,155,0.8846153846153846,0.71875,0.7931034482758621,0.7461097461097461,149,4,0,2,0.039
ALL_034_M_HIN_ENG_ST2,ST2,19,20,101,18,1,0,83,102,0.9473684210526315,1.0,0.972972972972973,0.966990291262136,100,0,1,1,0.02
ALL_039_M_CMN_ENG_ST2,ST2,26,23,205,18,4,7,181,210,0.8181818181818182,0.72,0.7659574468085107,0.736602052451539,151,19,35,5,0.288
