file,task,n_pauses,n_agree,accuracy,gold_clauses_mapped
ALL_001_F_GER_ENG_ST1,ST1,71,66,0.9296,32
ALL_003_F_RUS_ENG_ST2,ST2,147,140,0.9524,94
ALL_005_M_CMN_ENG_ST1,ST1,63,59,0.9365,33
ALL_008_F_PBR_ENG_ST2,ST2,65,60,0.9231,30
ALL_010_M_RUS_ENG_ST1,ST1,99,93,0.9394,59
ALL_013_M_JPN_ENG_ST2,ST2,92,79,0.8587,27
ALL_014_M_TUR_ENG_ST2,ST2,76,71,0.9342,51
ALL_018_F_CMN_ENG_ST1,ST1,89,86,0.9663,49
ALL_023_M_KOR_ENG_ST1,ST1,35,33,0.9429,15
ALL_029_M_TUR_ENG_ST1,ST1,34,31,0.9118,28
ALL_031_M_VIE_ENG_ST2,ST2,57,51,0.8947,28
ALL_034_M_HIN_ENG_ST1,ST1,25,24,0.96,33
ALL_034_M_HIN_ENG_ST2,ST2,21,21,1.0,19
ALL_039_M_CMN_ENG_ST2,ST2,77,65,0.8442,26
ALL_043_M_CMN_ENG_ST2,ST2,52,42,0.8077,24
ALL_044_F_FRA_ENG_ST1,ST1,50,50,1.0,27
ALL_044_F_FRA_ENG_ST2,ST2,42,39,0.9286,23
ALL_046_F_FAR_ENG_ST1,ST1,15,14,0.9333,16
ALL_047_M_FAR_ENG_ST2,ST2,46,44,0.9565,35
ALL_074_F_CCT_ENG_ST2,ST2,33,32,0.9697,12
ALL_075_F_CCT_ENG_ST1,ST1,62,56,0.9032,27
ALL_078_F_CCT_ENG_ST2,ST2,50,46,0.92,23
ALL_087_M_CCT_ENG_ST1,ST1,47,42,0.8936,26
ALL_091_M_TUR_ENG_ST2,ST2,80,78,0.975,30
ALL_096_F_KOR_ENG_ST2,ST2,74,64,0.8649,66
ALL_097_F_KOR_ENG_ST2,ST2,41,33,0.8049,29
ALL_098_M_GER_ENG_ST2,ST2,13,12,0.9231,18
ALL_099_M_SHS_ENG_ST1,ST1,12,12,1.0,16
ALL_100_F_SHS_ENG_ST1,ST1,25,25,1.0,30
ALL_100_F_SHS_ENG_ST2,ST2,25,23,0.92,23
ALL_102_M_SHS_ENG_ST2,ST2,19,15,0.7895,26
ALL_104_M_SHS_ENG_ST2,ST2,31,28,0.9032,36
ALL_112_F_KOR_ENG_ST1,ST1,36,32,0.8889,25
ALL_113_M_JPN_ENG_ST1,ST1,41,40,0.9756,17
ALL_124_M_SHS_ENG_ST1,ST1,6,5,0.8333,12
ALL_126_M_TUR_ENG_ST1,ST1,33,29,0.8788,13
ALL_139_M_PBR_ENG_ST1,ST1,35,32,0.9143,22
ALL_146_F_VIE_ENG_ST1,ST1,14,14,1.0,11
ALL_151_M_HEB_ENG_ST1,ST1,30,27,0.9,24
ALL_151_M_HEB_ENG_ST2,ST2,39,39,1.0,35
