AR,SR,MLR,MCPR,ECPR,PR,MCPD,ECPD,MPD,total_syllables,total_duration,phonation_time,n_pauses,n_mid_clause_pauses,n_end_clause_pauses,n_clauses,clf_pause_candidates,clf_pauses_split,clf_vad_islands_detected,clf_islands_scored,clf_predicted_speech_islands,clf_fallback_vad_islands_used,clf_refined_pause_count,file
2.882,1.645,3.86,0.163,0.1074,0.2704,0.904,1.057,0.965,270,164.11,93.67,73,44,29,28,71,13,72,26,16,15,73,ALL_001_F_GER_ENG_ST1.TextGrid
3.935,1.979,4.66,0.1015,0.1147,0.2162,0.768,1.512,1.163,680,343.69,172.8,147,69,78,95,147,9,153,26,12,20,147,ALL_003_F_RUS_ENG_ST2.TextGrid
2.967,1.754,3.79,0.1872,0.0894,0.2766,0.677,1.188,0.842,235,133.95,79.21,65,44,21,35,63,11,73,29,15,15,65,ALL_005_M_CMN_ENG_ST1.TextGrid
2.905,1.774,3.55,0.1674,0.1233,0.2907,0.661,0.882,0.755,227,127.97,78.13,66,38,28,29,65,7,67,16,8,9,66,ALL_008_F_PBR_ENG_ST2.TextGrid
3.873,2.287,5.39,0.1023,0.0852,0.1875,0.731,1.225,0.955,528,230.89,136.33,99,54,45,57,99,3,103,7,5,5,99,ALL_010_M_RUS_ENG_ST1.TextGrid
2.972,1.828,3.48,0.205,0.0883,0.2934,0.597,0.997,0.718,317,173.4,106.66,93,65,28,30,92,10,91,25,12,19,93,ALL_013_M_JPN_ENG_ST2.TextGrid
3.685,2.501,5.17,0.1057,0.0954,0.201,0.681,0.592,0.639,388,155.13,105.31,78,41,37,51,76,11,81,22,12,12,78,ALL_014_M_TUR_ENG_ST2.TextGrid
2.957,1.907,3.93,0.1243,0.1329,0.2572,0.432,0.996,0.723,346,181.4,117.02,89,43,46,51,89,0,88,1,0,0,89,ALL_018_F_CMN_ENG_ST1.TextGrid
2.946,1.647,3.56,0.1983,0.1074,0.3058,0.695,1.209,0.876,121,73.47,41.07,37,24,13,14,35,3,38,6,3,2,37,ALL_023_M_KOR_ENG_ST1.TextGrid
4.878,2.826,5.36,0.096,0.1017,0.1977,0.673,0.828,0.753,177,62.63,36.29,35,17,18,28,34,2,35,4,4,4,35,ALL_029_M_TUR_ENG_ST1.TextGrid
