AR,SR,MLR,MCPR,ECPR,PR,MCPD,ECPD,MPD,total_syllables,total_duration,phonation_time,n_pauses,n_mid_clause_pauses,n_end_clause_pauses,n_clauses,vad_pause_candidates,vad_pauses_split,vad_speech_islands,vad_refined_pause_count,file,audio_path
2.85,1.645,3.86,0.1556,0.1111,0.2667,0.915,1.031,0.964,270,164.11,94.73,72,42,30,28,71,15,17,72,ALL_001_F_GER_ENG_ST1.TextGrid,en\data\allsstar_full_manual\wav\ALL_001_F_GER_ENG_ST1.wav
3.881,1.979,4.66,0.1015,0.1147,0.2162,0.762,1.486,1.146,680,343.69,175.2,147,69,78,95,147,12,16,147,ALL_003_F_RUS_ENG_ST2.TextGrid,en\data\allsstar_full_manual\wav\ALL_003_F_RUS_ENG_ST2.wav
2.885,1.754,3.79,0.1872,0.0894,0.2766,0.674,1.086,0.807,235,133.95,81.47,65,44,21,35,63,14,22,65,ALL_005_M_CMN_ENG_ST1.TextGrid,en\data\allsstar_full_manual\wav\ALL_005_M_CMN_ENG_ST1.wav
2.845,1.774,3.55,0.1674,0.1233,0.2907,0.63,0.866,0.73,227,127.97,79.78,66,38,28,29,65,8,15,66,ALL_008_F_PBR_ENG_ST2.TextGrid,en\data\allsstar_full_manual\wav\ALL_008_F_PBR_ENG_ST2.wav
3.888,2.287,5.39,0.1023,0.0871,0.1894,0.729,1.212,0.951,528,230.89,135.79,100,54,46,57,99,4,5,100,ALL_010_M_RUS_ENG_ST1.TextGrid,en\data\allsstar_full_manual\wav\ALL_010_M_RUS_ENG_ST1.wav
2.926,1.828,3.48,0.205,0.0883,0.2934,0.58,0.978,0.7,317,173.4,108.32,93,65,28,30,92,13,14,93,ALL_013_M_JPN_ENG_ST2.TextGrid,en\data\allsstar_full_manual\wav\ALL_013_M_JPN_ENG_ST2.wav
3.598,2.501,5.17,0.1031,0.0954,0.1985,0.65,0.576,0.614,388,155.13,107.83,77,40,37,51,76,15,15,77,ALL_014_M_TUR_ENG_ST2.TextGrid,en\data\allsstar_full_manual\wav\ALL_014_M_TUR_ENG_ST2.wav
2.957,1.907,3.93,0.1243,0.1329,0.2572,0.432,0.996,0.723,346,181.4,117.02,89,43,46,51,89,0,0,89,ALL_018_F_CMN_ENG_ST1.TextGrid,en\data\allsstar_full_manual\wav\ALL_018_F_CMN_ENG_ST1.wav
2.932,1.647,3.56,0.1983,0.124,0.3223,0.699,1.028,0.826,121,73.47,41.27,39,24,15,14,35,3,5,39,ALL_023_M_KOR_ENG_ST1.TextGrid,en\data\allsstar_full_manual\wav\ALL_023_M_KOR_ENG_ST1.wav
4.969,2.826,5.36,0.0904,0.1017,0.1921,0.757,0.828,0.794,177,62.63,35.62,34,16,18,28,34,1,1,34,ALL_029_M_TUR_ENG_ST1.TextGrid,en\data\allsstar_full_manual\wav\ALL_029_M_TUR_ENG_ST1.wav
