AR,SR,MLR,MCPR,ECPR,PR,MCPD,ECPD,MPD,total_syllables,total_duration,phonation_time,n_pauses,n_mid_clause_pauses,n_end_clause_pauses,n_clauses,clf_pause_candidates,clf_pauses_split,clf_predicted_speech_islands,clf_refined_pause_count,file
2.705,1.645,3.86,0.1407,0.0852,0.2259,1.032,1.091,1.054,270,164.11,99.8,61,38,23,28,71,10,10,61,ALL_001_F_GER_ENG_ST1.TextGrid
3.77,1.979,4.66,0.0985,0.1044,0.2029,0.771,1.573,1.184,680,343.69,180.35,138,67,71,95,147,9,9,138,ALL_003_F_RUS_ENG_ST2.TextGrid
3.21,1.754,3.79,0.183,0.0851,0.2681,0.803,1.311,0.964,235,133.95,73.2,63,43,20,35,63,0,0,63,ALL_005_M_CMN_ENG_ST1.TextGrid
2.912,1.774,3.55,0.163,0.1057,0.2687,0.692,1.018,0.82,227,127.97,77.96,61,37,24,29,65,4,4,61,ALL_008_F_PBR_ENG_ST2.TextGrid
3.734,2.287,5.39,0.0947,0.0814,0.1761,0.716,1.249,0.962,528,230.89,141.39,93,50,43,57,99,6,6,93,ALL_010_M_RUS_ENG_ST1.TextGrid
2.959,1.828,3.48,0.1956,0.0852,0.2808,0.627,1.014,0.745,317,173.4,107.13,89,62,27,30,92,3,3,89,ALL_013_M_JPN_ENG_ST2.TextGrid
3.731,2.501,5.17,0.0979,0.0928,0.1907,0.773,0.604,0.691,388,155.13,103.99,74,38,36,51,76,2,2,74,ALL_014_M_TUR_ENG_ST2.TextGrid
2.833,1.907,3.93,0.1214,0.1214,0.2428,0.419,0.992,0.705,346,181.4,122.15,84,42,42,51,89,5,5,84,ALL_018_F_CMN_ENG_ST1.TextGrid
2.895,1.647,3.56,0.1901,0.0826,0.2727,0.74,1.465,0.96,121,73.47,41.8,33,23,10,14,35,2,2,33,ALL_023_M_KOR_ENG_ST1.TextGrid
4.694,2.826,5.36,0.0847,0.096,0.1808,0.742,0.811,0.779,177,62.63,37.71,32,15,17,28,34,2,2,32,ALL_029_M_TUR_ENG_ST1.TextGrid
3.302,1.982,4.77,0.1236,0.0824,0.206,0.9,1.099,0.979,267,134.73,80.86,55,33,22,31,57,2,2,55,ALL_031_M_VIE_ENG_ST2.TextGrid
4.0,2.674,7.75,0.0591,0.0699,0.129,1.175,0.781,0.961,186,69.57,46.5,24,11,13,27,25,1,1,24,ALL_034_M_HIN_ENG_ST1.TextGrid
3.929,2.839,6.62,0.0719,0.0719,0.1439,0.681,0.678,0.679,139,48.97,35.38,20,10,10,20,21,1,1,20,ALL_034_M_HIN_ENG_ST2.TextGrid
3.354,1.747,3.29,0.216,0.084,0.3,0.84,1.106,0.915,250,143.14,74.54,75,54,21,23,77,2,2,75,ALL_039_M_CMN_ENG_ST2.TextGrid
3.005,2.029,4.23,0.1318,0.0909,0.2227,0.658,0.807,0.719,220,108.43,73.21,49,29,20,27,52,3,3,49,ALL_043_M_CMN_ENG_ST2.TextGrid
3.382,1.901,4.43,0.1106,0.1106,0.2212,0.712,1.372,1.042,217,114.18,64.16,48,24,24,25,50,2,2,48,ALL_044_F_FRA_ENG_ST1.TextGrid
3.273,2.252,5.29,0.1106,0.0645,0.1751,0.801,0.773,0.791,217,96.37,66.31,38,24,14,21,42,4,4,38,ALL_044_F_FRA_ENG_ST2.TextGrid
4.658,3.269,7.27,0.0367,0.0917,0.1284,1.002,0.593,0.71,109,33.34,23.4,14,4,10,16,15,1,1,14,ALL_046_F_FAR_ENG_ST1.TextGrid
4.209,2.915,6.04,0.0919,0.0772,0.1691,0.568,0.689,0.624,272,93.32,64.63,46,25,21,34,46,0,0,46,ALL_047_M_FAR_ENG_ST2.TextGrid
2.394,1.176,3.53,0.1593,0.0973,0.2566,1.167,2.535,1.686,113,96.1,47.21,29,18,11,14,33,4,4,29,ALL_074_F_CCT_ENG_ST2.TextGrid
3.12,1.944,3.23,0.1827,0.1117,0.2944,0.596,0.761,0.658,197,101.33,63.15,58,36,22,27,62,4,4,58,ALL_075_F_CCT_ENG_ST1.TextGrid
3.18,1.589,4.06,0.1307,0.1005,0.2312,1.154,1.633,1.362,199,125.25,62.58,46,26,20,28,50,4,4,46,ALL_078_F_CCT_ENG_ST2.TextGrid
4.044,2.129,4.24,0.1077,0.1077,0.2154,0.651,1.414,1.032,195,91.58,48.22,42,21,21,26,47,5,5,42,ALL_087_M_CCT_ENG_ST1.TextGrid
3.665,2.354,3.44,0.1964,0.0909,0.2873,0.504,0.583,0.529,275,116.81,75.03,79,54,25,30,80,1,1,79,ALL_091_M_TUR_ENG_ST2.TextGrid
3.289,2.354,7.18,0.0706,0.063,0.1336,0.728,1.103,0.904,524,222.61,159.3,70,37,33,62,74,4,4,70,ALL_096_F_KOR_ENG_ST2.TextGrid
3.321,1.965,5.18,0.087,0.1014,0.1884,0.897,1.279,1.103,207,105.35,62.34,39,18,21,32,41,2,2,39,ALL_097_F_KOR_ENG_ST2.TextGrid
4.28,3.427,13.58,0.0368,0.0429,0.0798,0.673,0.778,0.73,163,47.56,38.08,13,6,7,17,13,0,0,13,ALL_098_M_GER_ENG_ST2.TextGrid
4.954,3.406,8.08,0.0309,0.0928,0.1237,0.79,0.725,0.741,97,28.48,19.58,12,3,9,16,12,0,0,12,ALL_099_M_SHS_ENG_ST1.TextGrid
4.568,2.79,7.42,0.0393,0.0955,0.1348,0.824,1.121,1.034,178,63.79,38.97,24,7,17,26,25,1,1,24,ALL_100_F_SHS_ENG_ST1.TextGrid
3.958,2.799,7.24,0.0718,0.0552,0.1271,0.912,0.707,0.823,181,64.66,45.73,23,13,10,22,25,2,2,23,ALL_100_F_SHS_ENG_ST2.TextGrid
4.632,4.003,11.74,0.0224,0.0404,0.0628,0.608,0.504,0.541,223,55.71,48.14,14,5,9,26,19,5,5,14,ALL_102_M_SHS_ENG_ST2.TextGrid
4.282,2.978,8.0,0.0542,0.0708,0.125,0.492,1.067,0.818,240,80.59,56.05,30,13,17,33,31,1,1,30,ALL_104_M_SHS_ENG_ST2.TextGrid
3.693,2.477,5.69,0.0603,0.1156,0.1759,0.548,0.864,0.756,199,80.34,53.89,35,12,23,25,36,1,1,35,ALL_112_F_KOR_ENG_ST1.TextGrid
3.018,1.874,4.1,0.1402,0.0976,0.2378,0.897,0.784,0.851,164,87.52,54.34,39,23,16,18,41,2,2,39,ALL_113_M_JPN_ENG_ST1.TextGrid
4.56,3.766,10.14,0.0141,0.0704,0.0845,0.67,0.522,0.547,71,18.85,15.57,6,1,5,12,6,0,0,6,ALL_124_M_SHS_ENG_ST1.TextGrid
3.052,1.761,3.69,0.2288,0.0508,0.2797,0.792,1.162,0.859,118,67.02,38.66,33,27,6,13,33,0,0,33,ALL_126_M_TUR_ENG_ST1.TextGrid
3.611,1.815,6.46,0.0885,0.0531,0.1416,0.689,4.013,1.936,226,124.54,62.59,32,20,12,26,35,3,3,32,ALL_139_M_PBR_ENG_ST1.TextGrid
3.401,1.669,6.15,0.05,0.125,0.175,0.652,2.181,1.744,80,47.94,23.52,14,4,10,11,14,0,0,14,ALL_146_F_VIE_ENG_ST1.TextGrid
3.378,1.813,5.52,0.0938,0.0875,0.1812,0.981,1.87,1.41,160,88.26,47.37,29,15,14,21,30,1,1,29,ALL_151_M_HEB_ENG_ST1.TextGrid
3.422,2.181,6.47,0.0894,0.0691,0.1585,0.681,1.525,1.049,246,112.8,71.89,39,22,17,36,39,0,0,39,ALL_151_M_HEB_ENG_ST2.TextGrid
