AR,SR,MLR,MCPR,ECPR,PR,MCPD,ECPD,MPD,total_syllables,total_duration,phonation_time,n_pauses,n_mid_clause_pauses,n_end_clause_pauses,n_clauses,vad_pause_candidates,vad_pauses_split,vad_speech_islands,vad_refined_pause_count,file,audio_path
2.881,1.645,3.86,0.1556,0.1111,0.2667,0.925,1.051,0.978,270,164.11,93.72,72,42,30,28,71,11,13,72,ALL_001_F_GER_ENG_ST1.TextGrid,en\data\allsstar_full_manual\wav\ALL_001_F_GER_ENG_ST1.wav
3.91,1.979,4.66,0.1015,0.1147,0.2162,0.765,1.5,1.155,680,343.69,173.91,147,69,78,95,147,7,10,147,ALL_003_F_RUS_ENG_ST2.TextGrid,en\data\allsstar_full_manual\wav\ALL_003_F_RUS_ENG_ST2.wav
2.863,1.754,3.79,0.183,0.0894,0.2723,0.694,1.048,0.81,235,133.95,82.09,64,43,21,35,63,14,20,64,ALL_005_M_CMN_ENG_ST1.TextGrid,en\data\allsstar_full_manual\wav\ALL_005_M_CMN_ENG_ST1.wav
2.87,1.774,3.55,0.1674,0.1233,0.2907,0.647,0.868,0.74,227,127.97,79.1,66,38,28,29,65,7,10,66,ALL_008_F_PBR_ENG_ST2.TextGrid,en\data\allsstar_full_manual\wav\ALL_008_F_PBR_ENG_ST2.wav
3.879,2.287,5.39,0.1023,0.0852,0.1875,0.729,1.231,0.957,528,230.89,136.12,99,54,45,57,99,4,4,99,ALL_010_M_RUS_ENG_ST1.TextGrid,en\data\allsstar_full_manual\wav\ALL_010_M_RUS_ENG_ST1.wav
2.904,1.828,3.48,0.205,0.0883,0.2934,0.576,0.958,0.691,317,173.4,109.14,93,65,28,30,92,13,15,93,ALL_013_M_JPN_ENG_ST2.TextGrid,en\data\allsstar_full_manual\wav\ALL_013_M_JPN_ENG_ST2.wav
3.611,2.501,5.17,0.1031,0.0954,0.1985,0.656,0.579,0.619,388,155.13,107.46,77,40,37,51,76,13,13,77,ALL_014_M_TUR_ENG_ST2.TextGrid,en\data\allsstar_full_manual\wav\ALL_014_M_TUR_ENG_ST2.wav
2.957,1.907,3.93,0.1243,0.1329,0.2572,0.432,0.996,0.723,346,181.4,117.02,89,43,46,51,89,0,0,89,ALL_018_F_CMN_ENG_ST1.TextGrid,en\data\allsstar_full_manual\wav\ALL_018_F_CMN_ENG_ST1.wav
2.931,1.647,3.56,0.1901,0.0992,0.2893,0.675,1.388,0.92,121,73.47,41.29,35,23,12,14,35,2,3,35,ALL_023_M_KOR_ENG_ST1.TextGrid,en\data\allsstar_full_manual\wav\ALL_023_M_KOR_ENG_ST1.wav
4.992,2.826,5.36,0.0904,0.1017,0.1921,0.767,0.828,0.799,177,62.63,35.46,34,16,18,28,34,0,0,34,ALL_029_M_TUR_ENG_ST1.TextGrid,en\data\allsstar_full_manual\wav\ALL_029_M_TUR_ENG_ST1.wav
3.248,1.982,4.77,0.1273,0.0936,0.221,0.789,1.028,0.89,267,134.73,82.2,59,34,25,31,57,4,8,59,ALL_031_M_VIE_ENG_ST2.TextGrid,en\data\allsstar_full_manual\wav\ALL_031_M_VIE_ENG_ST2.wav
3.858,2.674,7.75,0.0806,0.0753,0.1559,0.722,0.752,0.736,186,69.57,48.21,29,15,14,27,25,3,6,29,ALL_034_M_HIN_ENG_ST1.TextGrid,en\data\allsstar_full_manual\wav\ALL_034_M_HIN_ENG_ST1.wav
