file_id,n_words,n_gap_candidates,n_scored,n_pred_fillers,max_prob,mean_prob
ALL_001_F_GER_ENG_ST1,235,67,66,0,0.222846,0.048782575757575754
ALL_005_M_CMN_ENG_ST1,205,57,56,1,0.768435,0.07891228571428573
ALL_010_M_RUS_ENG_ST1,386,90,90,1,0.535097,0.12710664444444444
ALL_018_F_CMN_ENG_ST1,290,116,116,0,0.214029,0.03786905172413793
ALL_023_M_KOR_ENG_ST1,102,28,28,0,0.12273,0.04001017857142857
ALL_029_M_TUR_ENG_ST1,152,35,35,0,0.176408,0.06905422857142857
ALL_034_M_HIN_ENG_ST1,155,28,28,0,0.10747,0.031312178571428574
ALL_044_F_FRA_ENG_ST1,178,45,42,0,0.190598,0.054154047619047616
ALL_046_F_FAR_ENG_ST1,97,16,16,0,0.123896,0.066539
ALL_075_F_CCT_ENG_ST1,167,75,75,0,0.157714,0.042349599999999994
ALL_087_M_CCT_ENG_ST1,158,40,40,0,0.095385,0.047456975
ALL_099_M_SHS_ENG_ST1,74,14,12,0,0.189397,0.11047133333333335
ALL_100_F_SHS_ENG_ST1,140,23,21,0,0.137209,0.06130790476190477
ALL_112_F_KOR_ENG_ST1,166,35,33,0,0.452097,0.08342766666666668
ALL_113_M_JPN_ENG_ST1,135,52,49,9,0.757142,0.3002734693877551
ALL_124_M_SHS_ENG_ST1,65,7,5,0,0.389366,0.21305939999999998
ALL_126_M_TUR_ENG_ST1,102,43,41,0,0.435558,0.13678185365853657
ALL_139_M_PBR_ENG_ST1,185,42,42,0,0.325117,0.11275483333333336
ALL_146_F_VIE_ENG_ST1,61,10,10,0,0.075959,0.0442225
ALL_151_M_HEB_ENG_ST1,139,26,25,0,0.224052,0.06042928
ALL_003_F_RUS_ENG_ST2,506,126,125,0,0.141788,0.038571736000000016
ALL_008_F_PBR_ENG_ST2,165,77,76,0,0.177038,0.03773739473684211
ALL_013_M_JPN_ENG_ST2,237,106,103,1,0.754885,0.059239834951456315
ALL_014_M_TUR_ENG_ST2,308,89,88,0,0.260927,0.040094090909090906
ALL_031_M_VIE_ENG_ST2,203,57,57,0,0.212887,0.05447226315789473
ALL_034_M_HIN_ENG_ST2,102,27,27,0,0.126791,0.04642559259259259
ALL_039_M_CMN_ENG_ST2,205,82,80,0,0.161797,0.04938065
ALL_043_M_CMN_ENG_ST2,177,72,72,1,0.762267,0.06275655555555554
ALL_044_F_FRA_ENG_ST2,170,50,47,0,0.164752,0.06287670212765958
ALL_047_M_FAR_ENG_ST2,226,62,61,1,0.572988,0.09721849180327868
ALL_074_F_CCT_ENG_ST2,88,21,21,0,0.135866,0.040109428571428574
ALL_078_F_CCT_ENG_ST2,156,42,42,0,0.29029,0.04414609523809524
ALL_091_M_TUR_ENG_ST2,215,94,94,1,0.513597,0.14227584042553193
ALL_096_F_KOR_ENG_ST2,416,88,83,0,0.368069,0.0647862891566265
ALL_097_F_KOR_ENG_ST2,170,41,40,0,0.26929,0.0671354
ALL_098_M_GER_ENG_ST2,115,17,17,0,0.332924,0.12143323529411765
ALL_100_F_SHS_ENG_ST2,144,27,23,0,0.159657,0.07055773913043478
ALL_102_M_SHS_ENG_ST2,168,23,23,0,0.246075,0.08766208695652175
ALL_104_M_SHS_ENG_ST2,193,37,32,16,0.968199,0.47096334375000004
ALL_151_M_HEB_ENG_ST2,193,52,49,0,0.360183,0.0686892857142857
