file_id,gap_index,island_index,gap_start,gap_end,gap_duration,vad_occupancy,n_voiced_islands,island_duration,candidate_start,candidate_end,prob_filler,pred_filler,skip_reason
ALL_003_F_RUS_ENG_ST2,1,0,2.96,3.29,0.33,1.0,1,0.33,2.96,3.29,0.044907,0,
ALL_003_F_RUS_ENG_ST2,3,0,6.92,7.93,1.01,1.0,1,1.01,6.92,7.93,0.072412,0,
ALL_003_F_RUS_ENG_ST2,4,0,10.43,11.53,1.1,0.9745,1,1.072,10.43,11.502,0.027597,0,
ALL_003_F_RUS_ENG_ST2,6,0,14.96,15.16,0.2,1.0,1,0.2,14.96,15.16,0.060135,0,
ALL_003_F_RUS_ENG_ST2,7,0,16.31,17.17,0.86,1.0,1,0.86,16.31,17.17,0.044426,0,
ALL_003_F_RUS_ENG_ST2,9,0,21.06,21.94,0.88,1.0,1,0.88,21.06,21.94,0.018495,0,
ALL_003_F_RUS_ENG_ST2,10,0,22.85,23.53,0.68,1.0,1,0.68,22.85,23.53,0.038708,0,
ALL_003_F_RUS_ENG_ST2,11,0,24.4,25.51,1.11,0.3171,2,0.24,24.4,24.64,0.019037,0,
ALL_003_F_RUS_ENG_ST2,11,1,24.4,25.51,1.11,0.3171,2,0.112,24.944,25.056,0.02238,0,
ALL_003_F_RUS_ENG_ST2,12,0,26.66,27.36,0.7,0.6857,2,0.176,26.66,26.836,0.021154,0,
ALL_003_F_RUS_ENG_ST2,12,1,26.66,27.36,0.7,0.6857,2,0.304,27.028,27.332,0.020376,0,
ALL_003_F_RUS_ENG_ST2,13,0,27.99,28.37,0.38,1.0,1,0.38,27.99,28.37,0.01644,0,
ALL_003_F_RUS_ENG_ST2,14,0,28.47,28.6,0.13,1.0,1,0.13,28.47,28.6,0.083814,0,
ALL_003_F_RUS_ENG_ST2,15,0,29.78,30.02,0.24,1.0,1,0.24,29.78,30.02,0.016985,0,
ALL_003_F_RUS_ENG_ST2,16,0,30.73,31.07,0.34,1.0,1,0.34,30.73,31.07,0.025826,0,
ALL_003_F_RUS_ENG_ST2,18,0,34.49,35.63,1.14,1.0,1,1.14,34.49,35.63,0.051319,0,
ALL_003_F_RUS_ENG_ST2,19,0,36.03,36.17,0.14,0.9143,1,0.128,36.03,36.158,0.102724,0,
ALL_003_F_RUS_ENG_ST2,22,0,42.76,43.01,0.25,1.0,1,0.25,42.76,43.01,0.034277,0,
ALL_003_F_RUS_ENG_ST2,23,0,43.85,44.71,0.86,1.0,1,0.86,43.85,44.71,0.034915,0,
ALL_003_F_RUS_ENG_ST2,25,0,47.92,48.67,0.75,1.0,1,0.75,47.92,48.67,0.035053,0,
ALL_003_F_RUS_ENG_ST2,27,0,53.19,53.34,0.15,1.0,1,0.15,53.19,53.34,0.020526,0,
ALL_003_F_RUS_ENG_ST2,29,0,56.67,57.16,0.49,1.0,1,0.49,56.67,57.16,0.014436,0,
ALL_003_F_RUS_ENG_ST2,30,0,57.82,57.98,0.16,1.0,1,0.16,57.82,57.98,0.011418,0,
ALL_003_F_RUS_ENG_ST2,35,0,69.27,69.9,0.63,1.0,1,0.63,69.27,69.9,0.039468,0,
ALL_003_F_RUS_ENG_ST2,36,0,70.99,71.31,0.32,1.0,1,0.32,70.99,71.31,0.060198,0,
ALL_003_F_RUS_ENG_ST2,38,0,73.61,73.73,0.12,1.0,1,0.12,73.61,73.73,0.02748,0,
ALL_003_F_RUS_ENG_ST2,39,0,75.11,75.94,0.83,1.0,1,0.83,75.11,75.94,0.037519,0,
ALL_003_F_RUS_ENG_ST2,40,0,77.33,77.49,0.16,1.0,1,0.16,77.33,77.49,0.035972,0,
ALL_003_F_RUS_ENG_ST2,41,0,78.31,78.59,0.28,1.0,1,0.28,78.31,78.59,0.120046,0,
ALL_003_F_RUS_ENG_ST2,43,0,82.0,82.12,0.12,1.0,1,0.12,82.0,82.12,0.070886,0,
ALL_003_F_RUS_ENG_ST2,45,0,86.17,86.49,0.32,1.0,1,0.32,86.17,86.49,0.009921,0,
ALL_003_F_RUS_ENG_ST2,46,0,87.67,88.34,0.67,1.0,1,0.67,87.67,88.34,0.035235,0,
ALL_003_F_RUS_ENG_ST2,49,0,97.82,98.2,0.38,1.0,1,0.38,97.82,98.2,0.020898,0,
ALL_003_F_RUS_ENG_ST2,50,0,99.54,100.02,0.48,1.0,1,0.48,99.54,100.02,0.027635,0,
ALL_003_F_RUS_ENG_ST2,51,0,100.58,101.42,0.84,1.0,1,0.84,100.58,101.42,0.029527,0,
ALL_003_F_RUS_ENG_ST2,52,0,102.16,102.45,0.29,1.0,1,0.29,102.16,102.45,0.032685,0,
ALL_003_F_RUS_ENG_ST2,54,0,105.36,105.74,0.38,1.0,1,0.38,105.36,105.74,0.02989,0,
ALL_003_F_RUS_ENG_ST2,55,0,106.33,106.76,0.43,1.0,1,0.43,106.33,106.76,0.033779,0,
ALL_003_F_RUS_ENG_ST2,56,0,107.38,107.66,0.28,1.0,1,0.28,107.38,107.66,0.022654,0,
ALL_003_F_RUS_ENG_ST2,58,0,111.29,111.68,0.39,1.0,1,0.39,111.29,111.68,0.028916,0,
ALL_003_F_RUS_ENG_ST2,59,0,112.19,112.44,0.25,1.0,1,0.25,112.19,112.44,0.03509,0,
ALL_003_F_RUS_ENG_ST2,60,0,113.63,113.82,0.19,1.0,1,0.19,113.63,113.82,0.023662,0,
ALL_003_F_RUS_ENG_ST2,62,0,118.68,119.62,0.94,1.0,1,0.94,118.68,119.62,0.081337,0,
ALL_003_F_RUS_ENG_ST2,64,0,125.53,126.68,1.15,1.0,1,1.15,125.53,126.68,0.039834,0,
ALL_003_F_RUS_ENG_ST2,65,0,127.01,127.47,0.46,1.0,1,0.46,127.01,127.47,0.021965,0,
ALL_003_F_RUS_ENG_ST2,66,0,128.04,128.44,0.4,1.0,1,0.4,128.04,128.44,0.041493,0,
ALL_003_F_RUS_ENG_ST2,67,0,129.96,131.1,1.14,1.0,1,1.14,129.96,131.1,0.041433,0,
ALL_003_F_RUS_ENG_ST2,69,0,134.33,135.28,0.95,1.0,1,0.95,134.33,135.28,0.017208,0,
ALL_003_F_RUS_ENG_ST2,70,0,135.97,136.4,0.43,0.814,2,0.24,135.97,136.21,0.067917,0,
ALL_003_F_RUS_ENG_ST2,70,1,135.97,136.4,0.43,0.814,2,0.11,136.29,136.4,0.016679,0,
ALL_003_F_RUS_ENG_ST2,71,0,136.81,136.93,0.12,1.0,1,0.12,136.81,136.93,0.049072,0,
ALL_003_F_RUS_ENG_ST2,72,0,137.74,138.22,0.48,1.0,1,0.48,137.74,138.22,0.015164,0,
ALL_003_F_RUS_ENG_ST2,73,0,138.6,138.93,0.33,1.0,1,0.33,138.6,138.93,0.017807,0,
ALL_003_F_RUS_ENG_ST2,74,0,140.78,141.19,0.41,1.0,1,0.41,140.78,141.19,0.034626,0,
ALL_003_F_RUS_ENG_ST2,75,0,141.94,143.13,1.19,1.0,1,1.19,141.94,143.13,0.027707,0,
ALL_003_F_RUS_ENG_ST2,76,0,143.88,144.13,0.25,1.0,1,0.25,143.88,144.13,0.016634,0,
ALL_003_F_RUS_ENG_ST2,77,0,144.96,145.64,0.68,1.0,1,0.68,144.96,145.64,0.041487,0,
ALL_003_F_RUS_ENG_ST2,78,0,145.76,146.02,0.26,0.4923,1,0.128,145.76,145.888,0.006919,0,
ALL_003_F_RUS_ENG_ST2,79,0,146.42,147.14,0.72,0.6889,2,0.336,146.42,146.756,0.037005,0,
ALL_003_F_RUS_ENG_ST2,79,1,146.42,147.14,0.72,0.6889,2,0.16,146.98,147.14,0.01362,0,
ALL_003_F_RUS_ENG_ST2,80,0,147.66,148.32,0.66,1.0,1,0.66,147.66,148.32,0.04222,0,
ALL_003_F_RUS_ENG_ST2,82,0,151.73,152.53,0.8,1.0,1,0.8,151.73,152.53,0.03701,0,
ALL_003_F_RUS_ENG_ST2,83,0,152.98,153.31,0.33,1.0,1,0.33,152.98,153.31,0.047668,0,
ALL_003_F_RUS_ENG_ST2,84,0,154.26,154.4,0.14,1.0,1,0.14,154.26,154.4,0.069108,0,
ALL_003_F_RUS_ENG_ST2,85,0,155.57,156.31,0.74,1.0,1,0.74,155.57,156.31,0.039592,0,
ALL_003_F_RUS_ENG_ST2,86,0,157.57,158.17,0.6,1.0,1,0.6,157.57,158.17,0.031862,0,
ALL_003_F_RUS_ENG_ST2,87,0,159.96,160.65,0.69,1.0,1,0.69,159.96,160.65,0.081707,0,
ALL_003_F_RUS_ENG_ST2,88,0,161.2,161.64,0.44,1.0,1,0.44,161.2,161.64,0.005866,0,
ALL_003_F_RUS_ENG_ST2,90,0,164.61,165.32,0.71,1.0,1,0.71,164.61,165.32,0.027519,0,
ALL_003_F_RUS_ENG_ST2,91,0,165.84,166.02,0.18,1.0,1,0.18,165.84,166.02,0.023817,0,
ALL_003_F_RUS_ENG_ST2,92,0,168.43,169.15,0.72,1.0,1,0.72,168.43,169.15,0.024458,0,
ALL_003_F_RUS_ENG_ST2,94,0,172.23,172.39,0.16,1.0,1,0.16,172.23,172.39,0.047502,0,
ALL_003_F_RUS_ENG_ST2,96,0,175.66,175.99,0.33,0.9697,1,0.32,175.66,175.98,0.026167,0,
ALL_003_F_RUS_ENG_ST2,97,0,176.96,177.34,0.38,1.0,1,0.38,176.96,177.34,0.043664,0,
ALL_003_F_RUS_ENG_ST2,99,-1,180.19,180.78,0.59,0.1356,1,,,,,0,vad_occupancy_out_of_range
ALL_003_F_RUS_ENG_ST2,100,0,181.34,181.84,0.5,1.0,1,0.5,181.34,181.84,0.034871,0,
ALL_003_F_RUS_ENG_ST2,101,0,182.99,183.82,0.83,0.4024,2,0.16,182.99,183.15,0.021508,0,
ALL_003_F_RUS_ENG_ST2,101,1,182.99,183.82,0.83,0.4024,2,0.174,183.646,183.82,0.131298,0,
ALL_003_F_RUS_ENG_ST2,102,0,184.37,185.2,0.83,1.0,1,0.83,184.37,185.2,0.031507,0,
ALL_003_F_RUS_ENG_ST2,103,0,186.27,186.43,0.16,1.0,1,0.16,186.27,186.43,0.047241,0,
ALL_003_F_RUS_ENG_ST2,105,0,190.46,190.81,0.35,1.0,1,0.35,190.46,190.81,0.062373,0,
ALL_003_F_RUS_ENG_ST2,106,0,191.82,192.11,0.29,0.9931,1,0.288,191.82,192.108,0.007057,0,
ALL_003_F_RUS_ENG_ST2,109,0,198.59,198.71,0.12,1.0,1,0.12,198.59,198.71,0.014128,0,
ALL_003_F_RUS_ENG_ST2,110,0,199.29,199.8,0.51,1.0,1,0.51,199.29,199.8,0.052896,0,
ALL_003_F_RUS_ENG_ST2,111,0,200.8,201.01,0.21,1.0,1,0.21,200.8,201.01,0.029241,0,
ALL_003_F_RUS_ENG_ST2,112,0,201.93,202.73,0.8,1.0,1,0.8,201.93,202.73,0.015151,0,
ALL_003_F_RUS_ENG_ST2,113,0,203.6,204.05,0.45,1.0,1,0.45,203.6,204.05,0.041857,0,
ALL_003_F_RUS_ENG_ST2,115,0,208.83,208.99,0.16,1.0,1,0.16,208.83,208.99,0.015598,0,
ALL_003_F_RUS_ENG_ST2,116,0,209.49,209.88,0.39,0.3282,1,0.128,209.49,209.618,0.027672,0,
ALL_003_F_RUS_ENG_ST2,117,0,210.5,211.33,0.83,1.0,1,0.83,210.5,211.33,0.055836,0,
ALL_003_F_RUS_ENG_ST2,118,0,212.16,212.67,0.51,0.2784,1,0.142,212.528,212.67,0.03089,0,
ALL_003_F_RUS_ENG_ST2,119,0,212.78,213.07,0.29,0.6069,1,0.176,212.78,212.956,0.032438,0,
ALL_003_F_RUS_ENG_ST2,122,0,224.49,224.71,0.22,1.0,1,0.22,224.49,224.71,0.04071,0,
ALL_003_F_RUS_ENG_ST2,124,0,229.62,230.6,0.98,0.4449,2,0.208,229.62,229.828,0.011182,0,
ALL_003_F_RUS_ENG_ST2,124,1,229.62,230.6,0.98,0.4449,2,0.228,230.372,230.6,0.023827,0,
