file_id,gap_index,island_index,gap_start,gap_end,gap_duration,vad_occupancy,n_voiced_islands,island_duration,candidate_start,candidate_end,prob_filler,pred_filler,skip_reason
ALL_013_M_JPN_ENG_ST2,0,0,0.0,0.9,0.9,1.0,1,0.9,0.0,0.9,0.020013,0,
ALL_013_M_JPN_ENG_ST2,1,0,2.62,2.78,0.16,1.0,1,0.16,2.62,2.78,0.007631,0,
ALL_013_M_JPN_ENG_ST2,2,0,3.54,4.12,0.58,0.331,1,0.192,3.54,3.732,0.055583,0,
ALL_013_M_JPN_ENG_ST2,3,0,5.11,5.67,0.56,1.0,1,0.56,5.11,5.67,0.043441,0,
ALL_013_M_JPN_ENG_ST2,4,0,6.11,6.24,0.13,1.0,1,0.13,6.11,6.24,0.039601,0,
ALL_013_M_JPN_ENG_ST2,5,0,6.5,6.64,0.14,1.0,1,0.14,6.5,6.64,0.032443,0,
ALL_013_M_JPN_ENG_ST2,7,0,12.03,12.98,0.95,0.4716,1,0.448,12.286,12.734,0.310013,0,
ALL_013_M_JPN_ENG_ST2,8,0,13.45,13.66,0.21,1.0,1,0.21,13.45,13.66,0.013761,0,
ALL_013_M_JPN_ENG_ST2,9,0,16.09,16.4,0.31,0.929,1,0.288,16.09,16.378,0.00454,0,
ALL_013_M_JPN_ENG_ST2,10,0,17.33,17.98,0.65,1.0,1,0.65,17.33,17.98,0.063344,0,
ALL_013_M_JPN_ENG_ST2,11,0,19.49,20.0,0.51,1.0,1,0.51,19.49,20.0,0.102246,0,
ALL_013_M_JPN_ENG_ST2,12,0,20.87,21.54,0.67,1.0,1,0.67,20.87,21.54,0.054682,0,
ALL_013_M_JPN_ENG_ST2,13,0,22.17,22.59,0.42,1.0,1,0.42,22.17,22.59,0.044918,0,
ALL_013_M_JPN_ENG_ST2,14,0,23.19,24.23,1.04,1.0,1,1.04,23.19,24.23,0.028773,0,
ALL_013_M_JPN_ENG_ST2,15,0,25.7,26.3,0.6,0.6533,2,0.272,25.78,26.052,0.122938,0,
ALL_013_M_JPN_ENG_ST2,15,1,25.7,26.3,0.6,0.6533,2,0.12,26.18,26.3,0.341491,0,
ALL_013_M_JPN_ENG_ST2,16,0,27.02,27.27,0.25,1.0,1,0.25,27.02,27.27,0.039241,0,
ALL_013_M_JPN_ENG_ST2,17,0,28.13,28.74,0.61,1.0,1,0.61,28.13,28.74,0.063045,0,
ALL_013_M_JPN_ENG_ST2,18,0,30.89,31.68,0.79,1.0,1,0.79,30.89,31.68,0.03451,0,
ALL_013_M_JPN_ENG_ST2,19,0,32.06,33.24,1.18,0.7322,2,0.624,32.092,32.716,0.024076,0,
ALL_013_M_JPN_ENG_ST2,19,1,32.06,33.24,1.18,0.7322,2,0.24,32.892,33.132,0.004435,0,
ALL_013_M_JPN_ENG_ST2,20,0,33.58,33.72,0.14,0.8857,1,0.124,33.596,33.72,0.038034,0,
ALL_013_M_JPN_ENG_ST2,21,0,34.64,34.96,0.32,1.0,1,0.32,34.64,34.96,0.026612,0,
ALL_013_M_JPN_ENG_ST2,22,0,35.88,36.33,0.45,1.0,1,0.45,35.88,36.33,0.020999,0,
ALL_013_M_JPN_ENG_ST2,23,0,37.5,38.38,0.88,0.4364,2,0.128,37.628,37.756,0.046655,0,
ALL_013_M_JPN_ENG_ST2,23,1,37.5,38.38,0.88,0.4364,2,0.256,38.092,38.348,0.105708,0,
ALL_013_M_JPN_ENG_ST2,24,0,38.85,39.08,0.23,1.0,1,0.23,38.85,39.08,0.012457,0,
ALL_013_M_JPN_ENG_ST2,26,0,43.33,43.95,0.62,1.0,1,0.62,43.33,43.95,0.075854,0,
ALL_013_M_JPN_ENG_ST2,27,0,45.01,45.55,0.54,0.3185,1,0.172,45.378,45.55,0.268325,0,
ALL_013_M_JPN_ENG_ST2,28,0,46.44,46.6,0.16,1.0,1,0.16,46.44,46.6,0.033047,0,
ALL_013_M_JPN_ENG_ST2,29,0,48.28,49.09,0.81,1.0,1,0.81,48.28,49.09,0.02517,0,
ALL_013_M_JPN_ENG_ST2,30,0,50.32,51.21,0.89,1.0,1,0.89,50.32,51.21,0.031038,0,
ALL_013_M_JPN_ENG_ST2,31,0,52.28,52.77,0.49,0.4122,2,0.08,52.328,52.408,0.034214,0,
ALL_013_M_JPN_ENG_ST2,31,1,52.28,52.77,0.49,0.4122,2,0.122,52.648,52.77,0.032511,0,
ALL_013_M_JPN_ENG_ST2,32,0,53.08,53.36,0.28,0.6571,1,0.184,53.176,53.36,0.042228,0,
ALL_013_M_JPN_ENG_ST2,33,0,54.09,54.62,0.53,1.0,1,0.53,54.09,54.62,0.016005,0,
ALL_013_M_JPN_ENG_ST2,34,0,55.03,55.57,0.54,1.0,1,0.54,55.03,55.57,0.024243,0,
ALL_013_M_JPN_ENG_ST2,35,0,56.05,56.49,0.44,1.0,1,0.44,56.05,56.49,0.022071,0,
ALL_013_M_JPN_ENG_ST2,36,0,56.94,57.27,0.33,0.4182,1,0.138,57.132,57.27,0.164509,0,
ALL_013_M_JPN_ENG_ST2,38,0,59.67,60.32,0.65,1.0,1,0.65,59.67,60.32,0.024708,0,
ALL_013_M_JPN_ENG_ST2,39,0,61.09,61.6,0.51,1.0,1,0.51,61.09,61.6,0.023183,0,
ALL_013_M_JPN_ENG_ST2,40,0,62.08,62.27,0.19,1.0,1,0.19,62.08,62.27,0.02993,0,
ALL_013_M_JPN_ENG_ST2,41,0,63.15,63.43,0.28,1.0,1,0.28,63.15,63.43,0.037264,0,
ALL_013_M_JPN_ENG_ST2,42,0,63.63,64.14,0.51,1.0,1,0.51,63.63,64.14,0.034363,0,
ALL_013_M_JPN_ENG_ST2,43,0,64.61,65.36,0.75,1.0,1,0.75,64.61,65.36,0.010625,0,
ALL_013_M_JPN_ENG_ST2,44,0,66.08,66.34,0.26,0.5692,1,0.148,66.192,66.34,0.056448,0,
ALL_013_M_JPN_ENG_ST2,45,0,66.55,67.03,0.48,1.0,1,0.48,66.55,67.03,0.121493,0,
ALL_013_M_JPN_ENG_ST2,47,0,69.58,70.24,0.66,0.4121,1,0.272,69.804,70.076,0.008188,0,
ALL_013_M_JPN_ENG_ST2,48,0,70.27,71.1,0.83,0.4434,1,0.368,70.27,70.638,0.366819,0,
ALL_013_M_JPN_ENG_ST2,49,0,73.33,73.68,0.35,1.0,1,0.35,73.33,73.68,0.023276,0,
ALL_013_M_JPN_ENG_ST2,50,0,75.02,75.52,0.5,0.232,1,0.116,75.404,75.52,0.008075,0,
ALL_013_M_JPN_ENG_ST2,51,0,76.17,76.51,0.34,1.0,1,0.34,76.17,76.51,0.02634,0,
ALL_013_M_JPN_ENG_ST2,52,0,77.22,77.69,0.47,1.0,1,0.47,77.22,77.69,0.05124,0,
ALL_013_M_JPN_ENG_ST2,53,0,78.18,78.45,0.27,1.0,1,0.27,78.18,78.45,0.006094,0,
ALL_013_M_JPN_ENG_ST2,54,0,78.97,79.31,0.34,0.5294,1,0.18,79.13,79.31,0.244188,0,
ALL_013_M_JPN_ENG_ST2,55,0,80.15,80.46,0.31,1.0,1,0.31,80.15,80.46,0.019774,0,
ALL_013_M_JPN_ENG_ST2,57,0,85.66,86.55,0.89,0.209,1,0.186,86.364,86.55,0.017803,0,
ALL_013_M_JPN_ENG_ST2,58,-1,86.79,87.3,0.51,0.0,0,,,,,0,vad_occupancy_out_of_range
ALL_013_M_JPN_ENG_ST2,60,0,94.59,94.74,0.15,1.0,1,0.15,94.59,94.74,0.026853,0,
ALL_013_M_JPN_ENG_ST2,61,0,96.13,96.47,0.34,1.0,1,0.34,96.13,96.47,0.136915,0,
ALL_013_M_JPN_ENG_ST2,62,0,97.31,97.7,0.39,1.0,1,0.39,97.31,97.7,0.021745,0,
ALL_013_M_JPN_ENG_ST2,63,0,99.31,99.65,0.34,1.0,1,0.34,99.31,99.65,0.052472,0,
ALL_013_M_JPN_ENG_ST2,64,0,100.34,101.32,0.98,1.0,1,0.98,100.34,101.32,0.041961,0,
ALL_013_M_JPN_ENG_ST2,65,0,101.76,102.73,0.97,1.0,1,0.97,101.76,102.73,0.053071,0,
ALL_013_M_JPN_ENG_ST2,66,0,103.09,103.26,0.17,1.0,1,0.17,103.09,103.26,0.014708,0,
ALL_013_M_JPN_ENG_ST2,67,0,103.62,103.85,0.23,1.0,1,0.23,103.62,103.85,0.056804,0,
ALL_013_M_JPN_ENG_ST2,68,0,104.38,104.5,0.12,1.0,1,0.12,104.38,104.5,0.036361,0,
ALL_013_M_JPN_ENG_ST2,69,0,105.36,105.51,0.15,1.0,1,0.15,105.36,105.51,0.015391,0,
ALL_013_M_JPN_ENG_ST2,70,0,106.2,106.72,0.52,1.0,1,0.52,106.2,106.72,0.059042,0,
ALL_013_M_JPN_ENG_ST2,72,0,109.97,110.61,0.64,1.0,1,0.64,109.97,110.61,0.034078,0,
ALL_013_M_JPN_ENG_ST2,73,0,111.86,112.53,0.67,1.0,1,0.67,111.86,112.53,0.024425,0,
ALL_013_M_JPN_ENG_ST2,74,0,113.29,114.2,0.91,1.0,1,0.91,113.29,114.2,0.041225,0,
ALL_013_M_JPN_ENG_ST2,75,0,114.61,115.38,0.77,1.0,1,0.77,114.61,115.38,0.023498,0,
ALL_013_M_JPN_ENG_ST2,76,0,116.69,117.46,0.77,1.0,1,0.77,116.69,117.46,0.047804,0,
ALL_013_M_JPN_ENG_ST2,79,0,122.61,122.75,0.14,1.0,1,0.14,122.61,122.75,0.01136,0,
ALL_013_M_JPN_ENG_ST2,80,0,123.07,123.71,0.64,1.0,1,0.64,123.07,123.71,0.014982,0,
ALL_013_M_JPN_ENG_ST2,81,0,124.02,124.29,0.27,1.0,1,0.27,124.02,124.29,0.055442,0,
ALL_013_M_JPN_ENG_ST2,82,0,125.58,126.6,1.02,1.0,1,1.02,125.58,126.6,0.057889,0,
ALL_013_M_JPN_ENG_ST2,83,0,127.24,128.07,0.83,0.653,1,0.542,127.528,128.07,0.095593,0,
ALL_013_M_JPN_ENG_ST2,84,0,128.35,128.55,0.2,1.0,1,0.2,128.35,128.55,0.018939,0,
ALL_013_M_JPN_ENG_ST2,85,0,129.49,130.18,0.69,1.0,1,0.69,129.49,130.18,0.029949,0,
ALL_013_M_JPN_ENG_ST2,86,0,131.07,131.56,0.49,0.9796,1,0.48,131.07,131.55,0.01532,0,
ALL_013_M_JPN_ENG_ST2,87,0,133.02,133.25,0.23,1.0,1,0.23,133.02,133.25,0.02971,0,
ALL_013_M_JPN_ENG_ST2,88,0,134.03,134.64,0.61,1.0,1,0.61,134.03,134.64,0.056273,0,
ALL_013_M_JPN_ENG_ST2,89,0,135.5,136.59,1.09,1.0,1,1.09,135.5,136.59,0.037695,0,
ALL_013_M_JPN_ENG_ST2,90,0,136.82,137.03,0.21,1.0,1,0.21,136.82,137.03,0.006673,0,
ALL_013_M_JPN_ENG_ST2,91,0,138.59,139.33,0.74,1.0,1,0.74,138.59,139.33,0.02125,0,
ALL_013_M_JPN_ENG_ST2,92,0,140.4,140.68,0.28,1.0,1,0.28,140.4,140.68,0.176079,0,
ALL_013_M_JPN_ENG_ST2,93,0,140.96,141.11,0.15,1.0,1,0.15,140.96,141.11,0.012011,0,
ALL_013_M_JPN_ENG_ST2,94,0,142.28,142.74,0.46,1.0,1,0.46,142.28,142.74,0.034787,0,
ALL_013_M_JPN_ENG_ST2,95,0,143.12,144.28,1.16,0.2,1,0.232,144.048,144.28,0.754885,1,
ALL_013_M_JPN_ENG_ST2,96,-1,144.57,145.59,1.02,0.1098,1,,,,,0,vad_occupancy_out_of_range
ALL_013_M_JPN_ENG_ST2,97,0,146.79,147.17,0.38,1.0,1,0.38,146.79,147.17,0.027075,0,
ALL_013_M_JPN_ENG_ST2,98,0,147.55,147.78,0.23,1.0,1,0.23,147.55,147.78,0.016193,0,
ALL_013_M_JPN_ENG_ST2,99,0,148.23,148.49,0.26,1.0,1,0.26,148.23,148.49,0.052278,0,
ALL_013_M_JPN_ENG_ST2,100,0,149.66,150.51,0.85,1.0,1,0.85,149.66,150.51,0.040308,0,
ALL_013_M_JPN_ENG_ST2,101,0,150.84,151.35,0.51,0.2824,1,0.144,150.84,150.984,0.036791,0,
ALL_013_M_JPN_ENG_ST2,102,0,151.91,152.04,0.13,1.0,1,0.13,151.91,152.04,0.022799,0,
ALL_013_M_JPN_ENG_ST2,103,-1,152.48,153.66,1.18,0.1051,1,,,,,0,vad_occupancy_out_of_range
ALL_013_M_JPN_ENG_ST2,104,0,154.54,154.73,0.19,1.0,1,0.19,154.54,154.73,0.048267,0,
ALL_013_M_JPN_ENG_ST2,106,0,157.46,158.15,0.69,1.0,1,0.69,157.46,158.15,0.019841,0,
ALL_013_M_JPN_ENG_ST2,109,0,164.33,165.15,0.82,0.5268,2,0.352,164.33,164.682,0.039993,0,
ALL_013_M_JPN_ENG_ST2,109,1,164.33,165.15,0.82,0.5268,2,0.08,164.81,164.89,0.023685,0,
ALL_013_M_JPN_ENG_ST2,110,0,166.86,167.26,0.4,1.0,1,0.4,166.86,167.26,0.041701,0,
ALL_013_M_JPN_ENG_ST2,111,0,168.37,168.93,0.56,1.0,1,0.56,168.37,168.93,0.023591,0,
ALL_013_M_JPN_ENG_ST2,112,0,170.84,171.06,0.22,1.0,1,0.22,170.84,171.06,0.013775,0,
