file_id,gap_index,island_index,gap_start,gap_end,gap_duration,vad_occupancy,n_voiced_islands,island_duration,candidate_start,candidate_end,prob_filler,pred_filler,skip_reason
ALL_018_F_CMN_ENG_ST1,0,0,0.0,0.67,0.67,1.0,1,0.67,0.0,0.67,0.022703,0,
ALL_018_F_CMN_ENG_ST1,1,0,1.34,2.03,0.69,1.0,1,0.69,1.34,2.03,0.02063,0,
ALL_018_F_CMN_ENG_ST1,2,0,2.33,2.55,0.22,1.0,1,0.22,2.33,2.55,0.030551,0,
ALL_018_F_CMN_ENG_ST1,3,0,2.94,3.2,0.26,1.0,1,0.26,2.94,3.2,0.016857,0,
ALL_018_F_CMN_ENG_ST1,4,0,3.61,3.78,0.17,1.0,1,0.17,3.61,3.78,0.024643,0,
ALL_018_F_CMN_ENG_ST1,5,0,4.62,5.27,0.65,1.0,1,0.65,4.62,5.27,0.043021,0,
ALL_018_F_CMN_ENG_ST1,6,0,6.0,6.29,0.29,1.0,1,0.29,6.0,6.29,0.033117,0,
ALL_018_F_CMN_ENG_ST1,7,0,6.94,7.12,0.18,1.0,1,0.18,6.94,7.12,0.0597,0,
ALL_018_F_CMN_ENG_ST1,8,0,7.53,7.77,0.24,1.0,1,0.24,7.53,7.77,0.105455,0,
ALL_018_F_CMN_ENG_ST1,9,0,8.71,9.75,1.04,1.0,1,1.04,8.71,9.75,0.049969,0,
ALL_018_F_CMN_ENG_ST1,10,0,10.15,10.3,0.15,1.0,1,0.15,10.15,10.3,0.029804,0,
ALL_018_F_CMN_ENG_ST1,11,0,11.53,12.07,0.54,1.0,1,0.54,11.53,12.07,0.044071,0,
ALL_018_F_CMN_ENG_ST1,12,0,12.74,13.75,1.01,1.0,1,1.01,12.74,13.75,0.048957,0,
ALL_018_F_CMN_ENG_ST1,13,0,14.62,14.89,0.27,1.0,1,0.27,14.62,14.89,0.039973,0,
ALL_018_F_CMN_ENG_ST1,15,0,18.77,19.34,0.57,0.8421,1,0.48,18.77,19.25,0.031509,0,
ALL_018_F_CMN_ENG_ST1,16,0,20.12,20.34,0.22,1.0,1,0.22,20.12,20.34,0.089223,0,
ALL_018_F_CMN_ENG_ST1,18,0,22.84,22.97,0.13,1.0,1,0.13,22.84,22.97,0.019037,0,
ALL_018_F_CMN_ENG_ST1,19,0,24.01,24.33,0.32,1.0,1,0.32,24.01,24.33,0.049925,0,
ALL_018_F_CMN_ENG_ST1,20,0,24.92,25.07,0.15,1.0,1,0.15,24.92,25.07,0.017985,0,
ALL_018_F_CMN_ENG_ST1,21,0,26.03,26.68,0.65,1.0,1,0.65,26.03,26.68,0.042552,0,
ALL_018_F_CMN_ENG_ST1,22,0,26.97,27.5,0.53,1.0,1,0.53,26.97,27.5,0.014027,0,
ALL_018_F_CMN_ENG_ST1,24,0,31.81,32.19,0.38,1.0,1,0.38,31.81,32.19,0.013956,0,
ALL_018_F_CMN_ENG_ST1,25,0,32.64,33.0,0.36,1.0,1,0.36,32.64,33.0,0.016286,0,
ALL_018_F_CMN_ENG_ST1,26,0,34.55,35.25,0.7,1.0,1,0.7,34.55,35.25,0.032725,0,
ALL_018_F_CMN_ENG_ST1,27,0,36.02,36.23,0.21,1.0,1,0.21,36.02,36.23,0.01446,0,
ALL_018_F_CMN_ENG_ST1,28,0,37.26,37.5,0.24,1.0,1,0.24,37.26,37.5,0.060905,0,
ALL_018_F_CMN_ENG_ST1,29,0,37.84,37.99,0.15,1.0,1,0.15,37.84,37.99,0.018601,0,
ALL_018_F_CMN_ENG_ST1,31,0,42.97,43.83,0.86,1.0,1,0.86,42.97,43.83,0.030514,0,
ALL_018_F_CMN_ENG_ST1,32,0,44.79,45.25,0.46,1.0,1,0.46,44.79,45.25,0.026143,0,
ALL_018_F_CMN_ENG_ST1,33,0,46.25,46.99,0.74,1.0,1,0.74,46.25,46.99,0.014411,0,
ALL_018_F_CMN_ENG_ST1,34,0,49.12,49.38,0.26,1.0,1,0.26,49.12,49.38,0.02249,0,
ALL_018_F_CMN_ENG_ST1,36,0,52.71,53.29,0.58,0.8552,1,0.496,52.71,53.206,0.209939,0,
ALL_018_F_CMN_ENG_ST1,37,0,54.46,54.81,0.35,1.0,1,0.35,54.46,54.81,0.011273,0,
ALL_018_F_CMN_ENG_ST1,38,0,55.6,55.92,0.32,1.0,1,0.32,55.6,55.92,0.033787,0,
ALL_018_F_CMN_ENG_ST1,39,0,56.57,56.78,0.21,1.0,1,0.21,56.57,56.78,0.015958,0,
ALL_018_F_CMN_ENG_ST1,40,0,57.16,57.91,0.75,1.0,1,0.75,57.16,57.91,0.08667,0,
ALL_018_F_CMN_ENG_ST1,41,0,59.83,60.29,0.46,1.0,1,0.46,59.83,60.29,0.011026,0,
ALL_018_F_CMN_ENG_ST1,42,0,61.0,61.47,0.47,1.0,1,0.47,61.0,61.47,0.062839,0,
ALL_018_F_CMN_ENG_ST1,43,0,62.28,62.43,0.15,1.0,1,0.15,62.28,62.43,0.00867,0,
ALL_018_F_CMN_ENG_ST1,44,0,63.09,64.1,1.01,1.0,1,1.01,63.09,64.1,0.059855,0,
ALL_018_F_CMN_ENG_ST1,45,0,65.33,65.67,0.34,1.0,1,0.34,65.33,65.67,0.041611,0,
ALL_018_F_CMN_ENG_ST1,46,0,65.94,66.23,0.29,1.0,1,0.29,65.94,66.23,0.042759,0,
ALL_018_F_CMN_ENG_ST1,47,0,66.54,66.68,0.14,1.0,1,0.14,66.54,66.68,0.011946,0,
ALL_018_F_CMN_ENG_ST1,48,0,67.4,67.81,0.41,1.0,1,0.41,67.4,67.81,0.03352,0,
ALL_018_F_CMN_ENG_ST1,50,0,73.51,73.92,0.41,1.0,1,0.41,73.51,73.92,0.045199,0,
ALL_018_F_CMN_ENG_ST1,51,0,74.07,74.25,0.18,1.0,1,0.18,74.07,74.25,0.017509,0,
ALL_018_F_CMN_ENG_ST1,52,0,75.11,75.41,0.3,1.0,1,0.3,75.11,75.41,0.026128,0,
ALL_018_F_CMN_ENG_ST1,53,0,75.7,75.89,0.19,1.0,1,0.19,75.7,75.89,0.061067,0,
ALL_018_F_CMN_ENG_ST1,54,0,76.99,77.11,0.12,1.0,1,0.12,76.99,77.11,0.017093,0,
ALL_018_F_CMN_ENG_ST1,55,0,77.39,77.62,0.23,1.0,1,0.23,77.39,77.62,0.031216,0,
ALL_018_F_CMN_ENG_ST1,56,0,78.28,79.06,0.78,1.0,1,0.78,78.28,79.06,0.052244,0,
ALL_018_F_CMN_ENG_ST1,57,0,80.6,80.83,0.23,1.0,1,0.23,80.6,80.83,0.037331,0,
ALL_018_F_CMN_ENG_ST1,58,0,81.66,82.39,0.73,1.0,1,0.73,81.66,82.39,0.042601,0,
ALL_018_F_CMN_ENG_ST1,60,0,87.4,87.79,0.39,1.0,1,0.39,87.4,87.79,0.030149,0,
ALL_018_F_CMN_ENG_ST1,61,0,88.63,88.91,0.28,1.0,1,0.28,88.63,88.91,0.053234,0,
ALL_018_F_CMN_ENG_ST1,62,0,89.5,90.12,0.62,1.0,1,0.62,89.5,90.12,0.022265,0,
ALL_018_F_CMN_ENG_ST1,63,0,91.78,92.29,0.51,1.0,1,0.51,91.78,92.29,0.038614,0,
ALL_018_F_CMN_ENG_ST1,64,0,93.06,93.28,0.22,1.0,1,0.22,93.06,93.28,0.010799,0,
ALL_018_F_CMN_ENG_ST1,65,0,93.56,93.71,0.15,1.0,1,0.15,93.56,93.71,0.012879,0,
ALL_018_F_CMN_ENG_ST1,66,0,94.04,94.76,0.72,1.0,1,0.72,94.04,94.76,0.045483,0,
ALL_018_F_CMN_ENG_ST1,67,0,96.11,96.26,0.15,1.0,1,0.15,96.11,96.26,0.111442,0,
ALL_018_F_CMN_ENG_ST1,68,0,96.91,97.35,0.44,0.9818,1,0.432,96.91,97.342,0.042704,0,
ALL_018_F_CMN_ENG_ST1,69,0,98.38,99.37,0.99,1.0,1,0.99,98.38,99.37,0.038023,0,
ALL_018_F_CMN_ENG_ST1,70,0,100.71,100.86,0.15,1.0,1,0.15,100.71,100.86,0.032861,0,
ALL_018_F_CMN_ENG_ST1,71,0,101.59,101.97,0.38,1.0,1,0.38,101.59,101.97,0.024656,0,
ALL_018_F_CMN_ENG_ST1,72,0,102.24,102.56,0.32,1.0,1,0.32,102.24,102.56,0.010299,0,
ALL_018_F_CMN_ENG_ST1,73,0,103.15,103.64,0.49,1.0,1,0.49,103.15,103.64,0.053091,0,
ALL_018_F_CMN_ENG_ST1,74,0,104.1,104.28,0.18,1.0,1,0.18,104.1,104.28,0.08245,0,
ALL_018_F_CMN_ENG_ST1,76,0,107.81,108.71,0.9,1.0,1,0.9,107.81,108.71,0.036031,0,
ALL_018_F_CMN_ENG_ST1,77,0,108.92,109.21,0.29,1.0,1,0.29,108.92,109.21,0.074284,0,
ALL_018_F_CMN_ENG_ST1,78,0,110.73,110.89,0.16,1.0,1,0.16,110.73,110.89,0.014659,0,
ALL_018_F_CMN_ENG_ST1,79,0,111.79,112.55,0.76,1.0,1,0.76,111.79,112.55,0.037898,0,
ALL_018_F_CMN_ENG_ST1,80,0,112.97,113.22,0.25,1.0,1,0.25,112.97,113.22,0.040047,0,
ALL_018_F_CMN_ENG_ST1,81,0,113.75,114.0,0.25,1.0,1,0.25,113.75,114.0,0.045583,0,
ALL_018_F_CMN_ENG_ST1,82,0,114.38,114.58,0.2,1.0,1,0.2,114.38,114.58,0.014639,0,
ALL_018_F_CMN_ENG_ST1,83,0,115.42,115.88,0.46,1.0,1,0.46,115.42,115.88,0.020747,0,
ALL_018_F_CMN_ENG_ST1,85,0,119.07,119.33,0.26,1.0,1,0.26,119.07,119.33,0.003899,0,
ALL_018_F_CMN_ENG_ST1,86,0,120.32,120.5,0.18,1.0,1,0.18,120.32,120.5,0.083452,0,
ALL_018_F_CMN_ENG_ST1,87,0,120.87,121.58,0.71,1.0,1,0.71,120.87,121.58,0.036985,0,
ALL_018_F_CMN_ENG_ST1,88,0,123.63,124.35,0.72,1.0,1,0.72,123.63,124.35,0.093054,0,
ALL_018_F_CMN_ENG_ST1,89,0,124.58,124.71,0.13,1.0,1,0.13,124.58,124.71,0.016264,0,
ALL_018_F_CMN_ENG_ST1,90,0,125.81,126.07,0.26,1.0,1,0.26,125.81,126.07,0.013787,0,
