file_id,gap_index,island_index,gap_start,gap_end,gap_duration,vad_occupancy,n_voiced_islands,island_duration,candidate_start,candidate_end,prob_filler,pred_filler,skip_reason
ALL_023_M_KOR_ENG_ST1,0,0,0.0,0.62,0.62,1.0,1,0.62,0.0,0.62,0.056487,0,
ALL_023_M_KOR_ENG_ST1,1,0,2.34,2.58,0.24,1.0,1,0.24,2.34,2.58,0.024548,0,
ALL_023_M_KOR_ENG_ST1,2,0,3.65,4.74,1.09,1.0,1,1.09,3.65,4.74,0.042339,0,
ALL_023_M_KOR_ENG_ST1,3,0,5.54,5.98,0.44,1.0,1,0.44,5.54,5.98,0.014985,0,
ALL_023_M_KOR_ENG_ST1,5,0,11.89,12.47,0.58,1.0,1,0.58,11.89,12.47,0.12273,0,
ALL_023_M_KOR_ENG_ST1,6,0,17.49,18.2,0.71,1.0,1,0.71,17.49,18.2,0.042686,0,
ALL_023_M_KOR_ENG_ST1,7,0,19.11,19.38,0.27,1.0,1,0.27,19.11,19.38,0.055733,0,
ALL_023_M_KOR_ENG_ST1,8,0,20.26,20.93,0.67,1.0,1,0.67,20.26,20.93,0.019132,0,
ALL_023_M_KOR_ENG_ST1,10,0,26.1,26.49,0.39,1.0,1,0.39,26.1,26.49,0.028887,0,
ALL_023_M_KOR_ENG_ST1,11,0,28.15,29.26,1.11,0.9946,1,1.104,28.15,29.254,0.021439,0,
ALL_023_M_KOR_ENG_ST1,13,0,32.03,32.22,0.19,1.0,1,0.19,32.03,32.22,0.034273,0,
ALL_023_M_KOR_ENG_ST1,16,0,36.97,37.38,0.41,1.0,1,0.41,36.97,37.38,0.018349,0,
ALL_023_M_KOR_ENG_ST1,18,0,43.14,43.49,0.35,1.0,1,0.35,43.14,43.49,0.02501,0,
ALL_023_M_KOR_ENG_ST1,19,0,43.71,44.41,0.7,1.0,1,0.7,43.71,44.41,0.038634,0,
ALL_023_M_KOR_ENG_ST1,22,0,51.52,51.88,0.36,1.0,1,0.36,51.52,51.88,0.048616,0,
ALL_023_M_KOR_ENG_ST1,23,0,52.6,53.27,0.67,1.0,1,0.67,52.6,53.27,0.045655,0,
ALL_023_M_KOR_ENG_ST1,24,0,54.98,55.55,0.57,1.0,1,0.57,54.98,55.55,0.063598,0,
ALL_023_M_KOR_ENG_ST1,26,0,59.92,60.22,0.3,1.0,1,0.3,59.92,60.22,0.010988,0,
ALL_023_M_KOR_ENG_ST1,27,0,61.16,61.43,0.27,1.0,1,0.27,61.16,61.43,0.036904,0,
ALL_023_M_KOR_ENG_ST1,28,0,62.63,62.98,0.35,1.0,1,0.35,62.63,62.98,0.05821,0,
ALL_023_M_KOR_ENG_ST1,29,0,63.31,63.76,0.45,0.7867,2,0.192,63.31,63.502,0.042417,0,
ALL_023_M_KOR_ENG_ST1,29,1,63.31,63.76,0.45,0.7867,2,0.162,63.598,63.76,0.025154,0,
ALL_023_M_KOR_ENG_ST1,30,0,64.28,64.85,0.57,1.0,1,0.57,64.28,64.85,0.063387,0,
ALL_023_M_KOR_ENG_ST1,32,0,66.93,67.52,0.59,1.0,1,0.59,66.93,67.52,0.051283,0,
ALL_023_M_KOR_ENG_ST1,33,0,68.4,68.96,0.56,1.0,1,0.56,68.4,68.96,0.021659,0,
ALL_023_M_KOR_ENG_ST1,34,0,69.75,70.5,0.75,1.0,1,0.75,69.75,70.5,0.058422,0,
ALL_023_M_KOR_ENG_ST1,35,0,71.7,72.22,0.52,1.0,1,0.52,71.7,72.22,0.015494,0,
ALL_023_M_KOR_ENG_ST1,36,0,72.79,73.4721,0.6821,1.0,1,0.6821,72.79,73.4721,0.033266,0,
