file_id,gap_index,island_index,gap_start,gap_end,gap_duration,vad_occupancy,n_voiced_islands,island_duration,candidate_start,candidate_end,prob_filler,pred_filler,skip_reason
ALL_031_M_VIE_ENG_ST2,0,0,0.0,0.51,0.51,1.0,1,0.51,0.0,0.51,0.025749,0,
ALL_031_M_VIE_ENG_ST2,1,0,0.82,1.12,0.3,1.0,1,0.3,0.82,1.12,0.042398,0,
ALL_031_M_VIE_ENG_ST2,2,0,2.46,2.97,0.51,1.0,1,0.51,2.46,2.97,0.066178,0,
ALL_031_M_VIE_ENG_ST2,4,0,8.58,9.64,1.06,1.0,1,1.06,8.58,9.64,0.043768,0,
ALL_031_M_VIE_ENG_ST2,5,0,11.46,12.35,0.89,1.0,1,0.89,11.46,12.35,0.018269,0,
ALL_031_M_VIE_ENG_ST2,6,0,12.91,13.53,0.62,1.0,1,0.62,12.91,13.53,0.050011,0,
ALL_031_M_VIE_ENG_ST2,7,0,14.05,14.61,0.56,1.0,1,0.56,14.05,14.61,0.016501,0,
ALL_031_M_VIE_ENG_ST2,8,0,15.15,15.36,0.21,1.0,1,0.21,15.15,15.36,0.013784,0,
ALL_031_M_VIE_ENG_ST2,9,0,16.22,16.46,0.24,1.0,1,0.24,16.22,16.46,0.02567,0,
ALL_031_M_VIE_ENG_ST2,10,0,17.17,17.76,0.59,1.0,1,0.59,17.17,17.76,0.077878,0,
ALL_031_M_VIE_ENG_ST2,11,0,19.67,19.83,0.16,1.0,1,0.16,19.67,19.83,0.097985,0,
ALL_031_M_VIE_ENG_ST2,12,0,20.35,20.83,0.48,1.0,1,0.48,20.35,20.83,0.041883,0,
ALL_031_M_VIE_ENG_ST2,14,0,25.1,25.27,0.17,1.0,1,0.17,25.1,25.27,0.070442,0,
ALL_031_M_VIE_ENG_ST2,17,0,30.92,31.07,0.15,1.0,1,0.15,30.92,31.07,0.01636,0,
ALL_031_M_VIE_ENG_ST2,18,0,32.62,33.29,0.67,1.0,1,0.67,32.62,33.29,0.041297,0,
ALL_031_M_VIE_ENG_ST2,20,0,37.19,37.92,0.73,1.0,1,0.73,37.19,37.92,0.053576,0,
ALL_031_M_VIE_ENG_ST2,21,0,38.11,38.38,0.27,1.0,1,0.27,38.11,38.38,0.074925,0,
ALL_031_M_VIE_ENG_ST2,22,0,39.51,40.0,0.49,1.0,1,0.49,39.51,40.0,0.197478,0,
