file_id,gap_index,island_index,gap_start,gap_end,gap_duration,vad_occupancy,n_voiced_islands,island_duration,candidate_start,candidate_end,prob_filler,pred_filler,skip_reason
ALL_034_M_HIN_ENG_ST2,0,0,0.0,0.18,0.18,1.0,1,0.18,0.0,0.18,0.029054,0,
ALL_034_M_HIN_ENG_ST2,1,0,2.6,3.17,0.57,1.0,1,0.57,2.6,3.17,0.065853,0,
ALL_034_M_HIN_ENG_ST2,2,0,4.39,5.49,1.1,0.9891,1,1.088,4.39,5.478,0.031704,0,
ALL_034_M_HIN_ENG_ST2,3,0,10.85,11.54,0.69,0.6754,2,0.352,11.01,11.362,0.02822,0,
ALL_034_M_HIN_ENG_ST2,3,1,10.85,11.54,0.69,0.6754,2,0.114,11.426,11.54,0.033423,0,
ALL_034_M_HIN_ENG_ST2,4,0,12.21,12.64,0.43,0.6326,1,0.272,12.21,12.482,0.04459,0,
ALL_034_M_HIN_ENG_ST2,5,0,13.01,13.15,0.14,1.0,1,0.14,13.01,13.15,0.00421,0,
ALL_034_M_HIN_ENG_ST2,6,0,14.28,14.64,0.36,1.0,1,0.36,14.28,14.64,0.067006,0,
ALL_034_M_HIN_ENG_ST2,7,0,15.34,15.75,0.41,1.0,1,0.41,15.34,15.75,0.08474,0,
ALL_034_M_HIN_ENG_ST2,8,0,16.9,17.47,0.57,1.0,1,0.57,16.9,17.47,0.018622,0,
ALL_034_M_HIN_ENG_ST2,10,0,20.88,21.44,0.56,1.0,1,0.56,20.88,21.44,0.050395,0,
ALL_034_M_HIN_ENG_ST2,11,0,22.09,22.33,0.24,1.0,1,0.24,22.09,22.33,0.126791,0,
ALL_034_M_HIN_ENG_ST2,12,0,23.45,24.02,0.57,0.2982,1,0.17,23.85,24.02,0.026003,0,
ALL_034_M_HIN_ENG_ST2,13,0,24.69,25.21,0.52,0.9385,1,0.488,24.722,25.21,0.037115,0,
ALL_034_M_HIN_ENG_ST2,15,0,30.0,30.39,0.39,1.0,1,0.39,30.0,30.39,0.09801,0,
ALL_034_M_HIN_ENG_ST2,16,0,31.62,32.53,0.91,0.5429,2,0.336,31.796,32.132,0.05333,0,
ALL_034_M_HIN_ENG_ST2,16,1,31.62,32.53,0.91,0.5429,2,0.158,32.372,32.53,0.085685,0,
ALL_034_M_HIN_ENG_ST2,17,0,33.21,33.37,0.16,1.0,1,0.16,33.21,33.37,0.017941,0,
ALL_034_M_HIN_ENG_ST2,18,0,34.95,35.65,0.7,1.0,1,0.7,34.95,35.65,0.025046,0,
ALL_034_M_HIN_ENG_ST2,19,0,35.95,36.7,0.75,1.0,1,0.75,35.95,36.7,0.022841,0,
ALL_034_M_HIN_ENG_ST2,20,0,39.11,39.65,0.54,1.0,1,0.54,39.11,39.65,0.065166,0,
ALL_034_M_HIN_ENG_ST2,21,0,40.37,40.55,0.18,1.0,1,0.18,40.37,40.55,0.016848,0,
ALL_034_M_HIN_ENG_ST2,22,0,42.01,43.07,1.06,0.8189,2,0.656,42.01,42.666,0.065085,0,
ALL_034_M_HIN_ENG_ST2,22,1,42.01,43.07,1.06,0.8189,2,0.212,42.858,43.07,0.014309,0,
ALL_034_M_HIN_ENG_ST2,23,0,44.99,45.31,0.32,1.0,1,0.32,44.99,45.31,0.063159,0,
ALL_034_M_HIN_ENG_ST2,24,0,46.75,47.09,0.34,1.0,1,0.34,46.75,47.09,0.061013,0,
ALL_034_M_HIN_ENG_ST2,25,0,48.5,48.9661,0.4661,1.0,1,0.4661,48.5,48.9661,0.017332,0,
