file_id,gap_index,island_index,gap_start,gap_end,gap_duration,vad_occupancy,n_voiced_islands,island_duration,candidate_start,candidate_end,prob_filler,pred_filler,skip_reason
ALL_039_M_CMN_ENG_ST2,0,0,0.0,0.81,0.81,1.0,1,0.81,0.0,0.81,0.014477,0,
ALL_039_M_CMN_ENG_ST2,1,0,1.4,2.16,0.76,0.4632,2,0.24,1.4,1.64,0.009477,0,
ALL_039_M_CMN_ENG_ST2,1,1,1.4,2.16,0.76,0.4632,2,0.112,1.848,1.96,0.012514,0,
ALL_039_M_CMN_ENG_ST2,2,0,3.23,3.99,0.76,0.2316,1,0.176,3.23,3.406,0.0475,0,
ALL_039_M_CMN_ENG_ST2,3,0,4.47,5.41,0.94,0.783,2,0.528,4.47,4.998,0.024693,0,
ALL_039_M_CMN_ENG_ST2,3,1,4.47,5.41,0.94,0.783,2,0.208,5.062,5.27,0.04904,0,
ALL_039_M_CMN_ENG_ST2,4,0,5.57,5.74,0.17,1.0,1,0.17,5.57,5.74,0.009178,0,
ALL_039_M_CMN_ENG_ST2,5,0,6.11,6.35,0.24,1.0,1,0.24,6.11,6.35,0.019472,0,
ALL_039_M_CMN_ENG_ST2,6,0,7.23,7.46,0.23,1.0,1,0.23,7.23,7.46,0.122707,0,
ALL_039_M_CMN_ENG_ST2,7,0,9.07,10.27,1.2,1.0,1,1.2,9.07,10.27,0.025048,0,
ALL_039_M_CMN_ENG_ST2,8,0,11.49,11.99,0.5,1.0,1,0.5,11.49,11.99,0.036872,0,
ALL_039_M_CMN_ENG_ST2,9,0,12.5,13.5,1.0,0.48,2,0.32,12.5,12.82,0.088175,0,
ALL_039_M_CMN_ENG_ST2,9,1,12.5,13.5,1.0,0.48,2,0.16,13.22,13.38,0.012766,0,
ALL_039_M_CMN_ENG_ST2,10,0,14.94,15.15,0.21,1.0,1,0.21,14.94,15.15,0.097038,0,
ALL_039_M_CMN_ENG_ST2,11,0,15.78,16.72,0.94,1.0,1,0.94,15.78,16.72,0.041852,0,
ALL_039_M_CMN_ENG_ST2,12,0,17.27,18.41,1.14,1.0,1,1.14,17.27,18.41,0.028496,0,
ALL_039_M_CMN_ENG_ST2,13,0,18.64,19.27,0.63,0.2794,1,0.176,18.64,18.816,0.050573,0,
ALL_039_M_CMN_ENG_ST2,14,0,19.74,20.05,0.31,0.8258,1,0.256,19.74,19.996,0.022419,0,
ALL_039_M_CMN_ENG_ST2,15,0,20.39,20.72,0.33,1.0,1,0.33,20.39,20.72,0.044912,0,
ALL_039_M_CMN_ENG_ST2,16,0,20.97,21.14,0.17,1.0,1,0.17,20.97,21.14,0.029541,0,
ALL_039_M_CMN_ENG_ST2,17,0,21.78,22.03,0.25,1.0,1,0.25,21.78,22.03,0.037368,0,
ALL_039_M_CMN_ENG_ST2,18,-1,22.62,23.54,0.92,0.1304,1,,,,,0,vad_occupancy_out_of_range
ALL_039_M_CMN_ENG_ST2,19,0,24.05,24.34,0.29,1.0,1,0.29,24.05,24.34,0.054713,0,
ALL_039_M_CMN_ENG_ST2,20,0,24.82,25.17,0.35,1.0,1,0.35,24.82,25.17,0.023812,0,
ALL_039_M_CMN_ENG_ST2,21,0,27.01,27.6,0.59,1.0,1,0.59,27.01,27.6,0.076701,0,
ALL_039_M_CMN_ENG_ST2,22,0,27.96,28.48,0.52,1.0,1,0.52,27.96,28.48,0.097128,0,
ALL_039_M_CMN_ENG_ST2,23,0,30.3,30.87,0.57,1.0,1,0.57,30.3,30.87,0.051932,0,
ALL_039_M_CMN_ENG_ST2,26,0,37.52,37.78,0.26,1.0,1,0.26,37.52,37.78,0.022438,0,
ALL_039_M_CMN_ENG_ST2,27,0,38.3,38.57,0.27,1.0,1,0.27,38.3,38.57,0.081248,0,
ALL_039_M_CMN_ENG_ST2,29,0,42.67,42.8,0.13,1.0,1,0.13,42.67,42.8,0.03491,0,
ALL_039_M_CMN_ENG_ST2,30,0,43.45,44.05,0.6,0.4933,1,0.296,43.754,44.05,0.118274,0,
ALL_039_M_CMN_ENG_ST2,31,0,44.14,44.5,0.36,1.0,1,0.36,44.14,44.5,0.011804,0,
ALL_039_M_CMN_ENG_ST2,32,0,45.07,45.56,0.49,1.0,1,0.49,45.07,45.56,0.03996,0,
ALL_039_M_CMN_ENG_ST2,33,0,46.45,46.95,0.5,1.0,1,0.5,46.45,46.95,0.014507,0,
ALL_039_M_CMN_ENG_ST2,35,0,49.58,49.75,0.17,0.9412,1,0.16,49.58,49.74,0.032998,0,
ALL_039_M_CMN_ENG_ST2,36,0,50.4,50.67,0.27,1.0,1,0.27,50.4,50.67,0.038035,0,
ALL_039_M_CMN_ENG_ST2,37,0,51.04,51.38,0.34,1.0,1,0.34,51.04,51.38,0.074104,0,
ALL_039_M_CMN_ENG_ST2,38,0,52.08,52.4,0.32,1.0,1,0.32,52.08,52.4,0.042283,0,
ALL_039_M_CMN_ENG_ST2,39,0,53.23,53.48,0.25,1.0,1,0.25,53.23,53.48,0.055599,0,
ALL_039_M_CMN_ENG_ST2,40,-1,54.57,55.27,0.7,0.1771,1,,,,,0,vad_occupancy_out_of_range
ALL_039_M_CMN_ENG_ST2,41,0,55.65,56.34,0.69,1.0,1,0.69,55.65,56.34,0.026124,0,
ALL_039_M_CMN_ENG_ST2,42,0,58.33,58.87,0.54,1.0,1,0.54,58.33,58.87,0.031551,0,
ALL_039_M_CMN_ENG_ST2,43,0,60.18,61.11,0.93,0.5161,1,0.48,60.516,60.996,0.065426,0,
ALL_039_M_CMN_ENG_ST2,44,0,61.92,62.87,0.95,0.2526,1,0.24,61.92,62.16,0.039145,0,
ALL_039_M_CMN_ENG_ST2,45,0,63.39,63.91,0.52,1.0,1,0.52,63.39,63.91,0.044328,0,
ALL_039_M_CMN_ENG_ST2,46,0,64.38,64.63,0.25,1.0,1,0.25,64.38,64.63,0.051769,0,
ALL_039_M_CMN_ENG_ST2,47,0,65.07,65.67,0.6,1.0,1,0.6,65.07,65.67,0.042639,0,
ALL_039_M_CMN_ENG_ST2,48,0,67.15,67.32,0.17,1.0,1,0.17,67.15,67.32,0.077295,0,
ALL_039_M_CMN_ENG_ST2,49,0,67.79,68.06,0.27,1.0,1,0.27,67.79,68.06,0.054442,0,
ALL_039_M_CMN_ENG_ST2,52,0,73.11,73.28,0.17,1.0,1,0.17,73.11,73.28,0.013112,0,
ALL_039_M_CMN_ENG_ST2,53,0,74.24,75.23,0.99,0.4525,2,0.224,74.24,74.464,0.148865,0,
ALL_039_M_CMN_ENG_ST2,53,1,74.24,75.23,0.99,0.4525,2,0.224,74.768,74.992,0.007398,0,
ALL_039_M_CMN_ENG_ST2,54,0,75.68,76.85,1.17,0.6701,2,0.464,75.68,76.144,0.095546,0,
ALL_039_M_CMN_ENG_ST2,54,1,75.68,76.85,1.17,0.6701,2,0.32,76.496,76.816,0.061547,0,
ALL_039_M_CMN_ENG_ST2,55,0,77.05,77.58,0.53,0.9057,1,0.48,77.05,77.53,0.01099,0,
ALL_039_M_CMN_ENG_ST2,56,0,78.13,78.63,0.5,1.0,1,0.5,78.13,78.63,0.04754,0,
ALL_039_M_CMN_ENG_ST2,57,0,79.68,79.87,0.19,1.0,1,0.19,79.68,79.87,0.040303,0,
ALL_039_M_CMN_ENG_ST2,59,0,85.77,86.18,0.41,1.0,1,0.41,85.77,86.18,0.020139,0,
ALL_039_M_CMN_ENG_ST2,60,0,86.47,86.85,0.38,1.0,1,0.38,86.47,86.85,0.039785,0,
ALL_039_M_CMN_ENG_ST2,61,0,88.0,88.24,0.24,1.0,1,0.24,88.0,88.24,0.016949,0,
ALL_039_M_CMN_ENG_ST2,64,0,93.79,94.95,1.16,0.5793,2,0.576,94.094,94.67,0.13254,0,
ALL_039_M_CMN_ENG_ST2,64,1,93.79,94.95,1.16,0.5793,2,0.096,94.734,94.83,0.021886,0,
ALL_039_M_CMN_ENG_ST2,65,0,95.48,95.73,0.25,1.0,1,0.25,95.48,95.73,0.074069,0,
ALL_039_M_CMN_ENG_ST2,67,0,98.23,98.59,0.36,1.0,1,0.36,98.23,98.59,0.00992,0,
