file_id,gap_index,island_index,gap_start,gap_end,gap_duration,vad_occupancy,n_voiced_islands,island_duration,candidate_start,candidate_end,prob_filler,pred_filler,skip_reason
ALL_046_F_FAR_ENG_ST1,0,0,0.0,0.15,0.15,1.0,1,0.15,0.0,0.15,0.077598,0,
ALL_046_F_FAR_ENG_ST1,1,0,2.06,2.6,0.54,1.0,1,0.54,2.06,2.6,0.05108,0,
ALL_046_F_FAR_ENG_ST1,2,0,3.43,3.86,0.43,1.0,1,0.43,3.43,3.86,0.046536,0,
ALL_046_F_FAR_ENG_ST1,3,0,5.18,5.82,0.64,1.0,1,0.64,5.18,5.82,0.048079,0,
ALL_046_F_FAR_ENG_ST1,4,0,6.89,7.3,0.41,1.0,1,0.41,6.89,7.3,0.066472,0,
ALL_046_F_FAR_ENG_ST1,5,0,8.25,8.4,0.15,1.0,1,0.15,8.25,8.4,0.036935,0,
ALL_046_F_FAR_ENG_ST1,6,0,8.58,9.4,0.82,1.0,1,0.82,8.58,9.4,0.063004,0,
ALL_046_F_FAR_ENG_ST1,7,0,11.29,12.09,0.8,1.0,1,0.8,11.29,12.09,0.104082,0,
ALL_046_F_FAR_ENG_ST1,8,0,13.66,14.35,0.69,1.0,1,0.69,13.66,14.35,0.086813,0,
ALL_046_F_FAR_ENG_ST1,9,0,16.93,18.07,1.14,1.0,1,1.14,16.93,18.07,0.081446,0,
ALL_046_F_FAR_ENG_ST1,10,0,19.25,19.5,0.25,1.0,1,0.25,19.25,19.5,0.006441,0,
ALL_046_F_FAR_ENG_ST1,12,0,23.11,24.04,0.93,0.5355,2,0.416,23.11,23.526,0.123896,0,
ALL_046_F_FAR_ENG_ST1,12,1,23.11,24.04,0.93,0.5355,2,0.082,23.958,24.04,0.066466,0,
ALL_046_F_FAR_ENG_ST1,13,0,24.26,24.85,0.59,1.0,1,0.59,24.26,24.85,0.066356,0,
ALL_046_F_FAR_ENG_ST1,14,0,27.13,27.54,0.41,1.0,1,0.41,27.13,27.54,0.07776,0,
ALL_046_F_FAR_ENG_ST1,16,0,33.08,33.345,0.265,1.0,1,0.265,33.08,33.345,0.06166,0,
