file_id,gap_index,island_index,gap_start,gap_end,gap_duration,vad_occupancy,n_voiced_islands,island_duration,candidate_start,candidate_end,prob_filler,pred_filler,skip_reason
ALL_047_M_FAR_ENG_ST2,0,0,0.0,0.36,0.36,1.0,1,0.36,0.0,0.36,0.033372,0,
ALL_047_M_FAR_ENG_ST2,1,0,2.15,2.39,0.24,1.0,1,0.24,2.15,2.39,0.061356,0,
ALL_047_M_FAR_ENG_ST2,2,0,4.64,5.37,0.73,1.0,1,0.73,4.64,5.37,0.046501,0,
ALL_047_M_FAR_ENG_ST2,3,0,6.91,7.18,0.27,1.0,1,0.27,6.91,7.18,0.056943,0,
ALL_047_M_FAR_ENG_ST2,4,0,8.05,8.27,0.22,1.0,1,0.22,8.05,8.27,0.109118,0,
ALL_047_M_FAR_ENG_ST2,5,0,8.83,9.54,0.71,0.7972,2,0.368,8.862,9.23,0.167825,0,
ALL_047_M_FAR_ENG_ST2,5,1,8.83,9.54,0.71,0.7972,2,0.198,9.342,9.54,0.121725,0,
ALL_047_M_FAR_ENG_ST2,6,0,9.8,10.05,0.25,1.0,1,0.25,9.8,10.05,0.093657,0,
ALL_047_M_FAR_ENG_ST2,7,0,11.45,12.34,0.89,1.0,1,0.89,11.45,12.34,0.053845,0,
ALL_047_M_FAR_ENG_ST2,8,0,13.18,14.08,0.9,0.3911,2,0.112,13.18,13.292,0.037369,0,
ALL_047_M_FAR_ENG_ST2,8,1,13.18,14.08,0.9,0.3911,2,0.24,13.772,14.012,0.035611,0,
ALL_047_M_FAR_ENG_ST2,9,0,15.16,15.48,0.32,1.0,1,0.32,15.16,15.48,0.061404,0,
ALL_047_M_FAR_ENG_ST2,10,0,16.03,16.51,0.48,1.0,1,0.48,16.03,16.51,0.074208,0,
ALL_047_M_FAR_ENG_ST2,11,0,17.33,18.47,1.14,0.3123,1,0.356,18.114,18.47,0.087995,0,
ALL_047_M_FAR_ENG_ST2,12,0,19.1,19.47,0.37,0.9081,1,0.336,19.1,19.436,0.023295,0,
ALL_047_M_FAR_ENG_ST2,13,0,20.75,20.95,0.2,1.0,1,0.2,20.75,20.95,0.067287,0,
ALL_047_M_FAR_ENG_ST2,14,0,22.99,23.54,0.55,1.0,1,0.55,22.99,23.54,0.056164,0,
ALL_047_M_FAR_ENG_ST2,16,0,28.57,29.36,0.79,1.0,1,0.79,28.57,29.36,0.075249,0,
ALL_047_M_FAR_ENG_ST2,17,0,31.43,32.4,0.97,0.2907,1,0.282,32.118,32.4,0.318626,0,
ALL_047_M_FAR_ENG_ST2,18,0,33.58,34.32,0.74,0.9135,2,0.512,33.58,34.092,0.069696,0,
ALL_047_M_FAR_ENG_ST2,18,1,33.58,34.32,0.74,0.9135,2,0.164,34.156,34.32,0.032722,0,
ALL_047_M_FAR_ENG_ST2,19,0,34.61,34.79,0.18,1.0,1,0.18,34.61,34.79,0.09014,0,
ALL_047_M_FAR_ENG_ST2,20,0,36.25,36.61,0.36,1.0,1,0.36,36.25,36.61,0.230979,0,
ALL_047_M_FAR_ENG_ST2,21,0,38.26,38.47,0.21,1.0,1,0.21,38.26,38.47,0.055491,0,
