file_id,gap_index,island_index,gap_start,gap_end,gap_duration,vad_occupancy,n_voiced_islands,island_duration,candidate_start,candidate_end,prob_filler,pred_filler,skip_reason
ALL_097_F_KOR_ENG_ST2,0,0,0.0,0.36,0.36,1.0,1,0.36,0.0,0.36,0.100102,0,
ALL_097_F_KOR_ENG_ST2,1,0,0.97,1.6,0.63,1.0,1,0.63,0.97,1.6,0.055895,0,
ALL_097_F_KOR_ENG_ST2,2,0,3.41,3.8,0.39,1.0,1,0.39,3.41,3.8,0.015495,0,
ALL_097_F_KOR_ENG_ST2,4,0,8.28,8.69,0.41,0.5854,2,0.128,8.28,8.408,0.030289,0,
ALL_097_F_KOR_ENG_ST2,4,1,8.28,8.69,0.41,0.5854,2,0.112,8.472,8.584,0.055527,0,
ALL_097_F_KOR_ENG_ST2,5,0,10.96,11.46,0.5,1.0,1,0.5,10.96,11.46,0.104269,0,
ALL_097_F_KOR_ENG_ST2,6,0,12.34,13.2,0.86,1.0,1,0.86,12.34,13.2,0.071689,0,
ALL_097_F_KOR_ENG_ST2,7,0,14.89,15.39,0.5,1.0,1,0.5,14.89,15.39,0.045481,0,
ALL_097_F_KOR_ENG_ST2,8,0,17.13,17.31,0.18,1.0,1,0.18,17.13,17.31,0.03505,0,
ALL_097_F_KOR_ENG_ST2,10,0,21.0,21.85,0.85,1.0,1,0.85,21.0,21.85,0.039963,0,
ALL_097_F_KOR_ENG_ST2,11,0,22.28,22.47,0.19,1.0,1,0.19,22.28,22.47,0.07602,0,
ALL_097_F_KOR_ENG_ST2,12,0,23.23,24.23,1.0,0.8,1,0.8,23.23,24.03,0.080262,0,
ALL_097_F_KOR_ENG_ST2,13,0,24.74,25.23,0.49,1.0,1,0.49,24.74,25.23,0.071198,0,
ALL_097_F_KOR_ENG_ST2,15,0,30.64,30.84,0.2,1.0,1,0.2,30.64,30.84,0.02101,0,
ALL_097_F_KOR_ENG_ST2,16,-1,32.27,33.03,0.76,0.1474,1,,,,,0,vad_occupancy_out_of_range
ALL_097_F_KOR_ENG_ST2,17,0,33.46,33.61,0.15,1.0,1,0.15,33.46,33.61,0.046221,0,
ALL_097_F_KOR_ENG_ST2,18,0,34.12,35.26,1.14,1.0,1,1.14,34.12,35.26,0.091621,0,
ALL_097_F_KOR_ENG_ST2,19,0,36.32,37.22,0.9,0.2311,1,0.208,36.32,36.528,0.017486,0,
ALL_097_F_KOR_ENG_ST2,20,0,38.87,39.23,0.36,1.0,1,0.36,38.87,39.23,0.052183,0,
ALL_097_F_KOR_ENG_ST2,21,0,40.54,40.75,0.21,1.0,1,0.21,40.54,40.75,0.052859,0,
ALL_097_F_KOR_ENG_ST2,23,0,45.25,46.31,1.06,0.2264,2,0.112,45.25,45.362,0.016001,0,
ALL_097_F_KOR_ENG_ST2,23,1,45.25,46.31,1.06,0.2264,2,0.128,45.826,45.954,0.035514,0,
ALL_097_F_KOR_ENG_ST2,24,0,47.88,48.75,0.87,1.0,1,0.87,47.88,48.75,0.112276,0,
ALL_097_F_KOR_ENG_ST2,25,0,49.23,49.8,0.57,1.0,1,0.57,49.23,49.8,0.059151,0,
ALL_097_F_KOR_ENG_ST2,26,0,50.53,51.14,0.61,1.0,1,0.61,50.53,51.14,0.031343,0,
ALL_097_F_KOR_ENG_ST2,27,0,52.17,52.45,0.28,1.0,1,0.28,52.17,52.45,0.122089,0,
ALL_097_F_KOR_ENG_ST2,30,0,66.26,67.39,1.13,1.0,1,1.13,66.26,67.39,0.071807,0,
ALL_097_F_KOR_ENG_ST2,31,0,67.85,67.97,0.12,1.0,1,0.12,67.85,67.97,0.028782,0,
ALL_097_F_KOR_ENG_ST2,32,0,69.56,70.5,0.94,1.0,1,0.94,69.56,70.5,0.068804,0,
ALL_097_F_KOR_ENG_ST2,33,0,72.41,73.04,0.63,1.0,1,0.63,72.41,73.04,0.054497,0,
ALL_097_F_KOR_ENG_ST2,34,0,74.93,75.37,0.44,1.0,1,0.44,74.93,75.37,0.031816,0,
ALL_097_F_KOR_ENG_ST2,35,0,77.56,77.88,0.32,1.0,1,0.32,77.56,77.88,0.095503,0,
ALL_097_F_KOR_ENG_ST2,37,0,82.51,83.01,0.5,1.0,1,0.5,82.51,83.01,0.091531,0,
ALL_097_F_KOR_ENG_ST2,38,0,84.54,85.23,0.69,1.0,1,0.69,84.54,85.23,0.108924,0,
ALL_097_F_KOR_ENG_ST2,39,0,85.95,86.38,0.43,1.0,1,0.43,85.95,86.38,0.049132,0,
ALL_097_F_KOR_ENG_ST2,40,0,88.1,88.22,0.12,1.0,1,0.12,88.1,88.22,0.008681,0,
ALL_097_F_KOR_ENG_ST2,41,0,89.22,90.25,1.03,0.3417,1,0.352,89.22,89.572,0.26929,0,
ALL_097_F_KOR_ENG_ST2,42,0,90.98,91.88,0.9,1.0,1,0.9,90.98,91.88,0.072308,0,
ALL_097_F_KOR_ENG_ST2,46,0,101.35,101.49,0.14,1.0,1,0.14,101.35,101.49,0.22639,0,
ALL_097_F_KOR_ENG_ST2,47,0,103.0,103.25,0.25,1.0,1,0.25,103.0,103.25,0.026193,0,
ALL_097_F_KOR_ENG_ST2,48,0,104.53,105.3531,0.8231,1.0,1,0.8231,104.53,105.3531,0.042764,0,
