file_id,gap_index,island_index,gap_start,gap_end,gap_duration,vad_occupancy,n_voiced_islands,island_duration,candidate_start,candidate_end,prob_filler,pred_filler,skip_reason
ALL_100_F_SHS_ENG_ST2,0,0,0.0,0.16,0.16,1.0,1,0.16,0.0,0.16,0.024373,0,
ALL_100_F_SHS_ENG_ST2,1,0,2.6,3.15,0.55,1.0,1,0.55,2.6,3.15,0.049918,0,
ALL_100_F_SHS_ENG_ST2,2,0,4.07,5.2,1.13,1.0,1,1.13,4.07,5.2,0.096793,0,
ALL_100_F_SHS_ENG_ST2,3,0,9.86,10.06,0.2,1.0,1,0.2,9.86,10.06,0.039674,0,
ALL_100_F_SHS_ENG_ST2,4,-1,10.94,11.44,0.5,0.0,0,,,,,0,vad_occupancy_out_of_range
ALL_100_F_SHS_ENG_ST2,5,0,11.91,12.91,1.0,1.0,1,1.0,11.91,12.91,0.093792,0,
ALL_100_F_SHS_ENG_ST2,6,0,14.56,15.39,0.83,1.0,1,0.83,14.56,15.39,0.071521,0,
ALL_100_F_SHS_ENG_ST2,7,-1,20.22,20.75,0.53,0.0,0,,,,,0,vad_occupancy_out_of_range
ALL_100_F_SHS_ENG_ST2,8,0,20.93,21.05,0.12,1.0,1,0.12,20.93,21.05,0.046213,0,
ALL_100_F_SHS_ENG_ST2,9,0,21.83,22.43,0.6,1.0,1,0.6,21.83,22.43,0.098987,0,
ALL_100_F_SHS_ENG_ST2,11,0,26.86,27.72,0.86,0.5581,2,0.096,26.86,26.956,0.159657,0,
ALL_100_F_SHS_ENG_ST2,11,1,26.86,27.72,0.86,0.5581,2,0.384,27.052,27.436,0.081261,0,
ALL_100_F_SHS_ENG_ST2,12,0,28.34,28.54,0.2,1.0,1,0.2,28.34,28.54,0.020317,0,
ALL_100_F_SHS_ENG_ST2,13,0,29.79,30.48,0.69,1.0,1,0.69,29.79,30.48,0.093026,0,
ALL_100_F_SHS_ENG_ST2,15,0,33.12,33.77,0.65,0.6554,2,0.32,33.12,33.44,0.140925,0,
ALL_100_F_SHS_ENG_ST2,15,1,33.12,33.77,0.65,0.6554,2,0.106,33.664,33.77,0.022,0,
ALL_100_F_SHS_ENG_ST2,16,0,34.29,34.61,0.32,1.0,1,0.32,34.29,34.61,0.025792,0,
ALL_100_F_SHS_ENG_ST2,17,0,35.92,36.56,0.64,0.85,1,0.544,35.92,36.464,0.055595,0,
ALL_100_F_SHS_ENG_ST2,18,0,39.86,40.4,0.54,1.0,1,0.54,39.86,40.4,0.077261,0,
ALL_100_F_SHS_ENG_ST2,19,0,40.94,41.8,0.86,1.0,1,0.86,40.94,41.8,0.050315,0,
ALL_100_F_SHS_ENG_ST2,23,-1,53.75,54.25,0.5,0.168,1,,,,,0,vad_occupancy_out_of_range
ALL_100_F_SHS_ENG_ST2,24,0,55.47,56.14,0.67,1.0,1,0.67,55.47,56.14,0.079297,0,
ALL_100_F_SHS_ENG_ST2,25,0,58.54,59.02,0.48,1.0,1,0.48,58.54,59.02,0.04671,0,
ALL_100_F_SHS_ENG_ST2,26,-1,59.98,61.02,1.04,0.1692,1,,,,,0,vad_occupancy_out_of_range
ALL_100_F_SHS_ENG_ST2,27,0,61.59,61.83,0.24,1.0,1,0.24,61.59,61.83,0.025691,0,
ALL_100_F_SHS_ENG_ST2,28,0,63.23,63.62,0.39,1.0,1,0.39,63.23,63.62,0.115011,0,
ALL_100_F_SHS_ENG_ST2,29,0,64.13,64.6581,0.5281,1.0,1,0.5281,64.13,64.6581,0.108699,0,
