file_id,gap_index,island_index,gap_start,gap_end,gap_duration,vad_occupancy,n_voiced_islands,island_duration,candidate_start,candidate_end,prob_filler,pred_filler,skip_reason
ALL_102_M_SHS_ENG_ST2,0,0,0.0,0.14,0.14,1.0,1,0.14,0.0,0.14,0.094509,0,
ALL_102_M_SHS_ENG_ST2,1,0,2.1,3.12,1.02,1.0,1,1.02,2.1,3.12,0.074734,0,
ALL_102_M_SHS_ENG_ST2,2,0,6.17,6.39,0.22,1.0,1,0.22,6.17,6.39,0.105001,0,
ALL_102_M_SHS_ENG_ST2,3,0,8.11,9.26,1.15,1.0,1,1.15,8.11,9.26,0.100301,0,
ALL_102_M_SHS_ENG_ST2,4,0,11.01,11.28,0.27,1.0,1,0.27,11.01,11.28,0.05307,0,
ALL_102_M_SHS_ENG_ST2,5,0,12.84,13.93,1.09,1.0,1,1.09,12.84,13.93,0.105267,0,
ALL_102_M_SHS_ENG_ST2,6,0,15.86,16.16,0.3,1.0,1,0.3,15.86,16.16,0.024108,0,
ALL_102_M_SHS_ENG_ST2,7,0,17.78,18.28,0.5,1.0,1,0.5,17.78,18.28,0.121813,0,
ALL_102_M_SHS_ENG_ST2,8,0,20.27,20.78,0.51,1.0,1,0.51,20.27,20.78,0.061348,0,
ALL_102_M_SHS_ENG_ST2,9,0,22.24,22.78,0.54,1.0,1,0.54,22.24,22.78,0.067032,0,
ALL_102_M_SHS_ENG_ST2,10,0,24.63,25.63,1.0,1.0,1,1.0,24.63,25.63,0.102294,0,
ALL_102_M_SHS_ENG_ST2,11,0,29.67,30.2,0.53,1.0,1,0.53,29.67,30.2,0.099663,0,
ALL_102_M_SHS_ENG_ST2,12,0,31.09,31.84,0.75,1.0,1,0.75,31.09,31.84,0.054091,0,
ALL_102_M_SHS_ENG_ST2,14,0,37.42,37.59,0.17,1.0,1,0.17,37.42,37.59,0.045384,0,
ALL_102_M_SHS_ENG_ST2,15,0,40.91,41.99,1.08,1.0,1,1.08,40.91,41.99,0.120592,0,
ALL_102_M_SHS_ENG_ST2,16,0,43.94,44.64,0.7,1.0,1,0.7,43.94,44.64,0.04749,0,
ALL_102_M_SHS_ENG_ST2,17,0,46.89,47.03,0.14,1.0,1,0.14,46.89,47.03,0.106294,0,
ALL_102_M_SHS_ENG_ST2,18,0,48.09,48.6,0.51,1.0,1,0.51,48.09,48.6,0.092649,0,
ALL_102_M_SHS_ENG_ST2,19,0,49.16,49.34,0.18,1.0,1,0.18,49.16,49.34,0.246075,0,
ALL_102_M_SHS_ENG_ST2,20,0,50.38,50.64,0.26,1.0,1,0.26,50.38,50.64,0.171156,0,
ALL_102_M_SHS_ENG_ST2,21,0,51.62,51.94,0.32,1.0,1,0.32,51.62,51.94,0.034559,0,
ALL_102_M_SHS_ENG_ST2,22,0,53.98,54.39,0.41,0.8195,1,0.336,53.98,54.316,0.029078,0,
ALL_102_M_SHS_ENG_ST2,23,0,55.28,55.714,0.434,1.0,1,0.434,55.28,55.714,0.05972,0,
