file_id,gap_index,island_index,gap_start,gap_end,gap_duration,vad_occupancy,n_voiced_islands,island_duration,candidate_start,candidate_end,prob_filler,pred_filler,skip_reason
ALL_151_M_HEB_ENG_ST1,1,0,7.4,7.55,0.15,1.0,1,0.15,7.4,7.55,0.027646,0,
ALL_151_M_HEB_ENG_ST1,2,0,8.9,9.6,0.7,0.6571,1,0.46,9.14,9.6,0.01225,0,
ALL_151_M_HEB_ENG_ST1,3,0,11.58,12.36,0.78,1.0,1,0.78,11.58,12.36,0.029695,0,
ALL_151_M_HEB_ENG_ST1,4,0,14.86,14.99,0.13,1.0,1,0.13,14.86,14.99,0.15605,0,
ALL_151_M_HEB_ENG_ST1,5,0,17.54,18.11,0.57,0.7579,1,0.432,17.54,17.972,0.052627,0,
ALL_151_M_HEB_ENG_ST1,7,0,20.77,21.07,0.3,1.0,1,0.3,20.77,21.07,0.090038,0,
ALL_151_M_HEB_ENG_ST1,8,0,25.1,25.63,0.53,1.0,1,0.53,25.1,25.63,0.057153,0,
ALL_151_M_HEB_ENG_ST1,10,0,32.93,33.21,0.28,1.0,1,0.28,32.93,33.21,0.033537,0,
ALL_151_M_HEB_ENG_ST1,12,0,36.66,36.97,0.31,1.0,1,0.31,36.66,36.97,0.134663,0,
ALL_151_M_HEB_ENG_ST1,13,0,38.03,38.4,0.37,1.0,1,0.37,38.03,38.4,0.023458,0,
ALL_151_M_HEB_ENG_ST1,15,-1,42.87,43.65,0.78,0.1385,1,,,,,0,vad_occupancy_out_of_range
ALL_151_M_HEB_ENG_ST1,17,0,47.22,47.64,0.42,1.0,1,0.42,47.22,47.64,0.085538,0,
ALL_151_M_HEB_ENG_ST1,18,0,47.83,47.97,0.14,1.0,1,0.14,47.83,47.97,0.025386,0,
ALL_151_M_HEB_ENG_ST1,20,0,50.41,50.8,0.39,0.6154,1,0.24,50.41,50.65,0.021334,0,
ALL_151_M_HEB_ENG_ST1,21,0,53.42,54.09,0.67,1.0,1,0.67,53.42,54.09,0.024688,0,
ALL_151_M_HEB_ENG_ST1,22,0,56.32,56.71,0.39,1.0,1,0.39,56.32,56.71,0.068375,0,
ALL_151_M_HEB_ENG_ST1,23,0,57.11,57.63,0.52,0.9692,1,0.504,57.126,57.63,0.224052,0,
ALL_151_M_HEB_ENG_ST1,25,0,60.37,60.59,0.22,1.0,1,0.22,60.37,60.59,0.02356,0,
ALL_151_M_HEB_ENG_ST1,26,0,61.01,61.51,0.5,0.224,1,0.112,61.01,61.122,0.091198,0,
ALL_151_M_HEB_ENG_ST1,27,0,63.45,63.67,0.22,1.0,1,0.22,63.45,63.67,0.024141,0,
ALL_151_M_HEB_ENG_ST1,28,0,65.56,66.65,1.09,1.0,1,1.09,65.56,66.65,0.05362,0,
ALL_151_M_HEB_ENG_ST1,30,0,69.85,70.04,0.19,1.0,1,0.19,69.85,70.04,0.02039,0,
ALL_151_M_HEB_ENG_ST1,33,0,77.45,78.23,0.78,1.0,1,0.78,77.45,78.23,0.113417,0,
ALL_151_M_HEB_ENG_ST1,34,0,78.68,78.88,0.2,1.0,1,0.2,78.68,78.88,0.024947,0,
ALL_151_M_HEB_ENG_ST1,35,0,79.48,79.75,0.27,1.0,1,0.27,79.48,79.75,0.06303,0,
ALL_151_M_HEB_ENG_ST1,36,0,80.39,80.55,0.16,1.0,1,0.16,80.39,80.55,0.029939,0,
