AR,SR,MLR,MCPR,ECPR,PR,MCPD,ECPD,MPD,total_syllables,total_duration,phonation_time,n_pauses,n_mid_clause_pauses,n_end_clause_pauses,n_clauses,clf_pause_candidates,clf_pauses_split,clf_vad_islands_detected,clf_islands_scored,clf_predicted_speech_islands,clf_refined_pause_count,file
2.991,1.645,3.86,0.1556,0.1111,0.2667,0.98,1.09,1.026,270,164.11,90.27,72,42,30,28,71,1,72,26,1,72,ALL_001_F_GER_ENG_ST1.TextGrid
3.995,1.979,4.66,0.1015,0.1147,0.2162,0.78,1.534,1.18,680,343.69,170.22,147,69,78,95,147,0,153,26,0,147,ALL_003_F_RUS_ENG_ST2.TextGrid
3.063,1.754,3.79,0.183,0.0894,0.2723,0.751,1.188,0.894,235,133.95,76.73,64,43,21,35,63,2,73,29,3,64,ALL_005_M_CMN_ENG_ST1.TextGrid
2.944,1.774,3.55,0.1674,0.1233,0.2907,0.676,0.898,0.771,227,127.97,77.11,66,38,28,29,65,2,67,16,2,66,ALL_008_F_PBR_ENG_ST2.TextGrid
3.921,2.287,5.39,0.1023,0.0852,0.1875,0.744,1.245,0.972,528,230.89,134.67,99,54,45,57,99,0,103,7,0,99,ALL_010_M_RUS_ENG_ST1.TextGrid
3.049,1.828,3.48,0.2019,0.0883,0.2902,0.641,1.014,0.755,317,173.4,103.98,92,64,28,30,92,0,91,25,0,92,ALL_013_M_JPN_ENG_ST2.TextGrid
3.777,2.501,5.17,0.1031,0.0954,0.1985,0.741,0.616,0.681,388,155.13,102.72,77,40,37,51,76,1,81,22,1,77,ALL_014_M_TUR_ENG_ST2.TextGrid
2.957,1.907,3.93,0.1243,0.1329,0.2572,0.432,0.996,0.723,346,181.4,117.02,89,43,46,51,89,0,88,1,0,89,ALL_018_F_CMN_ENG_ST1.TextGrid
2.984,1.647,3.56,0.1901,0.1074,0.2975,0.74,1.224,0.915,121,73.47,40.54,36,23,13,14,35,1,38,6,1,36,ALL_023_M_KOR_ENG_ST1.TextGrid
4.992,2.826,5.36,0.0904,0.1017,0.1921,0.767,0.828,0.799,177,62.63,35.46,34,16,18,28,34,0,35,4,0,34,ALL_029_M_TUR_ENG_ST1.TextGrid
3.389,1.982,4.77,0.1236,0.0899,0.2135,0.9,1.094,0.981,267,134.73,78.79,57,33,24,31,57,0,62,8,0,57,ALL_031_M_VIE_ENG_ST2.TextGrid
4.104,2.674,7.75,0.0591,0.0753,0.1344,1.175,0.809,0.97,186,69.57,45.32,25,11,14,27,25,0,31,11,0,25,ALL_034_M_HIN_ENG_ST1.TextGrid
4.055,2.839,6.62,0.0719,0.0791,0.1511,0.681,0.716,0.699,139,48.97,34.28,21,10,11,20,21,0,24,9,0,21,ALL_034_M_HIN_ENG_ST2.TextGrid
3.36,1.747,3.29,0.216,0.092,0.308,0.799,1.111,0.893,250,143.14,74.41,77,54,23,23,77,2,91,45,2,77,ALL_039_M_CMN_ENG_ST2.TextGrid
3.075,2.029,4.23,0.1364,0.1,0.2364,0.613,0.84,0.709,220,108.43,71.55,52,30,22,27,52,1,59,25,1,52,ALL_043_M_CMN_ENG_ST2.TextGrid
3.435,1.901,4.43,0.1198,0.1106,0.2304,0.742,1.321,1.02,217,114.18,63.17,50,26,24,25,50,1,52,12,1,50,ALL_044_F_FRA_ENG_ST1.TextGrid
3.508,2.252,5.29,0.1152,0.0783,0.1935,0.813,0.835,0.822,217,96.37,61.86,42,25,17,21,42,0,43,16,0,42,ALL_044_F_FRA_ENG_ST2.TextGrid
4.897,3.269,7.27,0.0367,0.1009,0.1376,1.002,0.643,0.739,109,33.34,22.26,15,4,11,16,15,0,15,2,0,15,ALL_046_F_FAR_ENG_ST1.TextGrid
4.209,2.915,6.04,0.0919,0.0772,0.1691,0.568,0.689,0.624,272,93.32,64.63,46,25,21,34,46,0,46,14,0,46,ALL_047_M_FAR_ENG_ST2.TextGrid
2.627,1.176,3.53,0.177,0.115,0.292,1.154,2.309,1.609,113,96.1,43.01,33,20,13,14,33,0,37,8,0,33,ALL_074_F_CCT_ENG_ST2.TextGrid
