threshold,overall_r,overall_icc,overall_mae,st1_r,st1_icc,st1_mae,st2_r,st2_icc,st2_mae,pauses_split_total,pred_speech_islands_total,vad_islands_detected_total,clf_islands_scored_total
0.1,0.841,0.827,0.0815,0.74,0.717,0.0847,0.921,0.901,0.0784,29,31,1983,511
0.15,0.841,0.827,0.0815,0.74,0.717,0.0847,0.921,0.901,0.0784,27,28,1983,511
0.2,0.841,0.827,0.0815,0.74,0.717,0.0847,0.921,0.901,0.0784,27,28,1983,511
0.25,0.841,0.827,0.0815,0.74,0.717,0.0847,0.921,0.901,0.0784,26,27,1983,511
0.3,0.841,0.827,0.0815,0.74,0.717,0.0847,0.921,0.901,0.0784,26,27,1983,511
0.35,0.841,0.826,0.082,0.74,0.717,0.0847,0.921,0.9,0.0793,25,26,1983,511
0.4,0.841,0.826,0.082,0.74,0.717,0.0847,0.921,0.9,0.0793,25,26,1983,511
0.55,0.839,0.821,0.0825,0.744,0.719,0.0834,0.918,0.892,0.0816,21,21,1983,511
0.6,0.839,0.821,0.0825,0.744,0.719,0.0834,0.918,0.892,0.0816,20,20,1983,511
0.7,0.839,0.821,0.0825,0.744,0.719,0.0834,0.918,0.892,0.0816,20,20,1983,511
0.8,0.839,0.821,0.0825,0.744,0.719,0.0834,0.918,0.892,0.0816,19,19,1983,511
0.45,0.838,0.821,0.0831,0.74,0.717,0.0847,0.918,0.892,0.0816,22,23,1983,511
0.5,0.838,0.821,0.0831,0.74,0.717,0.0847,0.918,0.892,0.0816,21,22,1983,511
