subset,measure,pearson_r_base,pearson_r_neural,delta_pearson_r,icc_2_1_base,icc_2_1_neural,delta_icc_2_1,mae_base,mae_neural,delta_mae
Overall,AR,0.965,0.956,-0.009000000000000008,0.959,0.947,-0.01200000000000001,0.1442,0.1511,0.006900000000000017
Overall,SR,0.987,0.987,0.0,0.985,0.985,0.0,0.0825,0.0825,0.0
Overall,MLR,0.966,0.966,0.0,0.962,0.962,0.0,0.4727,0.4727,0.0
Overall,MCPR,0.966,0.971,0.0050000000000000044,0.958,0.952,-0.006000000000000005,0.012,0.0129,0.0008999999999999998
Overall,ECPR,0.89,0.882,-0.008000000000000007,0.888,0.869,-0.019000000000000017,0.0074,0.0083,0.0008999999999999998
Overall,PR,0.961,0.97,0.009000000000000008,0.951,0.945,-0.006000000000000005,0.0157,0.0171,0.001400000000000002
Overall,MCPD,0.816,0.906,0.09000000000000008,0.788,0.898,0.10999999999999999,0.0931,0.0617,-0.031400000000000004
Overall,ECPD,0.971,0.977,0.006000000000000005,0.968,0.976,0.008000000000000007,0.1132,0.0924,-0.0208
Overall,MPD,0.958,0.975,0.017000000000000015,0.951,0.968,0.017000000000000015,0.0764,0.0597,-0.016699999999999993
ST1,AR,0.966,0.96,-0.006000000000000005,0.963,0.951,-0.01200000000000001,0.1449,0.1469,0.0020000000000000018
ST1,SR,0.989,0.989,0.0,0.986,0.986,0.0,0.0835,0.0835,0.0
ST1,MLR,0.954,0.954,0.0,0.951,0.951,0.0,0.473,0.473,0.0
ST1,MCPR,0.965,0.971,0.006000000000000005,0.964,0.963,-0.0010000000000000009,0.0132,0.0132,0.0
ST1,ECPR,0.83,0.812,-0.017999999999999905,0.83,0.799,-0.030999999999999917,0.0085,0.0098,0.001299999999999999
ST1,PR,0.952,0.969,0.017000000000000015,0.951,0.95,-0.0010000000000000009,0.017,0.0177,0.0006999999999999992
ST1,MCPD,0.707,0.84,0.133,0.662,0.842,0.17999999999999994,0.0996,0.0698,-0.029799999999999993
ST1,ECPD,0.977,0.985,0.008000000000000007,0.969,0.985,0.016000000000000014,0.1352,0.0878,-0.047399999999999984
ST1,MPD,0.945,0.974,0.029000000000000026,0.938,0.97,0.03200000000000003,0.0949,0.0649,-0.03
ST2,AR,0.965,0.952,-0.013000000000000012,0.954,0.942,-0.01200000000000001,0.1436,0.1553,0.011699999999999988
ST2,SR,0.985,0.985,0.0,0.983,0.983,0.0,0.0816,0.0816,0.0
ST2,MLR,0.972,0.972,0.0,0.968,0.968,0.0,0.4725,0.4725,0.0
ST2,MCPR,0.978,0.973,-0.0050000000000000044,0.951,0.938,-0.013000000000000012,0.0108,0.0126,0.0017999999999999995
ST2,ECPR,0.938,0.925,-0.0129999999999999,0.933,0.916,-0.017000000000000015,0.0062,0.0068,0.0005999999999999998
ST2,PR,0.976,0.972,-0.0040000000000000036,0.954,0.941,-0.013000000000000012,0.0143,0.0165,0.0022000000000000006
ST2,MCPD,0.908,0.95,0.041999999999999926,0.878,0.932,0.05400000000000005,0.0865,0.0534,-0.03309999999999999
ST2,ECPD,0.964,0.957,-0.007000000000000006,0.965,0.956,-0.009000000000000008,0.0913,0.097,0.005699999999999997
ST2,MPD,0.982,0.977,-0.0050000000000000044,0.969,0.967,-0.0020000000000000018,0.058,0.0545,-0.003500000000000003
