file_id,task,in_full_quality_174,in_gold40_raw,in_gold40_quality_39,excluded_by_quality_filter
ALL_001_F_GER_ENG_ST1,ST1,True,True,True,False
ALL_001_F_GER_ENG_ST2,ST2,True,False,False,False
ALL_002_F_HEB_ENG_ST1,ST1,True,False,False,False
ALL_002_F_HEB_ENG_ST2,ST2,True,False,False,False
ALL_003_F_RUS_ENG_ST1,ST1,True,False,False,False
ALL_003_F_RUS_ENG_ST2,ST2,True,True,True,False
ALL_004_M_TUR_ENG_ST1,ST1,True,False,False,False
ALL_004_M_TUR_ENG_ST2,ST2,True,False,False,False
ALL_005_M_CMN_ENG_ST1,ST1,True,True,True,False
ALL_005_M_CMN_ENG_ST2,ST2,True,False,False,False
ALL_006_M_PBR_ENG_ST1,ST1,True,False,False,False
ALL_006_M_PBR_ENG_ST2,ST2,True,False,False,False
ALL_007_F_PBR_ENG_ST1,ST1,True,False,False,False
ALL_007_F_PBR_ENG_ST2,ST2,True,False,False,False
ALL_008_F_PBR_ENG_ST1,ST1,True,False,False,False
ALL_008_F_PBR_ENG_ST2,ST2,True,True,True,False
ALL_009_F_PBR_ENG_ST1,ST1,True,False,False,False
ALL_009_F_PBR_ENG_ST2,ST2,True,False,False,False
ALL_010_M_RUS_ENG_ST1,ST1,True,True,True,False
ALL_010_M_RUS_ENG_ST2,ST2,True,False,False,False
ALL_011_F_CMN_ENG_ST1,ST1,True,False,False,False
ALL_011_F_CMN_ENG_ST2,ST2,True,False,False,False
ALL_012_M_CMN_ENG_ST1,ST1,True,False,False,False
ALL_012_M_CMN_ENG_ST2,ST2,True,False,False,False
ALL_013_M_JPN_ENG_ST1,ST1,True,False,False,False
ALL_013_M_JPN_ENG_ST2,ST2,True,True,True,False
ALL_014_M_TUR_ENG_ST1,ST1,True,False,False,False
ALL_014_M_TUR_ENG_ST2,ST2,True,True,True,False
ALL_016_M_CMN_ENG_ST1,ST1,True,False,False,False
ALL_016_M_CMN_ENG_ST2,ST2,True,False,False,False
ALL_017_F_KOR_ENG_ST1,ST1,True,False,False,False
ALL_017_F_KOR_ENG_ST2,ST2,True,False,False,False
ALL_018_F_CMN_ENG_ST1,ST1,True,True,True,False
ALL_018_F_CMN_ENG_ST2,ST2,True,False,False,False
ALL_020_M_CMN_ENG_ST1,ST1,True,False,False,False
ALL_020_M_CMN_ENG_ST2,ST2,True,False,False,False
ALL_021_M_CMN_ENG_ST1,ST1,True,False,False,False
ALL_021_M_CMN_ENG_ST2,ST2,False,False,False,True
ALL_023_M_KOR_ENG_ST1,ST1,True,True,True,False
ALL_023_M_KOR_ENG_ST2,ST2,True,False,False,False
ALL_025_M_TUR_ENG_ST1,ST1,True,False,False,False
ALL_025_M_TUR_ENG_ST2,ST2,True,False,False,False
ALL_026_F_JPN_ENG_ST1,ST1,True,False,False,False
ALL_026_F_JPN_ENG_ST2,ST2,True,False,False,False
ALL_029_M_TUR_ENG_ST1,ST1,True,True,True,False
ALL_029_M_TUR_ENG_ST2,ST2,True,False,False,False
ALL_030_F_CMN_ENG_ST1,ST1,True,False,False,False
ALL_030_F_CMN_ENG_ST2,ST2,True,False,False,False
ALL_031_M_VIE_ENG_ST1,ST1,True,False,False,False
ALL_031_M_VIE_ENG_ST2,ST2,True,True,True,False
ALL_032_M_CMN_ENG_ST1,ST1,True,False,False,False
ALL_032_M_CMN_ENG_ST2,ST2,True,False,False,False
ALL_033_M_CMN_ENG_ST1,ST1,True,False,False,False
ALL_033_M_CMN_ENG_ST2,ST2,True,False,False,False
ALL_034_M_HIN_ENG_ST1,ST1,True,True,True,False
ALL_034_M_HIN_ENG_ST2,ST2,True,True,True,False
ALL_035_M_CMN_ENG_ST1,ST1,True,False,False,False
ALL_035_M_CMN_ENG_ST2,ST2,True,False,False,False
ALL_037_M_CMN_ENG_ST1,ST1,True,False,False,False
ALL_037_M_CMN_ENG_ST2,ST2,True,False,False,False
ALL_039_M_CMN_ENG_ST1,ST1,True,False,False,False
ALL_039_M_CMN_ENG_ST2,ST2,True,True,True,False
ALL_042_M_TUR_ENG_ST1,ST1,True,False,False,False
ALL_042_M_TUR_ENG_ST2,ST2,True,False,False,False
ALL_043_M_CMN_ENG_ST1,ST1,True,False,False,False
ALL_043_M_CMN_ENG_ST2,ST2,True,True,True,False
ALL_044_F_FRA_ENG_ST1,ST1,True,True,True,False
ALL_044_F_FRA_ENG_ST2,ST2,True,True,True,False
ALL_046_F_FAR_ENG_ST1,ST1,True,True,True,False
ALL_046_F_FAR_ENG_ST2,ST2,True,False,False,False
ALL_047_M_FAR_ENG_ST1,ST1,True,False,False,False
ALL_047_M_FAR_ENG_ST2,ST2,True,True,True,False
ALL_048_M_KOR_ENG_ST1,ST1,True,False,False,False
ALL_048_M_KOR_ENG_ST2,ST2,True,False,False,False
ALL_074_F_CCT_ENG_ST1,ST1,True,False,False,False
ALL_074_F_CCT_ENG_ST2,ST2,True,True,True,False
ALL_075_F_CCT_ENG_ST1,ST1,True,True,True,False
ALL_075_F_CCT_ENG_ST2,ST2,True,False,False,False
ALL_076_M_CCT_ENG_ST1,ST1,True,False,False,False
ALL_076_M_CCT_ENG_ST2,ST2,True,False,False,False
ALL_077_M_CCT_ENG_ST1,ST1,True,False,False,False
ALL_077_M_CCT_ENG_ST2,ST2,True,False,False,False
ALL_078_F_CCT_ENG_ST1,ST1,True,False,False,False
ALL_078_F_CCT_ENG_ST2,ST2,True,True,True,False
ALL_079_M_CCT_ENG_ST1,ST1,True,False,False,False
ALL_079_M_CCT_ENG_ST2,ST2,True,False,False,False
ALL_082_F_CCT_ENG_ST1,ST1,True,False,False,False
ALL_082_F_CCT_ENG_ST2,ST2,True,False,False,False
ALL_083_F_CCT_ENG_ST1,ST1,True,False,False,False
ALL_083_F_CCT_ENG_ST2,ST2,True,False,False,False
ALL_084_F_CCT_ENG_ST1,ST1,True,False,False,False
ALL_084_F_CCT_ENG_ST2,ST2,True,False,False,False
ALL_085_F_CCT_ENG_ST1,ST1,True,False,False,False
ALL_085_F_CCT_ENG_ST2,ST2,True,False,False,False
ALL_086_F_CCT_ENG_ST1,ST1,True,False,False,False
ALL_086_F_CCT_ENG_ST2,ST2,False,False,False,True
ALL_087_M_CCT_ENG_ST1,ST1,True,True,True,False
ALL_087_M_CCT_ENG_ST2,ST2,True,False,False,False
ALL_088_M_CCT_ENG_ST1,ST1,True,False,False,False
ALL_088_M_CCT_ENG_ST2,ST2,True,False,False,False
ALL_090_F_TUR_ENG_ST1,ST1,True,False,False,False
ALL_090_F_TUR_ENG_ST2,ST2,True,False,False,False
ALL_091_M_TUR_ENG_ST1,ST1,True,False,False,False
ALL_091_M_TUR_ENG_ST2,ST2,True,True,True,False
ALL_092_M_TUR_ENG_ST1,ST1,True,False,False,False
ALL_092_M_TUR_ENG_ST2,ST2,True,False,False,False
ALL_093_M_TUR_ENG_ST1,ST1,True,False,False,False
ALL_093_M_TUR_ENG_ST2,ST2,False,False,False,True
ALL_094_F_KOR_ENG_ST1,ST1,True,False,False,False
ALL_094_F_KOR_ENG_ST2,ST2,True,False,False,False
ALL_095_M_KOR_ENG_ST1,ST1,True,False,False,False
ALL_095_M_KOR_ENG_ST2,ST2,True,False,False,False
ALL_096_F_KOR_ENG_ST1,ST1,True,False,False,False
