track,subset,n,measure,mean_auto,mean_manual,pearson_r,pearson_p,spearman_rho,spearman_p,icc_2_1,bias,mae
full_quality_174,Overall,174,AR,3.7866,3.7617,0.942,1.4889177877138866e-83,0.932,1.2247808720264172e-77,0.938,0.0249,0.1677
full_quality_174,Overall,174,SR,2.358,2.4153,0.985,3.147175633955196e-132,0.976,2.68219181554283e-116,0.98,-0.0573,0.0894
full_quality_174,Overall,174,MLR,5.7282,6.1441,0.962,1.0355110832877627e-98,0.964,2.312473285982829e-101,0.939,-0.4159,0.5383
full_quality_174,Overall,174,MCPR,0.107,0.0978,0.96,6.759880244657562e-97,0.965,1.1240416084308332e-101,0.945,0.0092,0.0136
full_quality_174,Overall,174,ECPR,0.0921,0.0896,0.893,2.261533221925569e-61,0.883,2.493962090909698e-58,0.887,0.0025,0.0077
full_quality_174,Overall,174,PR,0.1991,0.1874,0.961,3.599005315991247e-98,0.963,2.674947820772994e-100,0.946,0.0117,0.0167
full_quality_174,Overall,174,MCPD,0.7604,0.7104,0.888,8.512421666496064e-60,0.864,2.9267649047404e-53,0.863,0.0501,0.0836
full_quality_174,Overall,174,ECPD,1.0539,1.0467,0.934,6.497669509044707e-79,0.91,1.7086776549564066e-67,0.934,0.0072,0.1105
full_quality_174,Overall,174,MPD,0.9001,0.8794,0.954,1.0773642989996297e-91,0.924,1.107287946552626e-73,0.95,0.0207,0.0651
full_quality_174,ST1,88,AR,3.7736,3.7715,0.938,2.336188451715738e-41,0.931,2.4599282895029228e-39,0.934,0.0021,0.1745
full_quality_174,ST1,88,SR,2.3214,2.3826,0.986,6.790972995097075e-69,0.981,2.0060138581552548e-63,0.981,-0.0612,0.0893
full_quality_174,ST1,88,MLR,5.5283,5.9476,0.969,4.921933119554154e-54,0.958,1.9503038949256265e-48,0.943,-0.4193,0.5518
full_quality_174,ST1,88,MCPR,0.1074,0.0999,0.962,2.4333041160302855e-50,0.967,1.0385183929748259e-52,0.955,0.0075,0.0134
full_quality_174,ST1,88,ECPR,0.0991,0.0954,0.868,6.561411847741975e-28,0.844,5.998784556604153e-25,0.854,0.0037,0.0092
full_quality_174,ST1,88,PR,0.2065,0.1953,0.96,3.539893899506315e-49,0.957,4.027930381534176e-48,0.948,0.0113,0.0178
full_quality_174,ST1,88,MCPD,0.7498,0.7137,0.891,3.5302635251811446e-31,0.881,1.0777903351895352e-29,0.879,0.0361,0.0771
full_quality_174,ST1,88,ECPD,1.0575,1.0463,0.952,7.466707538920897e-46,0.915,1.0949344395630821e-35,0.947,0.0112,0.1025
full_quality_174,ST1,88,MPD,0.9011,0.8849,0.954,6.432048750197115e-47,0.909,1.5532686146472343e-34,0.953,0.0162,0.0648
full_quality_174,ST2,86,AR,3.7999,3.7516,0.949,1.057128224846678e-43,0.936,9.293357380333044e-40,0.944,0.0483,0.1608
full_quality_174,ST2,86,SR,2.3954,2.4487,0.983,1.1878859404857397e-63,0.972,2.0338884534815776e-54,0.979,-0.0533,0.0895
full_quality_174,ST2,86,MLR,5.9327,6.3451,0.955,5.600686628166051e-46,0.967,8.265491088376308e-52,0.935,-0.4124,0.5245
full_quality_174,ST2,86,MCPR,0.1067,0.0956,0.96,2.3365768795524848e-48,0.963,2.2140047895466707e-49,0.933,0.011,0.0139
full_quality_174,ST2,86,ECPR,0.0849,0.0837,0.909,9.556780218176568e-34,0.897,1.324821894195447e-31,0.908,0.0012,0.0062
full_quality_174,ST2,86,PR,0.1915,0.1793,0.965,2.154277525460931e-50,0.965,2.0389938184766475e-50,0.942,0.0122,0.0155
full_quality_174,ST2,86,MCPD,0.7714,0.707,0.889,3.2786814303273166e-30,0.855,1.2819348599924803e-25,0.848,0.0644,0.0903
full_quality_174,ST2,86,ECPD,1.0502,1.047,0.92,5.5649483023780773e-36,0.892,9.350139531660158e-31,0.921,0.0032,0.1186
full_quality_174,ST2,86,MPD,0.899,0.8737,0.953,1.9326865370639047e-45,0.936,7.365204599694314e-40,0.949,0.0254,0.0654
gold40_raw,Overall,40,AR,3.7537,3.6949,0.965,9.854696693042924e-24,0.932,2.4001877285333714e-18,0.959,0.0587,0.1442
gold40_raw,Overall,40,SR,2.3007,2.3464,0.987,6.168164199866875e-32,0.973,6.328395866283981e-26,0.985,-0.0457,0.0825
gold40_raw,Overall,40,MLR,5.6895,5.9343,0.966,5.860562586057042e-24,0.963,3.7144133135067625e-23,0.962,-0.2448,0.4727
gold40_raw,Overall,40,MCPR,0.1103,0.1031,0.966,5.8578113431702224e-24,0.972,1.826016553617001e-25,0.958,0.0072,0.012
gold40_raw,Overall,40,ECPR,0.0926,0.0907,0.89,1.5388713897499925e-14,0.907,7.225763918585198e-16,0.888,0.002,0.0074
gold40_raw,Overall,40,PR,0.2029,0.1938,0.961,6.711408154485187e-23,0.961,7.92861200702059e-23,0.951,0.0091,0.0157
gold40_raw,Overall,40,MCPD,0.7709,0.7199,0.816,1.3394683921146857e-10,0.806,3.464080051363601e-10,0.788,0.051,0.0931
gold40_raw,Overall,40,ECPD,1.15,1.1077,0.971,2.4723772717865034e-25,0.923,2.4687647419954964e-17,0.968,0.0423,0.1132
gold40_raw,Overall,40,MPD,0.9416,0.9058,0.958,3.267525801009855e-22,0.911,3.3393921333361915e-16,0.951,0.0358,0.0764
gold40_raw,ST1,20,AR,3.8205,3.7701,0.966,5.5702826100486424e-12,0.959,2.456976181974681e-11,0.963,0.0504,0.1449
gold40_raw,ST1,20,SR,2.2677,2.3126,0.989,1.4987213775325957e-16,0.958,3.389666746806415e-11,0.986,-0.0449,0.0835
gold40_raw,ST1,20,MLR,5.503,5.687,0.954,7.906412482156501e-11,0.952,1.102807897899161e-10,0.951,-0.184,0.473
gold40_raw,ST1,20,MCPR,0.1065,0.102,0.965,6.915110532015195e-12,0.962,1.242702796593179e-11,0.964,0.0045,0.0132
gold40_raw,ST1,20,ECPR,0.0981,0.0969,0.83,5.903374444358194e-06,0.802,2.1017186256337792e-05,0.83,0.0012,0.0085
gold40_raw,ST1,20,PR,0.2046,0.1989,0.952,1.0707190665900389e-10,0.956,5.4128781599829555e-11,0.951,0.0057,0.017
gold40_raw,ST1,20,MCPD,0.7812,0.7219,0.707,0.0004951734235574045,0.736,0.00021873534774594184,0.662,0.0594,0.0996
gold40_raw,ST1,20,ECPD,1.2425,1.1708,0.977,1.8324753782016552e-13,0.926,4.644139791699126e-09,0.969,0.0717,0.1352
gold40_raw,ST1,20,MPD,0.9884,0.9425,0.945,3.685545411171008e-10,0.86,1.156723002497878e-06,0.938,0.0459,0.0949
gold40_raw,ST2,20,AR,3.6868,3.6198,0.965,7.47310719769554e-12,0.889,1.648527413023587e-07,0.954,0.067,0.1436
gold40_raw,ST2,20,SR,2.3336,2.3802,0.985,2.8276168983599836e-15,0.985,4.425186732738528e-15,0.983,-0.0466,0.0816
gold40_raw,ST2,20,MLR,5.876,6.1815,0.972,8.253487092480804e-13,0.962,1.242702796593179e-11,0.968,-0.3055,0.4725
gold40_raw,ST2,20,MCPR,0.1141,0.1042,0.978,8.625680304170449e-14,0.971,1.0864095402975098e-12,0.951,0.0099,0.0108
gold40_raw,ST2,20,ECPR,0.0871,0.0844,0.938,1.0026946976258364e-09,0.956,4.622988667749734e-11,0.933,0.0027,0.0062
gold40_raw,ST2,20,PR,0.2012,0.1887,0.976,1.9623895678777653e-13,0.97,1.7143556108377459e-12,0.954,0.0126,0.0143
gold40_raw,ST2,20,MCPD,0.7606,0.7179,0.908,3.182869036496719e-08,0.858,1.278441641859529e-06,0.878,0.0426,0.0865
gold40_raw,ST2,20,ECPD,1.0576,1.0447,0.964,9.351561028245373e-12,0.92,9.20256433443776e-09,0.965,0.013,0.0913
gold40_raw,ST2,20,MPD,0.8948,0.869,0.982,1.948445139971981e-14,0.964,8.653586851562462e-12,0.969,0.0258,0.058
gold40_quality_39,Overall,39,AR,3.7527,3.6907,0.966,2.785559237267486e-23,0.928,2.039280518627498e-17,0.959,0.0621,0.1462
gold40_quality_39,Overall,39,SR,2.3131,2.3623,0.988,1.8274082361512068e-31,0.978,7.438907794993669e-27,0.984,-0.0492,0.0824
gold40_quality_39,Overall,39,MLR,5.6697,5.9521,0.971,1.1940372031138093e-24,0.968,6.625612795395687e-24,0.965,-0.2823,0.4536
gold40_quality_39,Overall,39,MCPR,0.1106,0.1026,0.97,2.412869718902841e-24,0.981,4.997852833962261e-28,0.96,0.008,0.0117
gold40_quality_39,Overall,39,ECPR,0.0935,0.0911,0.895,1.5527245932698728e-14,0.906,2.0439226945883816e-15,0.892,0.0024,0.0071
gold40_quality_39,Overall,39,PR,0.2041,0.1937,0.969,5.905806323362216e-24,0.968,6.827895394095012e-24,0.956,0.0104,0.015
gold40_quality_39,Overall,39,MCPD,0.7723,0.7246,0.82,1.6251024250966254e-10,0.813,3.270600888028973e-10,0.796,0.0476,0.0907
gold40_quality_39,Overall,39,ECPD,1.0826,1.048,0.947,7.776298480266702e-20,0.917,2.513873309447671e-16,0.945,0.0346,0.1073
gold40_quality_39,Overall,39,MPD,0.9182,0.8869,0.959,6.1035807747890845e-22,0.905,2.81531442133354e-15,0.946,0.0313,0.0729
gold40_quality_39,ST1,19,AR,3.8221,3.7653,0.967,1.7891501977974164e-11,0.953,3.243645670652001e-10,0.963,0.0568,0.1488
gold40_quality_39,ST1,19,SR,2.2915,2.3435,0.991,3.073352587791212e-16,0.981,1.7288414046243011e-13,0.987,-0.0519,0.0832
gold40_quality_39,ST1,19,MLR,5.4526,5.7105,0.969,1.0264275705912226e-11,0.965,2.6387737136485956e-11,0.961,-0.2579,0.4337
gold40_quality_39,ST1,19,MCPR,0.1069,0.101,0.97,6.301697074463389e-12,0.984,3.177817784867251e-14,0.968,0.006,0.0126
gold40_quality_39,ST1,19,ECPR,0.1003,0.0981,0.822,1.5869572240718667e-05,0.774,9.954296877237478e-05,0.823,0.0022,0.0081
gold40_quality_39,ST1,19,PR,0.2072,0.1991,0.966,2.0720935347159946e-11,0.969,8.672608779019447e-12,0.96,0.0082,0.0158
gold40_quality_39,ST1,19,MCPD,0.7846,0.7317,0.716,0.0005594861070934283,0.741,0.00028655861519706323,0.675,0.0529,0.0952
gold40_quality_39,ST1,19,ECPD,1.1089,1.0516,0.931,6.970955879035564e-09,0.914,4.5006144611476545e-08,0.925,0.0573,0.1242
gold40_quality_39,ST1,19,MPD,0.9428,0.9058,0.938,3.14149317006015e-09,0.839,7.293998331953698e-06,0.926,0.0371,0.0885
gold40_quality_39,ST2,20,AR,3.6868,3.6198,0.965,7.47310719769554e-12,0.889,1.648527413023587e-07,0.954,0.067,0.1436
gold40_quality_39,ST2,20,SR,2.3336,2.3802,0.985,2.8276168983599836e-15,0.985,4.425186732738528e-15,0.983,-0.0466,0.0816
gold40_quality_39,ST2,20,MLR,5.876,6.1815,0.972,8.253487092480804e-13,0.962,1.242702796593179e-11,0.968,-0.3055,0.4725
gold40_quality_39,ST2,20,MCPR,0.1141,0.1042,0.978,8.625680304170449e-14,0.971,1.0864095402975098e-12,0.951,0.0099,0.0108
gold40_quality_39,ST2,20,ECPR,0.0871,0.0844,0.938,1.0026946976258364e-09,0.956,4.622988667749734e-11,0.933,0.0027,0.0062
gold40_quality_39,ST2,20,PR,0.2012,0.1887,0.976,1.9623895678777653e-13,0.97,1.7143556108377459e-12,0.954,0.0126,0.0143
gold40_quality_39,ST2,20,MCPD,0.7606,0.7179,0.908,3.182869036496719e-08,0.858,1.278441641859529e-06,0.878,0.0426,0.0865
gold40_quality_39,ST2,20,ECPD,1.0576,1.0447,0.964,9.351561028245373e-12,0.92,9.20256433443776e-09,0.965,0.013,0.0913
gold40_quality_39,ST2,20,MPD,0.8948,0.869,0.982,1.948445139971981e-14,0.964,8.653586851562462e-12,0.969,0.0258,0.058
