file_id,task,AR_auto,AR_manual,SR_auto,SR_manual,MLR_auto,MLR_manual,MCPR_auto,MCPR_manual,ECPR_auto,ECPR_manual,PR_auto,PR_manual,MCPD_auto,MCPD_manual,ECPD_auto,ECPD_manual,MPD_auto,MPD_manual
ALL_001_F_GER_ENG_ST1,ST1,3.031,2.906,1.645,1.755,3.86,4.36,0.1519,0.1181,0.1111,0.1146,0.263,0.2326,1.033,0.88,1.09,1.063,1.057,0.97
ALL_001_F_GER_ENG_ST2,ST2,3.056,3.085,1.675,1.956,3.89,4.94,0.1712,0.129,0.089,0.0762,0.2603,0.2053,0.94,0.833,1.22,1.043,1.036,0.911
ALL_002_F_HEB_ENG_ST1,ST1,4.179,4.271,2.755,2.8,6.96,6.81,0.0718,0.0679,0.0746,0.0815,0.1464,0.1495,0.817,0.769,0.872,0.867,0.845,0.823
ALL_002_F_HEB_ENG_ST2,ST2,4.293,4.386,3.096,3.096,9.9,10.59,0.0423,0.0391,0.0619,0.0586,0.1042,0.0977,0.634,0.676,1.022,1.17,0.864,0.972
ALL_003_F_RUS_ENG_ST1,ST1,4.201,4.285,2.255,2.323,5.69,5.86,0.0749,0.0728,0.1008,0.0979,0.1757,0.1706,0.851,0.837,1.405,1.392,1.169,1.156
ALL_003_F_RUS_ENG_ST2,ST2,3.995,4.095,1.979,2.019,4.66,4.89,0.1015,0.0908,0.1147,0.1153,0.2162,0.2061,0.78,0.789,1.534,1.556,1.18,1.218
ALL_004_M_TUR_ENG_ST1,ST1,3.74,4.071,1.973,2.106,3.79,3.35,0.1768,0.1867,0.09,0.1145,0.2669,0.3012,0.825,0.685,1.04,0.885,0.897,0.761
ALL_004_M_TUR_ENG_ST2,ST2,3.466,3.577,2.162,2.24,3.88,4.07,0.1697,0.152,0.0909,0.0965,0.2606,0.2485,0.658,0.622,0.687,0.749,0.668,0.671
ALL_005_M_CMN_ENG_ST1,ST1,3.21,3.227,1.754,1.859,3.79,4.22,0.183,0.1486,0.0851,0.0924,0.2681,0.241,0.803,0.788,1.311,1.201,0.964,0.946
ALL_005_M_CMN_ENG_ST2,ST2,3.562,3.384,1.967,2.01,4.06,4.7,0.1546,0.1235,0.0915,0.0895,0.2461,0.213,0.792,0.776,1.151,1.186,0.926,0.948
ALL_006_M_PBR_ENG_ST1,ST1,3.066,3.048,1.947,1.916,4.63,4.79,0.1158,0.1016,0.1053,0.1123,0.2211,0.2139,0.799,0.752,0.904,1.046,0.849,0.906
ALL_006_M_PBR_ENG_ST2,ST2,3.68,3.692,2.587,2.677,7.06,7.17,0.0722,0.0698,0.0722,0.0724,0.1444,0.1421,0.687,0.506,0.902,0.93,0.795,0.722
ALL_007_F_PBR_ENG_ST1,ST1,3.815,3.783,2.877,2.823,8.74,8.47,0.0355,0.0362,0.0804,0.0835,0.1159,0.1197,0.5,0.444,0.843,0.883,0.738,0.751
ALL_007_F_PBR_ENG_ST2,ST2,3.569,3.568,2.729,2.735,7.73,7.96,0.0518,0.0481,0.0788,0.0786,0.1306,0.1268,0.523,0.487,0.751,0.787,0.661,0.673
ALL_008_F_PBR_ENG_ST1,ST1,2.907,2.99,1.694,1.782,3.53,3.78,0.184,0.1704,0.1038,0.0987,0.2877,0.2691,0.78,0.724,0.991,1.047,0.856,0.843
ALL_008_F_PBR_ENG_ST2,ST2,3.088,3.253,1.774,1.868,3.55,3.73,0.1674,0.1674,0.1189,0.1046,0.2863,0.272,0.703,0.695,1.028,1.067,0.838,0.838
ALL_009_F_PBR_ENG_ST1,ST1,3.094,3.357,1.761,1.969,4.06,4.63,0.1327,0.1186,0.1185,0.1017,0.2512,0.2203,0.859,0.784,1.104,1.15,0.975,0.953
ALL_009_F_PBR_ENG_ST2,ST2,3.331,3.386,1.805,1.961,4.14,4.45,0.1628,0.1475,0.084,0.082,0.2468,0.2295,0.969,0.994,1.144,0.829,1.028,0.935
ALL_010_M_RUS_ENG_ST1,ST1,3.921,4.105,2.287,2.343,5.39,5.15,0.1023,0.1128,0.0852,0.0832,0.1875,0.1959,0.744,0.75,1.245,1.186,0.972,0.935
ALL_010_M_RUS_ENG_ST2,ST2,3.684,3.954,2.065,2.118,4.6,4.16,0.1159,0.1343,0.1051,0.1095,0.221,0.2438,0.831,0.749,1.108,1.084,0.963,0.899
ALL_011_F_CMN_ENG_ST1,ST1,3.878,3.775,2.801,2.732,6.25,7.04,0.0554,0.0505,0.1077,0.0946,0.1631,0.1451,0.473,0.492,0.678,0.806,0.608,0.697
ALL_011_F_CMN_ENG_ST2,ST2,3.718,3.596,2.652,2.62,6.36,6.62,0.0645,0.0612,0.0968,0.0939,0.1613,0.1551,0.617,0.559,0.705,0.739,0.67,0.668
ALL_012_M_CMN_ENG_ST1,ST1,3.473,3.546,2.666,2.715,7.11,6.88,0.0593,0.0691,0.0815,0.0764,0.1407,0.1455,0.54,0.566,0.677,0.618,0.62,0.593
ALL_012_M_CMN_ENG_ST2,ST2,3.432,3.433,2.567,2.593,6.76,6.67,0.0724,0.0782,0.0789,0.0749,0.1513,0.1531,0.569,0.595,0.721,0.64,0.648,0.617
ALL_013_M_JPN_ENG_ST1,ST1,3.039,2.951,1.775,1.877,3.44,3.75,0.1894,0.1875,0.1057,0.0833,0.2952,0.2708,0.647,0.53,1.056,1.135,0.794,0.716
ALL_013_M_JPN_ENG_ST2,ST2,3.049,3.069,1.828,1.892,3.48,4.1,0.2019,0.1616,0.0883,0.0854,0.2902,0.247,0.641,0.671,1.014,1.106,0.755,0.821
ALL_014_M_TUR_ENG_ST1,ST1,3.692,3.93,2.417,2.529,5.8,5.41,0.105,0.1004,0.0714,0.0884,0.1765,0.1888,0.706,0.697,0.963,0.804,0.81,0.747
ALL_014_M_TUR_ENG_ST2,ST2,3.811,3.782,2.501,2.578,5.17,5.8,0.1005,0.09,0.0954,0.085,0.1959,0.175,0.783,0.639,0.616,0.776,0.702,0.705
ALL_016_M_CMN_ENG_ST1,ST1,3.376,3.57,2.463,2.525,5.96,6.23,0.0665,0.0556,0.1044,0.108,0.1709,0.1636,0.425,0.459,0.781,0.837,0.643,0.708
ALL_016_M_CMN_ENG_ST2,ST2,3.444,3.49,2.496,2.585,5.73,6.25,0.0917,0.0743,0.0858,0.0886,0.1775,0.1629,0.544,0.467,0.703,0.74,0.621,0.616
ALL_017_F_KOR_ENG_ST1,ST1,3.493,3.44,2.367,2.403,7.5,8.56,0.0593,0.0584,0.0778,0.062,0.137,0.1204,0.562,0.544,1.322,1.511,0.993,1.043
ALL_017_F_KOR_ENG_ST2,ST2,3.442,3.393,2.405,2.255,8.0,7.5,0.0764,0.0778,0.0521,0.0593,0.1285,0.137,0.88,0.83,1.113,1.42,0.975,1.085
ALL_018_F_CMN_ENG_ST1,ST1,2.957,2.96,1.907,1.88,3.93,4.06,0.1243,0.1144,0.1329,0.1349,0.2572,0.2493,0.432,0.452,0.996,1.055,0.723,0.779
