file_id,review_textgrid,out_csv,n_review_intervals,error
ALL_001_F_GER_ENG_ST1,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\ALL_001_F_GER_ENG_ST1.TextGrid,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\ALL_001_F_GER_ENG_ST1_vad_classifier.csv,1,
ALL_005_M_CMN_ENG_ST1,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\ALL_005_M_CMN_ENG_ST1.TextGrid,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\ALL_005_M_CMN_ENG_ST1_vad_classifier.csv,4,
ALL_010_M_RUS_ENG_ST1,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\ALL_010_M_RUS_ENG_ST1.TextGrid,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\ALL_010_M_RUS_ENG_ST1_vad_classifier.csv,2,
ALL_018_F_CMN_ENG_ST1,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\ALL_018_F_CMN_ENG_ST1.TextGrid,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\ALL_018_F_CMN_ENG_ST1_vad_classifier.csv,1,
ALL_023_M_KOR_ENG_ST1,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\ALL_023_M_KOR_ENG_ST1.TextGrid,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\ALL_023_M_KOR_ENG_ST1_vad_classifier.csv,2,
ALL_029_M_TUR_ENG_ST1,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\ALL_029_M_TUR_ENG_ST1.TextGrid,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\ALL_029_M_TUR_ENG_ST1_vad_classifier.csv,1,
ALL_034_M_HIN_ENG_ST1,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\ALL_034_M_HIN_ENG_ST1.TextGrid,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\ALL_034_M_HIN_ENG_ST1_vad_classifier.csv,0,
ALL_044_F_FRA_ENG_ST1,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\ALL_044_F_FRA_ENG_ST1.TextGrid,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\ALL_044_F_FRA_ENG_ST1_vad_classifier.csv,0,
ALL_046_F_FAR_ENG_ST1,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\ALL_046_F_FAR_ENG_ST1.TextGrid,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\ALL_046_F_FAR_ENG_ST1_vad_classifier.csv,0,
ALL_075_F_CCT_ENG_ST1,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\ALL_075_F_CCT_ENG_ST1.TextGrid,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\ALL_075_F_CCT_ENG_ST1_vad_classifier.csv,2,
ALL_087_M_CCT_ENG_ST1,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\ALL_087_M_CCT_ENG_ST1.TextGrid,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\ALL_087_M_CCT_ENG_ST1_vad_classifier.csv,0,
ALL_099_M_SHS_ENG_ST1,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\ALL_099_M_SHS_ENG_ST1.TextGrid,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\ALL_099_M_SHS_ENG_ST1_vad_classifier.csv,1,
ALL_100_F_SHS_ENG_ST1,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\ALL_100_F_SHS_ENG_ST1.TextGrid,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\ALL_100_F_SHS_ENG_ST1_vad_classifier.csv,0,
ALL_112_F_KOR_ENG_ST1,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\ALL_112_F_KOR_ENG_ST1.TextGrid,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\ALL_112_F_KOR_ENG_ST1_vad_classifier.csv,0,
ALL_113_M_JPN_ENG_ST1,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\ALL_113_M_JPN_ENG_ST1.TextGrid,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\ALL_113_M_JPN_ENG_ST1_vad_classifier.csv,2,
ALL_124_M_SHS_ENG_ST1,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\ALL_124_M_SHS_ENG_ST1.TextGrid,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\ALL_124_M_SHS_ENG_ST1_vad_classifier.csv,0,
ALL_126_M_TUR_ENG_ST1,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\ALL_126_M_TUR_ENG_ST1.TextGrid,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\ALL_126_M_TUR_ENG_ST1_vad_classifier.csv,2,
ALL_139_M_PBR_ENG_ST1,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\ALL_139_M_PBR_ENG_ST1.TextGrid,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\ALL_139_M_PBR_ENG_ST1_vad_classifier.csv,0,
ALL_146_F_VIE_ENG_ST1,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\ALL_146_F_VIE_ENG_ST1.TextGrid,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\ALL_146_F_VIE_ENG_ST1_vad_classifier.csv,0,
ALL_151_M_HEB_ENG_ST1,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\ALL_151_M_HEB_ENG_ST1.TextGrid,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\ALL_151_M_HEB_ENG_ST1_vad_classifier.csv,0,
ALL_003_F_RUS_ENG_ST2,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\ALL_003_F_RUS_ENG_ST2.TextGrid,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\ALL_003_F_RUS_ENG_ST2_vad_classifier.csv,4,
ALL_008_F_PBR_ENG_ST2,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\ALL_008_F_PBR_ENG_ST2.TextGrid,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\ALL_008_F_PBR_ENG_ST2_vad_classifier.csv,1,
ALL_013_M_JPN_ENG_ST2,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\ALL_013_M_JPN_ENG_ST2.TextGrid,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\ALL_013_M_JPN_ENG_ST2_vad_classifier.csv,2,
ALL_014_M_TUR_ENG_ST2,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\ALL_014_M_TUR_ENG_ST2.TextGrid,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\ALL_014_M_TUR_ENG_ST2_vad_classifier.csv,2,
ALL_031_M_VIE_ENG_ST2,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\ALL_031_M_VIE_ENG_ST2.TextGrid,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\ALL_031_M_VIE_ENG_ST2_vad_classifier.csv,0,
ALL_034_M_HIN_ENG_ST2,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\ALL_034_M_HIN_ENG_ST2.TextGrid,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\ALL_034_M_HIN_ENG_ST2_vad_classifier.csv,0,
ALL_039_M_CMN_ENG_ST2,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\ALL_039_M_CMN_ENG_ST2.TextGrid,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\ALL_039_M_CMN_ENG_ST2_vad_classifier.csv,2,
ALL_043_M_CMN_ENG_ST2,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\ALL_043_M_CMN_ENG_ST2.TextGrid,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\ALL_043_M_CMN_ENG_ST2_vad_classifier.csv,1,
ALL_044_F_FRA_ENG_ST2,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\ALL_044_F_FRA_ENG_ST2.TextGrid,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\ALL_044_F_FRA_ENG_ST2_vad_classifier.csv,1,
ALL_047_M_FAR_ENG_ST2,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\ALL_047_M_FAR_ENG_ST2.TextGrid,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\ALL_047_M_FAR_ENG_ST2_vad_classifier.csv,6,
ALL_074_F_CCT_ENG_ST2,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\ALL_074_F_CCT_ENG_ST2.TextGrid,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\ALL_074_F_CCT_ENG_ST2_vad_classifier.csv,0,
ALL_078_F_CCT_ENG_ST2,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\ALL_078_F_CCT_ENG_ST2.TextGrid,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\ALL_078_F_CCT_ENG_ST2_vad_classifier.csv,0,
ALL_091_M_TUR_ENG_ST2,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\ALL_091_M_TUR_ENG_ST2.TextGrid,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\ALL_091_M_TUR_ENG_ST2_vad_classifier.csv,3,
ALL_096_F_KOR_ENG_ST2,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\ALL_096_F_KOR_ENG_ST2.TextGrid,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\ALL_096_F_KOR_ENG_ST2_vad_classifier.csv,1,
ALL_097_F_KOR_ENG_ST2,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\ALL_097_F_KOR_ENG_ST2.TextGrid,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\ALL_097_F_KOR_ENG_ST2_vad_classifier.csv,0,
ALL_098_M_GER_ENG_ST2,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\ALL_098_M_GER_ENG_ST2.TextGrid,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\ALL_098_M_GER_ENG_ST2_vad_classifier.csv,1,
ALL_100_F_SHS_ENG_ST2,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\ALL_100_F_SHS_ENG_ST2.TextGrid,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\ALL_100_F_SHS_ENG_ST2_vad_classifier.csv,0,
ALL_102_M_SHS_ENG_ST2,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\ALL_102_M_SHS_ENG_ST2.TextGrid,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\ALL_102_M_SHS_ENG_ST2_vad_classifier.csv,0,
ALL_104_M_SHS_ENG_ST2,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\ALL_104_M_SHS_ENG_ST2.TextGrid,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\ALL_104_M_SHS_ENG_ST2_vad_classifier.csv,0,
ALL_151_M_HEB_ENG_ST2,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\ALL_151_M_HEB_ENG_ST2.TextGrid,en\rq123_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\ALL_151_M_HEB_ENG_ST2_vad_classifier.csv,0,
