AR,SR,MLR,MCPR,ECPR,PR,MCPD,ECPD,MPD,total_syllables,total_duration,phonation_time,n_pauses,n_mid_clause_pauses,n_end_clause_pauses,n_clauses,clf_pause_candidates,clf_pauses_split,clf_predicted_speech_islands,clf_refined_pause_count,file
2.992,1.645,3.86,0.1519,0.1074,0.2593,1.033,1.087,1.055,270,164.11,90.23,70,41,29,28,71,1,1,70,ALL_001_F_GER_ENG_ST1.TextGrid
3.917,1.979,4.66,0.0985,0.1118,0.2103,0.783,1.548,1.19,680,343.69,173.59,143,67,76,95,147,4,4,143,ALL_003_F_RUS_ENG_ST2.TextGrid
3.089,1.754,3.79,0.1787,0.0723,0.2511,0.807,1.41,0.981,235,133.95,76.08,59,42,17,35,63,4,4,59,ALL_005_M_CMN_ENG_ST1.TextGrid
3.063,1.774,3.55,0.163,0.1189,0.2819,0.706,1.028,0.842,227,127.97,74.1,64,37,27,29,65,1,1,64,ALL_008_F_PBR_ENG_ST2.TextGrid
3.878,2.287,5.39,0.0985,0.0852,0.1837,0.744,1.245,0.977,528,230.89,136.15,97,52,45,57,99,2,2,97,ALL_010_M_RUS_ENG_ST1.TextGrid
2.987,1.828,3.48,0.1987,0.0852,0.2839,0.636,1.008,0.748,317,173.4,106.11,90,63,27,30,92,2,2,90,ALL_013_M_JPN_ENG_ST2.TextGrid
3.742,2.501,5.17,0.0954,0.0954,0.1907,0.775,0.616,0.695,388,155.13,103.68,74,37,37,51,76,2,2,74,ALL_014_M_TUR_ENG_ST2.TextGrid
2.931,1.907,3.93,0.1243,0.1301,0.2543,0.432,0.995,0.72,346,181.4,118.06,88,43,45,51,89,1,1,88,ALL_018_F_CMN_ENG_ST1.TextGrid
2.966,1.647,3.56,0.1818,0.0909,0.2727,0.747,1.476,0.99,121,73.47,40.8,33,22,11,14,35,2,2,33,ALL_023_M_KOR_ENG_ST1.TextGrid
4.881,2.826,5.36,0.0904,0.096,0.1864,0.767,0.83,0.799,177,62.63,36.26,33,16,17,28,34,1,1,33,ALL_029_M_TUR_ENG_ST1.TextGrid
3.389,1.982,4.77,0.1236,0.0899,0.2135,0.9,1.094,0.981,267,134.73,78.79,57,33,24,31,57,0,0,57,ALL_031_M_VIE_ENG_ST2.TextGrid
4.104,2.674,7.75,0.0591,0.0753,0.1344,1.175,0.809,0.97,186,69.57,45.32,25,11,14,27,25,0,0,25,ALL_034_M_HIN_ENG_ST1.TextGrid
4.055,2.839,6.62,0.0719,0.0791,0.1511,0.681,0.716,0.699,139,48.97,34.28,21,10,11,20,21,0,0,21,ALL_034_M_HIN_ENG_ST2.TextGrid
3.354,1.747,3.29,0.212,0.088,0.3,0.834,1.109,0.915,250,143.14,74.53,75,53,22,23,77,2,2,75,ALL_039_M_CMN_ENG_ST2.TextGrid
3.119,2.029,4.23,0.1318,0.1,0.2318,0.669,0.84,0.743,220,108.43,70.54,51,29,22,27,52,1,1,51,ALL_043_M_CMN_ENG_ST2.TextGrid
3.503,1.901,4.43,0.1198,0.1106,0.2304,0.742,1.372,1.045,217,114.18,61.94,50,26,24,25,50,0,0,50,ALL_044_F_FRA_ENG_ST1.TextGrid
3.456,2.252,5.29,0.1106,0.0783,0.1889,0.808,0.835,0.819,217,96.37,62.79,41,24,17,21,42,1,1,41,ALL_044_F_FRA_ENG_ST2.TextGrid
4.897,3.269,7.27,0.0367,0.1009,0.1376,1.002,0.643,0.739,109,33.34,22.26,15,4,11,16,15,0,0,15,ALL_046_F_FAR_ENG_ST1.TextGrid
3.949,2.915,6.04,0.0772,0.0699,0.1471,0.55,0.678,0.611,272,93.32,68.88,40,21,19,34,46,6,6,40,ALL_047_M_FAR_ENG_ST2.TextGrid
2.627,1.176,3.53,0.177,0.115,0.292,1.154,2.309,1.609,113,96.1,43.01,33,20,13,14,33,0,0,33,ALL_074_F_CCT_ENG_ST2.TextGrid
3.269,1.944,3.23,0.1827,0.1218,0.3046,0.612,0.793,0.684,197,101.33,60.27,60,36,24,27,62,2,2,60,ALL_075_F_CCT_ENG_ST1.TextGrid
3.42,1.589,4.06,0.1357,0.1156,0.2513,1.15,1.566,1.341,199,125.25,58.19,50,27,23,28,50,0,0,50,ALL_078_F_CCT_ENG_ST2.TextGrid
4.57,2.129,4.24,0.1179,0.1231,0.241,0.692,1.375,1.041,195,91.58,42.67,47,23,24,26,47,0,0,47,ALL_087_M_CCT_ENG_ST1.TextGrid
3.582,2.354,3.44,0.1891,0.0909,0.28,0.488,0.587,0.52,275,116.81,76.78,77,52,25,30,80,3,3,77,ALL_091_M_TUR_ENG_ST2.TextGrid
3.357,2.354,7.18,0.0725,0.0668,0.1393,0.731,1.107,0.911,524,222.61,156.09,73,38,35,62,74,1,1,73,ALL_096_F_KOR_ENG_ST2.TextGrid
3.446,1.965,5.18,0.0918,0.1063,0.1981,0.909,1.273,1.104,207,105.35,60.07,41,19,22,32,41,0,0,41,ALL_097_F_KOR_ENG_ST2.TextGrid
4.196,3.427,13.58,0.0307,0.0429,0.0736,0.654,0.778,0.726,163,47.56,38.85,12,5,7,17,13,1,1,12,ALL_098_M_GER_ENG_ST2.TextGrid
4.809,3.406,8.08,0.0309,0.0825,0.1134,0.79,0.742,0.755,97,28.48,20.17,11,3,8,16,12,1,1,11,ALL_099_M_SHS_ENG_ST1.TextGrid
4.689,2.79,7.42,0.0393,0.1011,0.1404,0.824,1.115,1.033,178,63.79,37.96,25,7,18,26,25,0,0,25,ALL_100_F_SHS_ENG_ST1.TextGrid
4.151,2.799,7.24,0.0773,0.0608,0.1381,0.919,0.745,0.842,181,64.66,43.6,25,14,11,22,25,0,0,25,ALL_100_F_SHS_ENG_ST2.TextGrid
5.21,4.003,11.74,0.0224,0.0628,0.0852,0.608,0.705,0.68,223,55.71,42.8,19,5,14,26,19,0,0,19,ALL_102_M_SHS_ENG_ST2.TextGrid
4.369,2.978,8.0,0.0542,0.075,0.1292,0.492,1.07,0.828,240,80.59,54.93,31,13,18,33,31,0,0,31,ALL_104_M_SHS_ENG_ST2.TextGrid
3.772,2.477,5.69,0.0603,0.1206,0.1809,0.548,0.875,0.766,199,80.34,52.76,36,12,24,25,36,0,0,36,ALL_112_F_KOR_ENG_ST1.TextGrid
3.071,1.874,4.1,0.1402,0.0976,0.2378,0.916,0.815,0.875,164,87.52,53.41,39,23,16,18,41,2,2,39,ALL_113_M_JPN_ENG_ST1.TextGrid
4.56,3.766,10.14,0.0141,0.0704,0.0845,0.67,0.522,0.547,71,18.85,15.57,6,1,5,12,6,0,0,6,ALL_124_M_SHS_ENG_ST1.TextGrid
2.969,1.761,3.69,0.2203,0.0424,0.2627,0.804,1.274,0.88,118,67.02,39.74,31,26,5,13,33,2,2,31,ALL_126_M_TUR_ENG_ST1.TextGrid
3.792,1.815,6.46,0.0973,0.0575,0.1549,0.718,3.78,1.855,226,124.54,59.6,35,22,13,26,35,0,0,35,ALL_139_M_PBR_ENG_ST1.TextGrid
3.401,1.669,6.15,0.05,0.125,0.175,0.652,2.181,1.744,80,47.94,23.52,14,4,10,11,14,0,0,14,ALL_146_F_VIE_ENG_ST1.TextGrid
3.457,1.813,5.52,0.0938,0.0938,0.1875,0.981,1.818,1.399,160,88.26,46.28,30,15,15,21,30,0,0,30,ALL_151_M_HEB_ENG_ST1.TextGrid
3.422,2.181,6.47,0.0894,0.0691,0.1585,0.681,1.525,1.049,246,112.8,71.89,39,22,17,36,39,0,0,39,ALL_151_M_HEB_ENG_ST2.TextGrid
