file_id,gap_index,island_index,gap_start,gap_end,gap_duration,vad_occupancy,n_voiced_islands,island_duration,candidate_start,candidate_end,prob_filler,pred_filler,skip_reason
ALL_034_M_HIN_ENG_ST2,0,0,0.0,0.18,0.18,1.0,1,0.18,0.0,0.18,6e-06,0,
ALL_034_M_HIN_ENG_ST2,1,0,2.6,3.17,0.57,1.0,1,0.57,2.6,3.17,0.000292,0,
ALL_034_M_HIN_ENG_ST2,2,0,4.39,5.49,1.1,1.0,1,1.1,4.39,5.49,0.00661,0,
ALL_034_M_HIN_ENG_ST2,3,0,10.85,11.54,0.69,1.0,1,0.69,10.85,11.54,0.002638,0,
ALL_034_M_HIN_ENG_ST2,4,0,12.21,12.64,0.43,1.0,1,0.43,12.21,12.64,5.2e-05,0,
ALL_034_M_HIN_ENG_ST2,5,0,13.01,13.15,0.14,1.0,1,0.14,13.01,13.15,1e-06,0,
ALL_034_M_HIN_ENG_ST2,6,0,14.28,14.64,0.36,1.0,1,0.36,14.28,14.64,2.8e-05,0,
ALL_034_M_HIN_ENG_ST2,7,0,15.34,15.75,0.41,1.0,1,0.41,15.34,15.75,0.000519,0,
ALL_034_M_HIN_ENG_ST2,8,0,16.9,17.47,0.57,1.0,1,0.57,16.9,17.47,0.000251,0,
ALL_034_M_HIN_ENG_ST2,10,0,20.88,21.44,0.56,1.0,1,0.56,20.88,21.44,0.000984,0,
ALL_034_M_HIN_ENG_ST2,11,0,22.09,22.33,0.24,1.0,1,0.24,22.09,22.33,1.3e-05,0,
ALL_034_M_HIN_ENG_ST2,12,0,23.45,24.02,0.57,1.0,1,0.57,23.45,24.02,0.000523,0,
ALL_034_M_HIN_ENG_ST2,13,0,24.69,25.21,0.52,1.0,1,0.52,24.69,25.21,0.001928,0,
ALL_034_M_HIN_ENG_ST2,15,0,30.0,30.39,0.39,1.0,1,0.39,30.0,30.39,3e-06,0,
ALL_034_M_HIN_ENG_ST2,16,0,31.62,32.53,0.91,1.0,1,0.91,31.62,32.53,0.000955,0,
ALL_034_M_HIN_ENG_ST2,17,0,33.21,33.37,0.16,1.0,1,0.16,33.21,33.37,4e-06,0,
ALL_034_M_HIN_ENG_ST2,18,0,34.95,35.65,0.7,1.0,1,0.7,34.95,35.65,0.001097,0,
ALL_034_M_HIN_ENG_ST2,19,0,35.95,36.7,0.75,1.0,1,0.75,35.95,36.7,0.000798,0,
ALL_034_M_HIN_ENG_ST2,20,0,39.11,39.65,0.54,1.0,1,0.54,39.11,39.65,0.00022,0,
ALL_034_M_HIN_ENG_ST2,21,0,40.37,40.55,0.18,1.0,1,0.18,40.37,40.55,1e-06,0,
ALL_034_M_HIN_ENG_ST2,22,0,42.01,43.07,1.06,1.0,1,1.06,42.01,43.07,0.090393,0,
ALL_034_M_HIN_ENG_ST2,23,0,44.99,45.31,0.32,1.0,1,0.32,44.99,45.31,1.2e-05,0,
ALL_034_M_HIN_ENG_ST2,24,0,46.75,47.09,0.34,1.0,1,0.34,46.75,47.09,8e-06,0,
ALL_034_M_HIN_ENG_ST2,25,0,48.5,48.9661,0.4661,1.0,1,0.4661,48.5,48.9661,8e-06,0,
