file_id,gap_index,island_index,gap_start,gap_end,gap_duration,vad_occupancy,n_voiced_islands,island_duration,candidate_start,candidate_end,prob_filler,pred_filler,skip_reason
ALL_047_M_FAR_ENG_ST2,0,0,0.0,0.36,0.36,1.0,1,0.36,0.0,0.36,0.000155,0,
ALL_047_M_FAR_ENG_ST2,1,0,2.15,2.39,0.24,1.0,1,0.24,2.15,2.39,6e-05,0,
ALL_047_M_FAR_ENG_ST2,2,0,4.64,5.37,0.73,1.0,1,0.73,4.64,5.37,0.534975,1,
ALL_047_M_FAR_ENG_ST2,3,0,6.91,7.18,0.27,1.0,1,0.27,6.91,7.18,0.00022,0,
ALL_047_M_FAR_ENG_ST2,4,0,8.05,8.27,0.22,1.0,1,0.22,8.05,8.27,1.6e-05,0,
ALL_047_M_FAR_ENG_ST2,5,0,8.83,9.54,0.71,1.0,1,0.71,8.83,9.54,0.015,0,
ALL_047_M_FAR_ENG_ST2,6,0,9.8,10.05,0.25,1.0,1,0.25,9.8,10.05,5e-06,0,
ALL_047_M_FAR_ENG_ST2,7,0,11.45,12.34,0.89,1.0,1,0.89,11.45,12.34,0.253509,0,
ALL_047_M_FAR_ENG_ST2,8,0,13.18,14.08,0.9,1.0,1,0.9,13.18,14.08,0.008145,0,
ALL_047_M_FAR_ENG_ST2,9,0,15.16,15.48,0.32,1.0,1,0.32,15.16,15.48,0.0,0,
ALL_047_M_FAR_ENG_ST2,10,0,16.03,16.51,0.48,1.0,1,0.48,16.03,16.51,0.041314,0,
ALL_047_M_FAR_ENG_ST2,11,0,17.33,18.47,1.14,1.0,1,1.14,17.33,18.47,0.03556,0,
ALL_047_M_FAR_ENG_ST2,12,0,19.1,19.47,0.37,1.0,1,0.37,19.1,19.47,2.5e-05,0,
ALL_047_M_FAR_ENG_ST2,13,0,20.75,20.95,0.2,1.0,1,0.2,20.75,20.95,1e-06,0,
ALL_047_M_FAR_ENG_ST2,14,0,22.99,23.54,0.55,1.0,1,0.55,22.99,23.54,0.129483,0,
ALL_047_M_FAR_ENG_ST2,16,0,28.57,29.36,0.79,1.0,1,0.79,28.57,29.36,0.00621,0,
ALL_047_M_FAR_ENG_ST2,17,0,31.43,32.4,0.97,1.0,1,0.97,31.43,32.4,0.072302,0,
ALL_047_M_FAR_ENG_ST2,18,0,33.58,34.32,0.74,1.0,1,0.74,33.58,34.32,0.028444,0,
