file_id,gap_index,island_index,gap_start,gap_end,gap_duration,vad_occupancy,n_voiced_islands,island_duration,candidate_start,candidate_end,prob_filler,pred_filler,skip_reason
ALL_097_F_KOR_ENG_ST2,0,0,0.0,0.36,0.36,1.0,1,0.36,0.0,0.36,8e-06,0,
ALL_097_F_KOR_ENG_ST2,1,0,0.97,1.6,0.63,1.0,1,0.63,0.97,1.6,0.027876,0,
ALL_097_F_KOR_ENG_ST2,2,0,3.41,3.8,0.39,1.0,1,0.39,3.41,3.8,8e-06,0,
ALL_097_F_KOR_ENG_ST2,4,0,8.28,8.69,0.41,1.0,1,0.41,8.28,8.69,1.8e-05,0,
ALL_097_F_KOR_ENG_ST2,5,0,10.96,11.46,0.5,1.0,1,0.5,10.96,11.46,0.000207,0,
ALL_097_F_KOR_ENG_ST2,6,0,12.34,13.2,0.86,1.0,1,0.86,12.34,13.2,0.02638,0,
ALL_097_F_KOR_ENG_ST2,7,0,14.89,15.39,0.5,1.0,1,0.5,14.89,15.39,0.000983,0,
ALL_097_F_KOR_ENG_ST2,8,0,17.13,17.31,0.18,1.0,1,0.18,17.13,17.31,2e-06,0,
ALL_097_F_KOR_ENG_ST2,10,0,21.0,21.85,0.85,1.0,1,0.85,21.0,21.85,0.001204,0,
ALL_097_F_KOR_ENG_ST2,11,0,22.28,22.47,0.19,1.0,1,0.19,22.28,22.47,1e-06,0,
ALL_097_F_KOR_ENG_ST2,12,0,23.23,24.23,1.0,1.0,1,1.0,23.23,24.23,0.004245,0,
ALL_097_F_KOR_ENG_ST2,13,0,24.74,25.23,0.49,1.0,1,0.49,24.74,25.23,0.000337,0,
ALL_097_F_KOR_ENG_ST2,15,0,30.64,30.84,0.2,1.0,1,0.2,30.64,30.84,3e-06,0,
ALL_097_F_KOR_ENG_ST2,16,0,32.27,33.03,0.76,1.0,1,0.76,32.27,33.03,0.000142,0,
ALL_097_F_KOR_ENG_ST2,17,0,33.46,33.61,0.15,1.0,1,0.15,33.46,33.61,3e-06,0,
ALL_097_F_KOR_ENG_ST2,18,0,34.12,35.26,1.14,1.0,1,1.14,34.12,35.26,0.011937,0,
ALL_097_F_KOR_ENG_ST2,19,0,36.32,37.22,0.9,1.0,1,0.9,36.32,37.22,0.000168,0,
ALL_097_F_KOR_ENG_ST2,20,0,38.87,39.23,0.36,1.0,1,0.36,38.87,39.23,4e-06,0,
ALL_097_F_KOR_ENG_ST2,21,0,40.54,40.75,0.21,1.0,1,0.21,40.54,40.75,1e-06,0,
ALL_097_F_KOR_ENG_ST2,23,0,45.25,46.31,1.06,1.0,1,1.06,45.25,46.31,0.001264,0,
ALL_097_F_KOR_ENG_ST2,24,0,47.88,48.75,0.87,1.0,1,0.87,47.88,48.75,0.096158,0,
ALL_097_F_KOR_ENG_ST2,25,0,49.23,49.8,0.57,1.0,1,0.57,49.23,49.8,1.6e-05,0,
ALL_097_F_KOR_ENG_ST2,26,0,50.53,51.14,0.61,1.0,1,0.61,50.53,51.14,3.8e-05,0,
ALL_097_F_KOR_ENG_ST2,27,0,52.17,52.45,0.28,1.0,1,0.28,52.17,52.45,1e-06,0,
ALL_097_F_KOR_ENG_ST2,30,0,66.26,67.39,1.13,1.0,1,1.13,66.26,67.39,0.000404,0,
ALL_097_F_KOR_ENG_ST2,31,0,67.85,67.97,0.12,1.0,1,0.12,67.85,67.97,8e-06,0,
ALL_097_F_KOR_ENG_ST2,32,0,69.56,70.5,0.94,1.0,1,0.94,69.56,70.5,0.206178,0,
ALL_097_F_KOR_ENG_ST2,33,0,72.41,73.04,0.63,1.0,1,0.63,72.41,73.04,1e-06,0,
ALL_097_F_KOR_ENG_ST2,34,0,74.93,75.37,0.44,1.0,1,0.44,74.93,75.37,6.4e-05,0,
ALL_097_F_KOR_ENG_ST2,35,0,77.56,77.88,0.32,1.0,1,0.32,77.56,77.88,4e-06,0,
ALL_097_F_KOR_ENG_ST2,37,0,82.51,83.01,0.5,1.0,1,0.5,82.51,83.01,4.7e-05,0,
ALL_097_F_KOR_ENG_ST2,38,0,84.54,85.23,0.69,1.0,1,0.69,84.54,85.23,0.005462,0,
ALL_097_F_KOR_ENG_ST2,39,0,85.95,86.38,0.43,1.0,1,0.43,85.95,86.38,0.000999,0,
ALL_097_F_KOR_ENG_ST2,40,0,88.1,88.22,0.12,1.0,1,0.12,88.1,88.22,6e-06,0,
ALL_097_F_KOR_ENG_ST2,41,0,89.22,90.25,1.03,1.0,1,1.03,89.22,90.25,0.128519,0,
ALL_097_F_KOR_ENG_ST2,42,0,90.98,91.88,0.9,1.0,1,0.9,90.98,91.88,1e-05,0,
ALL_097_F_KOR_ENG_ST2,46,0,101.35,101.49,0.14,1.0,1,0.14,101.35,101.49,2.1e-05,0,
ALL_097_F_KOR_ENG_ST2,47,0,103.0,103.25,0.25,1.0,1,0.25,103.0,103.25,3e-06,0,
ALL_097_F_KOR_ENG_ST2,48,0,104.53,105.3531,0.8231,1.0,1,0.8231,104.53,105.3531,0.00014,0,
