file_id,gap_index,island_index,gap_start,gap_end,gap_duration,vad_occupancy,n_voiced_islands,island_duration,candidate_start,candidate_end,prob_filler,pred_filler,skip_reason
ALL_104_M_SHS_ENG_ST2,0,0,0.0,0.44,0.44,1.0,1,0.44,0.0,0.44,9.5e-05,0,
ALL_104_M_SHS_ENG_ST2,1,0,2.89,3.35,0.46,1.0,1,0.46,2.89,3.35,4.8e-05,0,
ALL_104_M_SHS_ENG_ST2,2,0,5.82,5.95,0.13,1.0,1,0.13,5.82,5.95,1e-06,0,
ALL_104_M_SHS_ENG_ST2,3,0,8.79,9.73,0.94,1.0,1,0.94,8.79,9.73,0.000543,0,
ALL_104_M_SHS_ENG_ST2,4,0,11.18,12.16,0.98,1.0,1,0.98,11.18,12.16,0.00014,0,
ALL_104_M_SHS_ENG_ST2,5,0,14.4,14.59,0.19,1.0,1,0.19,14.4,14.59,6e-06,0,
ALL_104_M_SHS_ENG_ST2,6,0,16.09,16.58,0.49,1.0,1,0.49,16.09,16.58,0.000111,0,
ALL_104_M_SHS_ENG_ST2,7,0,17.22,17.78,0.56,1.0,1,0.56,17.22,17.78,0.00044,0,
ALL_104_M_SHS_ENG_ST2,8,0,18.56,19.05,0.49,1.0,1,0.49,18.56,19.05,0.000401,0,
ALL_104_M_SHS_ENG_ST2,9,0,19.58,19.88,0.3,1.0,1,0.3,19.58,19.88,8e-06,0,
ALL_104_M_SHS_ENG_ST2,10,0,20.73,21.7,0.97,1.0,1,0.97,20.73,21.7,0.000148,0,
ALL_104_M_SHS_ENG_ST2,11,0,22.4,22.77,0.37,1.0,1,0.37,22.4,22.77,1.2e-05,0,
ALL_104_M_SHS_ENG_ST2,12,0,23.23,24.01,0.78,1.0,1,0.78,23.23,24.01,4e-06,0,
ALL_104_M_SHS_ENG_ST2,13,0,24.83,25.1,0.27,1.0,1,0.27,24.83,25.1,2e-06,0,
ALL_104_M_SHS_ENG_ST2,14,0,26.4,26.85,0.45,1.0,1,0.45,26.4,26.85,0.00118,0,
ALL_104_M_SHS_ENG_ST2,15,0,27.47,28.59,1.12,1.0,1,1.12,27.47,28.59,0.00641,0,
ALL_104_M_SHS_ENG_ST2,16,0,29.13,29.79,0.66,1.0,1,0.66,29.13,29.79,0.002743,0,
ALL_104_M_SHS_ENG_ST2,17,0,30.72,31.5,0.78,1.0,1,0.78,30.72,31.5,4.5e-05,0,
ALL_104_M_SHS_ENG_ST2,18,0,34.42,34.63,0.21,1.0,1,0.21,34.42,34.63,2e-06,0,
ALL_104_M_SHS_ENG_ST2,20,0,39.53,39.71,0.18,1.0,1,0.18,39.53,39.71,3.4e-05,0,
ALL_104_M_SHS_ENG_ST2,22,0,45.84,46.53,0.69,1.0,1,0.69,45.84,46.53,9e-06,0,
ALL_104_M_SHS_ENG_ST2,24,0,50.81,51.25,0.44,1.0,1,0.44,50.81,51.25,0.00042,0,
ALL_104_M_SHS_ENG_ST2,25,0,52.29,53.02,0.73,1.0,1,0.73,52.29,53.02,0.000371,0,
ALL_104_M_SHS_ENG_ST2,26,0,54.92,55.08,0.16,1.0,1,0.16,54.92,55.08,5e-06,0,
ALL_104_M_SHS_ENG_ST2,27,0,56.35,56.87,0.52,1.0,1,0.52,56.35,56.87,9e-05,0,
ALL_104_M_SHS_ENG_ST2,29,0,61.41,62.24,0.83,1.0,1,0.83,61.41,62.24,8.9e-05,0,
ALL_104_M_SHS_ENG_ST2,30,0,64.58,65.25,0.67,1.0,1,0.67,64.58,65.25,0.000435,0,
ALL_104_M_SHS_ENG_ST2,32,0,70.26,70.76,0.5,1.0,1,0.5,70.26,70.76,0.000209,0,
ALL_104_M_SHS_ENG_ST2,33,0,71.56,71.74,0.18,1.0,1,0.18,71.56,71.74,7e-06,0,
ALL_104_M_SHS_ENG_ST2,34,0,73.05,73.24,0.19,1.0,1,0.19,73.05,73.24,1e-06,0,
ALL_104_M_SHS_ENG_ST2,35,0,74.41,74.99,0.58,1.0,1,0.58,74.41,74.99,0.00378,0,
ALL_104_M_SHS_ENG_ST2,36,0,77.7,77.97,0.27,1.0,1,0.27,77.7,77.97,6e-06,0,
ALL_104_M_SHS_ENG_ST2,37,0,80.11,80.5921,0.4821,1.0,1,0.4821,80.11,80.5921,0.001843,0,
