file_id,gap_index,island_index,gap_start,gap_end,gap_duration,vad_occupancy,n_voiced_islands,island_duration,candidate_start,candidate_end,prob_filler,pred_filler,skip_reason
ALL_151_M_HEB_ENG_ST2,1,0,9.17,9.58,0.41,1.0,1,0.41,9.17,9.58,9.9e-05,0,
ALL_151_M_HEB_ENG_ST2,2,0,12.02,13.01,0.99,1.0,1,0.99,12.02,13.01,0.075931,0,
ALL_151_M_HEB_ENG_ST2,3,0,13.4,13.56,0.16,1.0,1,0.16,13.4,13.56,4e-06,0,
ALL_151_M_HEB_ENG_ST2,5,0,20.58,20.81,0.23,1.0,1,0.23,20.58,20.81,5e-06,0,
ALL_151_M_HEB_ENG_ST2,6,0,22.73,22.86,0.13,1.0,1,0.13,22.73,22.86,3e-06,0,
ALL_151_M_HEB_ENG_ST2,7,0,24.26,24.42,0.16,1.0,1,0.16,24.26,24.42,6e-06,0,
ALL_151_M_HEB_ENG_ST2,8,0,24.99,25.22,0.23,1.0,1,0.23,24.99,25.22,7e-06,0,
ALL_151_M_HEB_ENG_ST2,9,0,25.52,26.16,0.64,1.0,1,0.64,25.52,26.16,0.015154,0,
ALL_151_M_HEB_ENG_ST2,10,0,26.64,26.9,0.26,1.0,1,0.26,26.64,26.9,2e-06,0,
ALL_151_M_HEB_ENG_ST2,11,0,27.34,27.51,0.17,1.0,1,0.17,27.34,27.51,5e-06,0,
ALL_151_M_HEB_ENG_ST2,12,0,27.99,29.16,1.17,1.0,1,1.17,27.99,29.16,0.013722,0,
ALL_151_M_HEB_ENG_ST2,14,0,32.99,33.25,0.26,1.0,1,0.26,32.99,33.25,9e-06,0,
ALL_151_M_HEB_ENG_ST2,15,0,33.88,34.17,0.29,1.0,1,0.29,33.88,34.17,1.6e-05,0,
ALL_151_M_HEB_ENG_ST2,16,0,34.68,34.96,0.28,1.0,1,0.28,34.68,34.96,2e-06,0,
ALL_151_M_HEB_ENG_ST2,17,0,35.58,36.09,0.51,1.0,1,0.51,35.58,36.09,0.021709,0,
ALL_151_M_HEB_ENG_ST2,18,0,36.77,37.0,0.23,1.0,1,0.23,36.77,37.0,2e-06,0,
ALL_151_M_HEB_ENG_ST2,19,0,38.03,38.65,0.62,1.0,1,0.62,38.03,38.65,0.019468,0,
ALL_151_M_HEB_ENG_ST2,20,0,39.86,40.38,0.52,1.0,1,0.52,39.86,40.38,0.010063,0,
ALL_151_M_HEB_ENG_ST2,21,0,40.93,41.29,0.36,1.0,1,0.36,40.93,41.29,8.1e-05,0,
ALL_151_M_HEB_ENG_ST2,22,0,41.85,41.98,0.13,1.0,1,0.13,41.85,41.98,3e-06,0,
ALL_151_M_HEB_ENG_ST2,23,0,43.25,43.78,0.53,1.0,1,0.53,43.25,43.78,0.013971,0,
ALL_151_M_HEB_ENG_ST2,24,0,44.22,44.48,0.26,1.0,1,0.26,44.22,44.48,1e-06,0,
ALL_151_M_HEB_ENG_ST2,27,0,49.94,50.13,0.19,1.0,1,0.19,49.94,50.13,4e-06,0,
