file_id,task,MCPD_auto_baseline,MCPD_manual,MCPD_auto_vad,MCPD_auto_clf,abs_err_baseline,abs_err_vad,abs_err_clf,delta_vad_minus_base,delta_clf_minus_base,delta_clf_minus_vad
ALL_001_F_GER_ENG_ST1,ST1,1.033,0.88,0.925,1.033,0.1529999999999999,0.04500000000000004,0.1529999999999999,-0.10799999999999987,0.0,0.10799999999999987
ALL_003_F_RUS_ENG_ST2,ST2,0.78,0.789,0.765,0.783,0.009000000000000008,0.02400000000000002,0.006000000000000005,0.015000000000000013,-0.0030000000000000027,-0.018000000000000016
ALL_005_M_CMN_ENG_ST1,ST1,0.803,0.788,0.694,0.807,0.015000000000000013,0.09400000000000008,0.019000000000000017,0.07900000000000007,0.0040000000000000036,-0.07500000000000007
ALL_008_F_PBR_ENG_ST2,ST2,0.703,0.695,0.647,0.706,0.008000000000000007,0.04799999999999993,0.01100000000000001,0.039999999999999925,0.0030000000000000027,-0.03699999999999992
ALL_010_M_RUS_ENG_ST1,ST1,0.744,0.75,0.729,0.744,0.006000000000000005,0.02100000000000002,0.006000000000000005,0.015000000000000013,0.0,-0.015000000000000013
ALL_013_M_JPN_ENG_ST2,ST2,0.641,0.671,0.576,0.636,0.030000000000000027,0.09500000000000008,0.03500000000000003,0.06500000000000006,0.0050000000000000044,-0.06000000000000005
ALL_014_M_TUR_ENG_ST2,ST2,0.783,0.639,0.656,0.775,0.14400000000000002,0.017000000000000015,0.136,-0.127,-0.008000000000000007,0.119
ALL_018_F_CMN_ENG_ST1,ST1,0.432,0.452,0.432,0.432,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.0,0.0,0.0
ALL_023_M_KOR_ENG_ST1,ST1,0.74,0.733,0.675,0.747,0.007000000000000006,0.05799999999999994,0.014000000000000012,0.050999999999999934,0.007000000000000006,-0.04399999999999993
ALL_029_M_TUR_ENG_ST1,ST1,0.767,0.79,0.767,0.767,0.02300000000000002,0.02300000000000002,0.02300000000000002,0.0,0.0,0.0
ALL_031_M_VIE_ENG_ST2,ST2,0.9,0.94,0.789,0.9,0.039999999999999925,0.1509999999999999,0.039999999999999925,0.11099999999999999,0.0,-0.11099999999999999
ALL_034_M_HIN_ENG_ST1,ST1,1.175,0.799,0.722,1.175,0.376,0.07700000000000007,0.376,-0.29899999999999993,0.0,0.29899999999999993
ALL_034_M_HIN_ENG_ST2,ST2,0.681,0.547,0.599,0.681,0.134,0.051999999999999935,0.134,-0.08200000000000007,0.0,0.08200000000000007
ALL_039_M_CMN_ENG_ST2,ST2,0.84,0.756,0.677,0.834,0.08399999999999996,0.07899999999999996,0.07799999999999996,-0.0050000000000000044,-0.006000000000000005,-0.0010000000000000009
ALL_043_M_CMN_ENG_ST2,ST2,0.67,0.478,0.501,0.669,0.19200000000000006,0.02300000000000002,0.19100000000000006,-0.16900000000000004,-0.0010000000000000009,0.16800000000000004
ALL_044_F_FRA_ENG_ST1,ST1,0.742,0.693,0.691,0.742,0.049000000000000044,0.0020000000000000018,0.049000000000000044,-0.04700000000000004,0.0,0.04700000000000004
ALL_044_F_FRA_ENG_ST2,ST2,0.813,0.695,0.681,0.808,0.118,0.013999999999999901,0.1130000000000001,-0.10400000000000009,-0.004999999999999893,0.0990000000000002
ALL_046_F_FAR_ENG_ST1,ST1,1.002,0.842,1.002,1.002,0.16000000000000003,0.16000000000000003,0.16000000000000003,0.0,0.0,0.0
ALL_047_M_FAR_ENG_ST2,ST2,0.568,0.473,0.532,0.55,0.09499999999999997,0.05900000000000005,0.07700000000000007,-0.03599999999999992,-0.017999999999999905,0.018000000000000016
ALL_074_F_CCT_ENG_ST2,ST2,1.154,1.311,1.133,1.154,0.15700000000000003,0.17799999999999994,0.15700000000000003,0.020999999999999908,0.0,-0.020999999999999908
ALL_075_F_CCT_ENG_ST1,ST1,0.621,0.538,0.503,0.612,0.08299999999999996,0.03500000000000003,0.07399999999999995,-0.04799999999999993,-0.009000000000000008,0.038999999999999924
ALL_078_F_CCT_ENG_ST2,ST2,1.15,1.051,1.141,1.15,0.09899999999999998,0.09000000000000008,0.09899999999999998,-0.008999999999999897,0.0,0.008999999999999897
ALL_087_M_CCT_ENG_ST1,ST1,0.692,0.805,0.651,0.692,0.1130000000000001,0.15400000000000003,0.1130000000000001,0.040999999999999925,0.0,-0.040999999999999925
ALL_091_M_TUR_ENG_ST2,ST2,0.504,0.441,0.425,0.488,0.063,0.016000000000000014,0.046999999999999986,-0.046999999999999986,-0.016000000000000014,0.030999999999999972
ALL_096_F_KOR_ENG_ST2,ST2,0.742,0.819,0.688,0.731,0.07699999999999996,0.131,0.08799999999999997,0.05400000000000005,0.01100000000000001,-0.04300000000000004
ALL_097_F_KOR_ENG_ST2,ST2,0.909,0.867,0.856,0.909,0.04200000000000004,0.01100000000000001,0.04200000000000004,-0.031000000000000028,0.0,0.031000000000000028
ALL_098_M_GER_ENG_ST2,ST2,0.673,0.554,0.528,0.654,0.119,0.026000000000000023,0.09999999999999998,-0.09299999999999997,-0.019000000000000017,0.07399999999999995
ALL_099_M_SHS_ENG_ST1,ST1,0.79,0.597,0.71,0.79,0.19300000000000006,0.11299999999999999,0.19300000000000006,-0.08000000000000007,0.0,0.08000000000000007
ALL_100_F_SHS_ENG_ST1,ST1,0.824,0.917,0.771,0.824,0.09300000000000008,0.14600000000000002,0.09300000000000008,0.052999999999999936,0.0,-0.052999999999999936
ALL_100_F_SHS_ENG_ST2,ST2,0.919,0.81,0.851,0.919,0.10899999999999999,0.040999999999999925,0.10899999999999999,-0.06800000000000006,0.0,0.06800000000000006
ALL_102_M_SHS_ENG_ST2,ST2,0.608,0.734,0.549,0.608,0.126,0.18499999999999994,0.126,0.05899999999999994,0.0,-0.05899999999999994
ALL_104_M_SHS_ENG_ST2,ST2,0.492,0.418,0.469,0.492,0.07400000000000001,0.05099999999999999,0.07400000000000001,-0.02300000000000002,0.0,0.02300000000000002
ALL_112_F_KOR_ENG_ST1,ST1,0.548,0.587,0.527,0.548,0.038999999999999924,0.05999999999999994,0.038999999999999924,0.02100000000000002,0.0,-0.02100000000000002
ALL_113_M_JPN_ENG_ST1,ST1,0.899,0.733,0.745,0.916,0.16600000000000004,0.01200000000000001,0.18300000000000005,-0.15400000000000003,0.017000000000000015,0.17100000000000004
ALL_124_M_SHS_ENG_ST1,ST1,0.67,0.662,0.67,0.67,0.008000000000000007,0.008000000000000007,0.008000000000000007,0.0,0.0,0.0
ALL_126_M_TUR_ENG_ST1,ST1,0.792,0.595,0.54,0.804,0.19700000000000006,0.05499999999999994,0.20900000000000007,-0.14200000000000013,0.01200000000000001,0.15400000000000014
ALL_139_M_PBR_ENG_ST1,ST1,0.718,0.535,0.599,0.718,0.18299999999999994,0.06399999999999995,0.18299999999999994,-0.119,0.0,0.119
ALL_146_F_VIE_ENG_ST1,ST1,0.652,0.685,0.508,0.652,0.03300000000000003,0.17700000000000005,0.03300000000000003,0.14400000000000002,0.0,-0.14400000000000002
ALL_151_M_HEB_ENG_ST1,ST1,0.981,1.056,0.981,0.981,0.07500000000000007,0.07500000000000007,0.07500000000000007,0.0,0.0,0.0
ALL_151_M_HEB_ENG_ST2,ST2,0.681,0.671,0.57,0.681,0.010000000000000009,0.10100000000000009,0.010000000000000009,0.09100000000000008,0.0,-0.09100000000000008
