file_id,n_words,n_gap_candidates,n_scored,n_pred_fillers,max_prob,mean_prob
ALL_001_F_GER_ENG_ST1,235,62,62,1,0.993922,0.041519790322580644
ALL_005_M_CMN_ENG_ST1,205,52,52,4,0.999773,0.08373523076923078
ALL_010_M_RUS_ENG_ST1,386,89,89,2,0.681198,0.04516685393258427
ALL_018_F_CMN_ENG_ST1,290,116,116,1,0.614438,0.015771560344827584
ALL_023_M_KOR_ENG_ST1,102,27,27,2,0.987791,0.07552851851851851
ALL_029_M_TUR_ENG_ST1,152,34,34,1,0.762222,0.02495794117647059
ALL_034_M_HIN_ENG_ST1,155,28,28,0,0.014154,0.0013590714285714287
ALL_044_F_FRA_ENG_ST1,178,44,44,0,0.145537,0.0063090681818181804
ALL_046_F_FAR_ENG_ST1,97,15,15,0,0.059725,0.0114948
ALL_075_F_CCT_ENG_ST1,167,74,74,2,0.973963,0.04175510810810811
ALL_087_M_CCT_ENG_ST1,158,39,39,0,0.143065,0.017474051282051282
ALL_099_M_SHS_ENG_ST1,74,13,13,1,0.629962,0.0672376923076923
ALL_100_F_SHS_ENG_ST1,140,23,23,0,0.048329,0.006411260869565219
ALL_112_F_KOR_ENG_ST1,166,34,34,0,0.422093,0.02015
ALL_113_M_JPN_ENG_ST1,135,46,46,2,0.993861,0.061226586956521736
ALL_124_M_SHS_ENG_ST1,65,7,7,0,0.432503,0.07295700000000001
ALL_126_M_TUR_ENG_ST1,102,40,40,2,0.971836,0.07139337500000001
ALL_139_M_PBR_ENG_ST1,185,42,42,0,0.112261,0.007601904761904762
ALL_146_F_VIE_ENG_ST1,61,10,10,0,0.128564,0.017936300000000002
ALL_151_M_HEB_ENG_ST1,139,26,26,0,0.15522,0.013813730769230766
ALL_003_F_RUS_ENG_ST2,506,116,116,4,0.91425,0.028246155172413794
ALL_008_F_PBR_ENG_ST2,165,70,70,1,0.999255,0.02500461428571428
ALL_013_M_JPN_ENG_ST2,237,101,101,2,0.999071,0.03713331683168317
ALL_014_M_TUR_ENG_ST2,308,84,84,2,0.971288,0.03818240476190476
ALL_031_M_VIE_ENG_ST2,203,55,55,0,0.148614,0.00721570909090909
ALL_034_M_HIN_ENG_ST2,102,24,24,0,0.090393,0.0044726666666666665
ALL_039_M_CMN_ENG_ST2,205,75,75,2,0.90532,0.03654394666666667
ALL_043_M_CMN_ENG_ST2,177,65,65,1,0.620109,0.03180986153846154
ALL_044_F_FRA_ENG_ST2,170,48,48,1,0.91894,0.035178145833333334
ALL_047_M_FAR_ENG_ST2,226,57,57,6,0.937463,0.10691456140350879
ALL_074_F_CCT_ENG_ST2,88,21,21,0,0.231105,0.02579414285714286
ALL_078_F_CCT_ENG_ST2,156,38,38,0,0.145326,0.010044578947368422
ALL_091_M_TUR_ENG_ST2,215,89,89,3,0.997107,0.04136259550561797
ALL_096_F_KOR_ENG_ST2,416,82,82,1,0.647933,0.010493134146341463
ALL_097_F_KOR_ENG_ST2,170,39,39,0,0.206178,0.013150512820512822
ALL_098_M_GER_ENG_ST2,115,17,17,1,0.650482,0.054430058823529415
ALL_100_F_SHS_ENG_ST2,144,25,25,0,0.051982,0.0069806799999999995
ALL_102_M_SHS_ENG_ST2,168,23,23,0,0.274327,0.01875195652173913
ALL_104_M_SHS_ENG_ST2,193,33,33,0,0.00641,0.000595090909090909
ALL_151_M_HEB_ENG_ST2,193,49,49,0,0.436777,0.025750448979591833
