file_id,gap_index,island_index,gap_start,gap_end,gap_duration,vad_occupancy,n_voiced_islands,island_duration,candidate_start,candidate_end,prob_filler,pred_filler,skip_reason
ALL_044_F_FRA_ENG_ST2,0,0,0.0,0.44,0.44,1.0,1,0.44,0.0,0.44,0.000208,0,
ALL_044_F_FRA_ENG_ST2,1,0,1.7,2.14,0.44,1.0,1,0.44,1.7,2.14,5.3e-05,0,
ALL_044_F_FRA_ENG_ST2,2,0,3.0,3.2,0.2,1.0,1,0.2,3.0,3.2,3e-06,0,
ALL_044_F_FRA_ENG_ST2,3,0,4.58,4.7,0.12,1.0,1,0.12,4.58,4.7,5e-06,0,
ALL_044_F_FRA_ENG_ST2,4,0,5.15,5.54,0.39,1.0,1,0.39,5.15,5.54,1.1e-05,0,
ALL_044_F_FRA_ENG_ST2,5,0,7.07,8.27,1.2,1.0,1,1.2,7.07,8.27,0.00508,0,
ALL_044_F_FRA_ENG_ST2,6,0,10.08,10.57,0.49,1.0,1,0.49,10.08,10.57,0.000485,0,
ALL_044_F_FRA_ENG_ST2,7,0,11.76,12.82,1.06,1.0,1,1.06,11.76,12.82,0.200074,0,
ALL_044_F_FRA_ENG_ST2,8,0,15.0,16.2,1.2,1.0,1,1.2,15.0,16.2,0.067318,0,
ALL_044_F_FRA_ENG_ST2,9,0,17.43,17.6,0.17,1.0,1,0.17,17.43,17.6,6e-06,0,
ALL_044_F_FRA_ENG_ST2,10,0,18.29,18.97,0.68,1.0,1,0.68,18.29,18.97,0.000438,0,
ALL_044_F_FRA_ENG_ST2,11,0,19.83,20.18,0.35,1.0,1,0.35,19.83,20.18,3.2e-05,0,
ALL_044_F_FRA_ENG_ST2,14,0,27.14,27.3,0.16,1.0,1,0.16,27.14,27.3,2e-06,0,
ALL_044_F_FRA_ENG_ST2,15,0,27.79,28.05,0.26,1.0,1,0.26,27.79,28.05,1e-05,0,
ALL_044_F_FRA_ENG_ST2,17,0,31.36,31.58,0.22,1.0,1,0.22,31.36,31.58,0.0,0,
ALL_044_F_FRA_ENG_ST2,18,0,32.67,33.6,0.93,1.0,1,0.93,32.67,33.6,0.012578,0,
ALL_044_F_FRA_ENG_ST2,19,0,34.3,34.83,0.53,1.0,1,0.53,34.3,34.83,0.004034,0,
ALL_044_F_FRA_ENG_ST2,20,0,36.48,36.82,0.34,1.0,1,0.34,36.48,36.82,1.7e-05,0,
ALL_044_F_FRA_ENG_ST2,21,0,37.68,38.8,1.12,1.0,1,1.12,37.68,38.8,0.004557,0,
ALL_044_F_FRA_ENG_ST2,22,0,40.12,40.55,0.43,1.0,1,0.43,40.12,40.55,0.000151,0,
ALL_044_F_FRA_ENG_ST2,24,0,44.47,44.63,0.16,1.0,1,0.16,44.47,44.63,3e-06,0,
ALL_044_F_FRA_ENG_ST2,25,0,45.65,46.53,0.88,1.0,1,0.88,45.65,46.53,0.165696,0,
ALL_044_F_FRA_ENG_ST2,27,0,50.83,51.02,0.19,1.0,1,0.19,50.83,51.02,1e-06,0,
ALL_044_F_FRA_ENG_ST2,28,0,51.25,52.18,0.93,1.0,1,0.93,51.25,52.18,0.91894,1,
ALL_044_F_FRA_ENG_ST2,29,0,54.1,54.55,0.45,1.0,1,0.45,54.1,54.55,0.000144,0,
ALL_044_F_FRA_ENG_ST2,30,0,54.76,54.92,0.16,1.0,1,0.16,54.76,54.92,3e-06,0,
ALL_044_F_FRA_ENG_ST2,31,0,55.91,56.58,0.67,1.0,1,0.67,55.91,56.58,0.082466,0,
ALL_044_F_FRA_ENG_ST2,33,0,59.69,60.78,1.09,1.0,1,1.09,59.69,60.78,0.015323,0,
ALL_044_F_FRA_ENG_ST2,34,0,61.39,61.67,0.28,1.0,1,0.28,61.39,61.67,2e-06,0,
ALL_044_F_FRA_ENG_ST2,35,0,62.36,62.96,0.6,1.0,1,0.6,62.36,62.96,0.200031,0,
ALL_044_F_FRA_ENG_ST2,36,0,63.15,63.32,0.17,1.0,1,0.17,63.15,63.32,3e-06,0,
ALL_044_F_FRA_ENG_ST2,38,0,67.74,67.99,0.25,1.0,1,0.25,67.74,67.99,2e-06,0,
ALL_044_F_FRA_ENG_ST2,39,0,68.25,68.46,0.21,1.0,1,0.21,68.25,68.46,2e-06,0,
ALL_044_F_FRA_ENG_ST2,40,0,69.8,70.15,0.35,1.0,1,0.35,69.8,70.15,2.3e-05,0,
ALL_044_F_FRA_ENG_ST2,41,0,70.83,71.07,0.24,1.0,1,0.24,70.83,71.07,4.4e-05,0,
ALL_044_F_FRA_ENG_ST2,42,0,72.05,72.22,0.17,1.0,1,0.17,72.05,72.22,5e-06,0,
