file_id,gap_index,island_index,gap_start,gap_end,gap_duration,vad_occupancy,n_voiced_islands,island_duration,candidate_start,candidate_end,prob_filler,pred_filler,skip_reason
ALL_023_M_KOR_ENG_ST1,0,0,0.0,0.62,0.62,1.0,1,0.62,0.0,0.62,0.944884,1,
ALL_023_M_KOR_ENG_ST1,1,0,2.34,2.58,0.24,1.0,1,0.24,2.34,2.58,1.2e-05,0,
ALL_023_M_KOR_ENG_ST1,2,0,3.65,4.74,1.09,1.0,1,1.09,3.65,4.74,0.000373,0,
ALL_023_M_KOR_ENG_ST1,3,0,5.54,5.98,0.44,1.0,1,0.44,5.54,5.98,0.000539,0,
ALL_023_M_KOR_ENG_ST1,5,0,11.89,12.47,0.58,1.0,1,0.58,11.89,12.47,0.987791,1,
ALL_023_M_KOR_ENG_ST1,6,0,17.49,18.2,0.71,1.0,1,0.71,17.49,18.2,0.002033,0,
ALL_023_M_KOR_ENG_ST1,7,0,19.11,19.38,0.27,1.0,1,0.27,19.11,19.38,3e-06,0,
ALL_023_M_KOR_ENG_ST1,8,0,20.26,20.93,0.67,1.0,1,0.67,20.26,20.93,0.00885,0,
ALL_023_M_KOR_ENG_ST1,10,0,26.1,26.49,0.39,1.0,1,0.39,26.1,26.49,3e-06,0,
ALL_023_M_KOR_ENG_ST1,11,0,28.15,29.26,1.11,1.0,1,1.11,28.15,29.26,0.000485,0,
ALL_023_M_KOR_ENG_ST1,13,0,32.03,32.22,0.19,1.0,1,0.19,32.03,32.22,5e-06,0,
ALL_023_M_KOR_ENG_ST1,16,0,36.97,37.38,0.41,1.0,1,0.41,36.97,37.38,5e-06,0,
ALL_023_M_KOR_ENG_ST1,18,0,43.14,43.49,0.35,1.0,1,0.35,43.14,43.49,3.4e-05,0,
ALL_023_M_KOR_ENG_ST1,19,0,43.71,44.41,0.7,1.0,1,0.7,43.71,44.41,0.004119,0,
ALL_023_M_KOR_ENG_ST1,22,0,51.52,51.88,0.36,1.0,1,0.36,51.52,51.88,8e-06,0,
ALL_023_M_KOR_ENG_ST1,23,0,52.6,53.27,0.67,1.0,1,0.67,52.6,53.27,0.044546,0,
ALL_023_M_KOR_ENG_ST1,24,0,54.98,55.55,0.57,1.0,1,0.57,54.98,55.55,0.000332,0,
ALL_023_M_KOR_ENG_ST1,26,0,59.92,60.22,0.3,1.0,1,0.3,59.92,60.22,9e-06,0,
ALL_023_M_KOR_ENG_ST1,27,0,61.16,61.43,0.27,1.0,1,0.27,61.16,61.43,3e-06,0,
ALL_023_M_KOR_ENG_ST1,28,0,62.63,62.98,0.35,1.0,1,0.35,62.63,62.98,2e-06,0,
ALL_023_M_KOR_ENG_ST1,29,0,63.31,63.76,0.45,1.0,1,0.45,63.31,63.76,5.8e-05,0,
ALL_023_M_KOR_ENG_ST1,30,0,64.28,64.85,0.57,1.0,1,0.57,64.28,64.85,0.044547,0,
ALL_023_M_KOR_ENG_ST1,32,0,66.93,67.52,0.59,1.0,1,0.59,66.93,67.52,3.8e-05,0,
ALL_023_M_KOR_ENG_ST1,33,0,68.4,68.96,0.56,1.0,1,0.56,68.4,68.96,2.8e-05,0,
ALL_023_M_KOR_ENG_ST1,34,0,69.75,70.5,0.75,1.0,1,0.75,69.75,70.5,0.000105,0,
ALL_023_M_KOR_ENG_ST1,35,0,71.7,72.22,0.52,1.0,1,0.52,71.7,72.22,0.000434,0,
ALL_023_M_KOR_ENG_ST1,36,0,72.79,73.4721,0.6821,1.0,1,0.6821,72.79,73.4721,2.4e-05,0,
