file_id,gap_index,island_index,gap_start,gap_end,gap_duration,vad_occupancy,n_voiced_islands,island_duration,candidate_start,candidate_end,prob_filler,pred_filler,skip_reason
ALL_139_M_PBR_ENG_ST1,0,0,1.06,1.54,0.48,1.0,1,0.48,1.06,1.54,0.000119,0,
ALL_139_M_PBR_ENG_ST1,1,0,2.51,2.65,0.14,1.0,1,0.14,2.51,2.65,3e-06,0,
ALL_139_M_PBR_ENG_ST1,3,0,43.04,43.67,0.63,1.0,1,0.63,43.04,43.67,0.006637,0,
ALL_139_M_PBR_ENG_ST1,4,0,44.92,45.17,0.25,1.0,1,0.25,44.92,45.17,6e-06,0,
ALL_139_M_PBR_ENG_ST1,5,0,46.37,47.11,0.74,1.0,1,0.74,46.37,47.11,0.039559,0,
ALL_139_M_PBR_ENG_ST1,6,0,48.1,48.24,0.14,1.0,1,0.14,48.1,48.24,4e-06,0,
ALL_139_M_PBR_ENG_ST1,7,0,48.66,48.8,0.14,1.0,1,0.14,48.66,48.8,5e-06,0,
ALL_139_M_PBR_ENG_ST1,8,0,52.51,53.28,0.77,1.0,1,0.77,52.51,53.28,0.014018,0,
ALL_139_M_PBR_ENG_ST1,9,0,55.95,56.46,0.51,1.0,1,0.51,55.95,56.46,0.001583,0,
ALL_139_M_PBR_ENG_ST1,10,0,57.13,57.39,0.26,1.0,1,0.26,57.13,57.39,1.1e-05,0,
ALL_139_M_PBR_ENG_ST1,11,0,58.72,59.75,1.03,1.0,1,1.03,58.72,59.75,0.033249,0,
ALL_139_M_PBR_ENG_ST1,12,0,62.05,63.03,0.98,1.0,1,0.98,62.05,63.03,0.112261,0,
ALL_139_M_PBR_ENG_ST1,13,0,64.53,64.75,0.22,1.0,1,0.22,64.53,64.75,3e-06,0,
ALL_139_M_PBR_ENG_ST1,14,0,65.14,65.27,0.13,1.0,1,0.13,65.14,65.27,4e-06,0,
ALL_139_M_PBR_ENG_ST1,15,0,65.69,66.51,0.82,1.0,1,0.82,65.69,66.51,0.002249,0,
ALL_139_M_PBR_ENG_ST1,16,0,68.5,68.7,0.2,1.0,1,0.2,68.5,68.7,2e-06,0,
ALL_139_M_PBR_ENG_ST1,17,0,69.58,70.32,0.74,1.0,1,0.74,69.58,70.32,0.059123,0,
ALL_139_M_PBR_ENG_ST1,18,0,70.82,71.43,0.61,1.0,1,0.61,70.82,71.43,0.001826,0,
ALL_139_M_PBR_ENG_ST1,19,0,72.01,72.82,0.81,1.0,1,0.81,72.01,72.82,0.001592,0,
ALL_139_M_PBR_ENG_ST1,20,0,73.7,74.08,0.38,1.0,1,0.38,73.7,74.08,5e-06,0,
ALL_139_M_PBR_ENG_ST1,22,0,77.22,77.81,0.59,1.0,1,0.59,77.22,77.81,0.001164,0,
ALL_139_M_PBR_ENG_ST1,23,0,78.49,79.41,0.92,1.0,1,0.92,78.49,79.41,0.024045,0,
ALL_139_M_PBR_ENG_ST1,24,0,79.9,80.41,0.51,1.0,1,0.51,79.9,80.41,0.000104,0,
ALL_139_M_PBR_ENG_ST1,25,0,81.22,81.45,0.23,1.0,1,0.23,81.22,81.45,2e-06,0,
ALL_139_M_PBR_ENG_ST1,26,0,82.4,82.53,0.13,1.0,1,0.13,82.4,82.53,3e-06,0,
ALL_139_M_PBR_ENG_ST1,27,0,82.87,83.85,0.98,1.0,1,0.98,82.87,83.85,0.000247,0,
ALL_139_M_PBR_ENG_ST1,28,0,84.49,84.81,0.32,1.0,1,0.32,84.49,84.81,0.000394,0,
ALL_139_M_PBR_ENG_ST1,29,0,89.1,89.63,0.53,1.0,1,0.53,89.1,89.63,0.000413,0,
ALL_139_M_PBR_ENG_ST1,31,0,93.47,93.7,0.23,1.0,1,0.23,93.47,93.7,1.4e-05,0,
ALL_139_M_PBR_ENG_ST1,32,0,95.59,95.97,0.38,1.0,1,0.38,95.59,95.97,3.6e-05,0,
ALL_139_M_PBR_ENG_ST1,34,0,99.99,100.5,0.51,1.0,1,0.51,99.99,100.5,0.001802,0,
ALL_139_M_PBR_ENG_ST1,36,0,103.4,103.54,0.14,1.0,1,0.14,103.4,103.54,0.0,0,
ALL_139_M_PBR_ENG_ST1,38,0,108.01,108.95,0.94,1.0,1,0.94,108.01,108.95,0.013036,0,
ALL_139_M_PBR_ENG_ST1,39,0,109.21,109.43,0.22,1.0,1,0.22,109.21,109.43,3e-06,0,
ALL_139_M_PBR_ENG_ST1,40,0,112.16,112.34,0.18,1.0,1,0.18,112.16,112.34,3e-06,0,
ALL_139_M_PBR_ENG_ST1,41,0,113.01,113.3,0.29,1.0,1,0.29,113.01,113.3,3e-06,0,
ALL_139_M_PBR_ENG_ST1,42,0,113.76,114.67,0.91,1.0,1,0.91,113.76,114.67,0.005522,0,
ALL_139_M_PBR_ENG_ST1,43,0,115.7,116.07,0.37,1.0,1,0.37,115.7,116.07,0.000202,0,
ALL_139_M_PBR_ENG_ST1,44,0,116.31,116.61,0.3,1.0,1,0.3,116.31,116.61,1.8e-05,0,
ALL_139_M_PBR_ENG_ST1,45,0,117.37,117.54,0.17,1.0,1,0.17,117.37,117.54,3e-06,0,
ALL_139_M_PBR_ENG_ST1,46,0,117.87,118.05,0.18,1.0,1,0.18,117.87,118.05,2e-06,0,
ALL_139_M_PBR_ENG_ST1,47,0,120.46,121.33,0.87,1.0,1,0.87,120.46,121.33,5e-06,0,
