AR,SR,MLR,MCPR,ECPR,PR,MCPD,ECPD,MPD,total_syllables,total_duration,phonation_time,n_pauses,n_mid_clause_pauses,n_end_clause_pauses,n_clauses,file
2.906,1.755,4.36,0.1181,0.1146,0.2326,0.88,1.063,0.97,288,164.11,99.12,67,34,33,30,ALL_001_F_GER_ENG_ST1.TextGrid
3.085,1.956,4.94,0.129,0.0762,0.2053,0.833,1.043,0.911,341,174.29,110.54,70,44,26,30,ALL_001_F_GER_ENG_ST2.TextGrid
4.271,2.8,6.81,0.0679,0.0815,0.1495,0.769,0.867,0.823,368,131.41,86.17,55,25,30,47,ALL_002_F_HEB_ENG_ST1.TextGrid
4.386,3.096,10.59,0.0391,0.0586,0.0977,0.676,1.17,0.972,307,99.16,69.99,30,12,18,32,ALL_002_F_HEB_ENG_ST2.TextGrid
4.285,2.323,5.86,0.0728,0.0979,0.1706,0.837,1.392,1.156,756,325.51,176.44,129,55,74,100,ALL_003_F_RUS_ENG_ST1.TextGrid
4.095,2.019,4.89,0.0908,0.1153,0.2061,0.789,1.556,1.218,694,343.69,169.47,143,63,80,95,ALL_003_F_RUS_ENG_ST2.TextGrid
4.071,2.106,3.35,0.1867,0.1145,0.3012,0.685,0.885,0.761,332,157.64,81.55,100,62,38,35,ALL_004_M_TUR_ENG_ST1.TextGrid
3.577,2.24,4.07,0.152,0.0965,0.2485,0.622,0.749,0.671,342,152.67,95.61,85,52,33,48,ALL_004_M_TUR_ENG_ST2.TextGrid
3.227,1.859,4.22,0.1486,0.0924,0.241,0.788,1.201,0.946,249,133.95,77.17,60,37,23,37,ALL_005_M_CMN_ENG_ST1.TextGrid
3.384,2.01,4.7,0.1235,0.0895,0.213,0.776,1.186,0.948,324,161.19,95.75,69,40,29,39,ALL_005_M_CMN_ENG_ST2.TextGrid
3.048,1.916,4.79,0.1016,0.1123,0.2139,0.752,1.046,0.906,187,97.61,61.36,40,19,21,23,ALL_006_M_PBR_ENG_ST1.TextGrid
3.692,2.677,7.17,0.0698,0.0724,0.1421,0.506,0.93,0.722,387,144.55,104.83,55,27,28,51,ALL_006_M_PBR_ENG_ST2.TextGrid
