AR,SR,MLR,MCPR,ECPR,PR,MCPD,ECPD,MPD,total_syllables,total_duration,phonation_time,n_pauses,n_mid_clause_pauses,n_end_clause_pauses,n_clauses,file
3.031,1.645,3.86,0.1519,0.1111,0.263,1.033,1.09,1.057,270,164.11,89.07,71,41,30,28,ALL_001_F_GER_ENG_ST1.TextGrid
3.056,1.675,3.89,0.1712,0.089,0.2603,0.94,1.22,1.036,292,174.29,95.55,76,50,26,30,ALL_001_F_GER_ENG_ST2.TextGrid
4.179,2.755,6.96,0.0718,0.0746,0.1464,0.817,0.872,0.845,362,131.41,86.63,53,26,27,47,ALL_002_F_HEB_ENG_ST1.TextGrid
4.293,3.096,9.9,0.0423,0.0619,0.1042,0.634,1.022,0.864,307,99.16,71.51,32,13,19,33,ALL_002_F_HEB_ENG_ST2.TextGrid
4.201,2.255,5.69,0.0749,0.1008,0.1757,0.851,1.405,1.169,734,325.51,174.73,129,55,74,100,ALL_003_F_RUS_ENG_ST1.TextGrid
3.995,1.979,4.66,0.1015,0.1147,0.2162,0.78,1.534,1.18,680,343.69,170.22,147,69,78,95,ALL_003_F_RUS_ENG_ST2.TextGrid
3.74,1.973,3.79,0.1768,0.09,0.2669,0.825,1.04,0.897,311,157.64,83.16,83,55,28,36,ALL_004_M_TUR_ENG_ST1.TextGrid
3.466,2.162,3.88,0.1697,0.0909,0.2606,0.658,0.687,0.668,330,152.67,95.2,86,56,30,48,ALL_004_M_TUR_ENG_ST2.TextGrid
3.21,1.754,3.79,0.183,0.0851,0.2681,0.803,1.311,0.964,235,133.95,73.2,63,43,20,35,ALL_005_M_CMN_ENG_ST1.TextGrid
3.562,1.967,4.06,0.1546,0.0915,0.2461,0.792,1.151,0.926,317,161.19,89.0,78,49,29,38,ALL_005_M_CMN_ENG_ST2.TextGrid
3.066,1.947,4.63,0.1158,0.1053,0.2211,0.799,0.904,0.849,190,97.61,61.97,42,22,20,24,ALL_006_M_PBR_ENG_ST1.TextGrid
3.68,2.587,7.06,0.0722,0.0722,0.1444,0.687,0.902,0.795,374,144.55,101.64,54,27,27,50,ALL_006_M_PBR_ENG_ST2.TextGrid
3.815,2.877,8.74,0.0355,0.0804,0.1159,0.5,0.843,0.738,647,224.92,169.59,75,23,52,82,ALL_007_F_PBR_ENG_ST1.TextGrid
3.569,2.729,7.73,0.0518,0.0788,0.1306,0.523,0.751,0.661,850,311.51,238.16,111,44,67,112,ALL_007_F_PBR_ENG_ST2.TextGrid
2.907,1.694,3.53,0.184,0.1038,0.2877,0.78,0.991,0.856,212,125.14,72.92,61,39,22,23,ALL_008_F_PBR_ENG_ST1.TextGrid
3.088,1.774,3.55,0.1674,0.1189,0.2863,0.703,1.028,0.838,227,127.97,73.51,65,38,27,29,ALL_008_F_PBR_ENG_ST2.TextGrid
3.094,1.761,4.06,0.1327,0.1185,0.2512,0.859,1.104,0.975,211,119.84,68.19,53,28,25,28,ALL_009_F_PBR_ENG_ST1.TextGrid
3.331,1.805,4.14,0.1628,0.084,0.2468,0.969,1.144,1.028,393,217.73,117.98,97,64,33,40,ALL_009_F_PBR_ENG_ST2.TextGrid
3.921,2.287,5.39,0.1023,0.0852,0.1875,0.744,1.245,0.972,528,230.89,134.67,99,54,45,57,ALL_010_M_RUS_ENG_ST1.TextGrid
3.684,2.065,4.6,0.1159,0.1051,0.221,0.831,1.108,0.963,276,133.63,74.91,61,32,29,35,ALL_010_M_RUS_ENG_ST2.TextGrid
3.878,2.801,6.25,0.0554,0.1077,0.1631,0.473,0.678,0.608,325,116.04,83.8,53,18,35,38,ALL_011_F_CMN_ENG_ST1.TextGrid
3.718,2.652,6.36,0.0645,0.0968,0.1613,0.617,0.705,0.67,248,93.51,66.71,40,16,24,29,ALL_011_F_CMN_ENG_ST2.TextGrid
3.473,2.666,7.11,0.0593,0.0815,0.1407,0.54,0.677,0.62,270,101.28,77.74,38,16,22,47,ALL_012_M_CMN_ENG_ST1.TextGrid
3.432,2.567,6.76,0.0724,0.0789,0.1513,0.569,0.721,0.648,304,118.41,88.59,46,22,24,42,ALL_012_M_CMN_ENG_ST2.TextGrid
3.039,1.775,3.44,0.1894,0.1057,0.2952,0.647,1.056,0.794,227,127.87,74.7,67,43,24,29,ALL_013_M_JPN_ENG_ST1.TextGrid
3.049,1.828,3.48,0.2019,0.0883,0.2902,0.641,1.014,0.755,317,173.4,103.98,92,64,28,30,ALL_013_M_JPN_ENG_ST2.TextGrid
3.692,2.417,5.8,0.105,0.0714,0.1765,0.706,0.963,0.81,238,98.47,64.46,42,25,17,29,ALL_014_M_TUR_ENG_ST1.TextGrid
3.811,2.501,5.17,0.1005,0.0954,0.1959,0.783,0.616,0.702,388,155.13,101.81,76,39,37,51,ALL_014_M_TUR_ENG_ST2.TextGrid
3.376,2.463,5.96,0.0665,0.1044,0.1709,0.425,0.781,0.643,316,128.31,93.6,54,21,33,40,ALL_016_M_CMN_ENG_ST1.TextGrid
3.444,2.496,5.73,0.0917,0.0858,0.1775,0.544,0.703,0.621,338,135.4,98.15,60,31,29,32,ALL_016_M_CMN_ENG_ST2.TextGrid
3.493,2.367,7.5,0.0593,0.0778,0.137,0.562,1.322,0.993,270,114.05,77.3,37,16,21,36,ALL_017_F_KOR_ENG_ST1.TextGrid
3.442,2.405,8.0,0.0764,0.0521,0.1285,0.88,1.113,0.975,288,119.73,83.67,37,22,15,35,ALL_017_F_KOR_ENG_ST2.TextGrid
2.957,1.907,3.93,0.1243,0.1329,0.2572,0.432,0.996,0.723,346,181.4,117.02,89,43,46,51,ALL_018_F_CMN_ENG_ST1.TextGrid
3.379,2.066,4.82,0.0858,0.1242,0.2099,0.681,1.045,0.896,443,214.44,131.1,93,38,55,64,ALL_018_F_CMN_ENG_ST2.TextGrid
4.852,3.274,5.71,0.0817,0.0973,0.179,0.507,0.595,0.555,257,78.5,52.97,46,21,25,36,ALL_020_M_CMN_ENG_ST1.TextGrid
