File: ALL_001_F_GER_ENG_ST1.TextGrid
Clauses: 28
  independent               | a black bird saw a hat
  coordinated_vp            | and this hat on his a black bird saw a hat
  coordinated_vp            | and put this hat on top of his head
  subordinate_advcl         | and while he was walking
  coordinated_vp            | a white bird saw the hat
  subordinate_acl:relcl     | which the black bird put on top of his head
  coordinated_vp            | and the bird was looking strangely at him
  coordinated_vp            | and so the black bird got angry
  subordinate_advcl         | because the white bird was laughing
  subordinate_advcl         | so the black bird got ashamed
  coordinated_vp            | and left the hat behind him
  subordinate_advcl         | while he was running
  subordinate_advcl         | so the white bird happily was sitting on the grass
  coordinated_vp            | and caught the hat
  subordinate_acl:relcl     | that the black bird had left
  parataxis                 | the white bird bird wanted this hat
  nonfinite_xcomp           | to use it as a nest
  subordinate_advcl         | to lay her egg into the nest
  coordinated_vp            | but the black bird was at the same time observing the white 
  coordinated_vp            | and got angry
  subordinate_advcl         | so he determined
  nonfinite_xcomp           | to get the hat back
  coordinated_vp            | and suddenly appeared behind the white bird
  coordinated_vp            | and took his hat back
  coordinated_vp            | and put it on top of his head again
  coordinated_vp            | but surprisingly the hat fell on the flo on the grass
  coordinated_vp            | and he noticed
  subordinate_ccomp         | that there was a young bird on top of his hat
File: ALL_001_F_GER_ENG_ST2.TextGrid
Clauses: 30
  independent               | one day a little boy was leaning at a tree trunk
  subordinate_advcl         | while he was playing with bubbles
  parataxis                 | he was trying
  nonfinite_xcomp           | to make different shapes like first a kangaroo
  coordinated_vp            | and then he made also a lot of other shapes like car shape b
  subordinate_advcl         | while he was happily running
  coordinated_vp            | so then he was trying another one
  coordinated_vp            | but he formed an angry snake
  subordinate_advcl         | but then because he was afraid of the snake
  coordinated_vp            | he also had
  nonfinite_xcomp           | to form another animal
  subordinate_acl:relcl     | which should follow the snake
  subordinate_acl:relcl     | that animal was a tiger
  coordinated_vp            | and then this tiger went behind the snake
  subordinate_advcl         | while at the same time the boy was making an elephant
  coordinated_vp            | and the tiger got afraid of the elephant
  subordinate_advcl         | so that also the tiger ran away with the elephant behind him
  parataxis                 | so the boy was again happy
  coordinated_vp            | and he also continued his game
  subordinate_advcl         | by making a mouse
  subordinate_advcl         | because the elephant was afraid of a mouse
  subordinate_ccomp         | the elephant kept
  nonfinite_xcomp           | running in front of a mouse
  coordinated_vp            | and later the boy popped these bubbles
  coordinated_vp            | and spoiled all of the liquid onto the soil
  subordinate_advcl         | while he was leaving
