measure,subset,n,mean_auto,mean_manual,pearson_r,pearson_p,pearson_ci_lo,pearson_ci_hi,spearman_rho,spearman_p,spearman_ci_lo,spearman_ci_hi,icc_2_1,icc_ci_lo,icc_ci_hi,bias,mae,loa_lo,loa_hi
AR,Overall,1,,,,,,,,,,,,,,,,,
SR,Overall,1,,,,,,,,,,,,,,,,,
MLR,Overall,1,,,,,,,,,,,,,,,,,
MCPR,Overall,1,,,,,,,,,,,,,,,,,
ECPR,Overall,1,,,,,,,,,,,,,,,,,
PR,Overall,1,,,,,,,,,,,,,,,,,
MCPD,Overall,1,,,,,,,,,,,,,,,,,
ECPD,Overall,1,,,,,,,,,,,,,,,,,
MPD,Overall,1,,,,,,,,,,,,,,,,,
AR,ST1,1,,,,,,,,,,,,,,,,,
SR,ST1,1,,,,,,,,,,,,,,,,,
MLR,ST1,1,,,,,,,,,,,,,,,,,
MCPR,ST1,1,,,,,,,,,,,,,,,,,
ECPR,ST1,1,,,,,,,,,,,,,,,,,
PR,ST1,1,,,,,,,,,,,,,,,,,
MCPD,ST1,1,,,,,,,,,,,,,,,,,
ECPD,ST1,1,,,,,,,,,,,,,,,,,
MPD,ST1,1,,,,,,,,,,,,,,,,,
AR,ST2,0,,,,,,,,,,,,,,,,,
SR,ST2,0,,,,,,,,,,,,,,,,,
MLR,ST2,0,,,,,,,,,,,,,,,,,
MCPR,ST2,0,,,,,,,,,,,,,,,,,
ECPR,ST2,0,,,,,,,,,,,,,,,,,
PR,ST2,0,,,,,,,,,,,,,,,,,
MCPD,ST2,0,,,,,,,,,,,,,,,,,
ECPD,ST2,0,,,,,,,,,,,,,,,,,
MPD,ST2,0,,,,,,,,,,,,,,,,,
