subset,measure,d_r_clf_vs_vad,d_icc_clf_vs_vad,d_mae_clf_vs_vad,d_r_clf_vs_base,d_icc_clf_vs_base,d_mae_clf_vs_base
Overall,AR,0.179,0.118,-0.1546,0.0,0.013,-0.0275
Overall,ECPD,0.178,0.136,-0.1181,-0.006,-0.009,0.0101
Overall,ECPR,0.064,0.073,-0.0045,0.005,0.006,-0.0001
Overall,MCPD,0.003,-0.011,0.0105,0.0,0.003,-0.0048
Overall,MCPR,0.001,0.003,-0.0004,-0.001,0.0,0.0
Overall,MPD,0.127,0.072,-0.0473,0.0,0.0,-0.0016
Overall,PR,0.016,0.023,-0.0049,-0.002,0.001,-0.0003
ST1,AR,0.127,0.07,-0.1224,0.003,0.02,-0.0436
ST1,ECPD,0.217,0.152,-0.1121,-0.009,-0.023,0.0332
ST1,ECPR,0.095,0.084,-0.004,-0.007,-0.011,0.0004
ST1,MCPD,0.003,0.003,-0.0013,0.0,0.005,-0.0065
ST1,MCPR,0.001,0.003,-0.0001,-0.001,0.0,0.0001
ST1,MPD,0.161,0.098,-0.0505,0.001,-0.003,0.0014
ST1,PR,0.011,0.016,-0.0031,-0.002,-0.001,0.0
ST2,AR,0.238,0.181,-0.1868,-0.004,0.006,-0.0115
ST2,ECPD,0.157,0.127,-0.124,0.003,0.007,-0.0128
ST2,ECPR,0.049,0.064,-0.005,0.015,0.015,-0.0005
ST2,MCPD,0.003,-0.019,0.0222,0.0,0.001,-0.0031
ST2,MCPR,0.002,0.003,-0.0007,0.0,0.0,0.0
ST2,MPD,0.098,0.048,-0.0442,-0.001,0.002,-0.0048
ST2,PR,0.021,0.027,-0.0066,-0.001,0.002,-0.0006
