AR,SR,MLR,MCPR,ECPR,PR,MCPD,ECPD,MPD,total_mora,total_duration,phonation_time,n_pauses,n_mid_clause_pauses,n_end_clause_pauses,n_clauses,file
5.933,3.222,8.53,0.0574,0.0623,0.1197,0.814,1.525,1.185,401,124.45,67.59,48,23,25,25,CCH16-ST1.TextGrid
6.058,3.131,8.74,0.0471,0.0707,0.1178,0.77,1.669,1.309,297,94.86,49.03,35,14,21,23,CCH16-ST2.TextGrid
4.584,2.732,8.59,0.0346,0.0849,0.1195,0.687,1.461,1.237,318,116.39,69.37,38,11,27,22,CCM35-ST1.TextGrid
4.387,3.016,9.36,0.05,0.0591,0.1091,0.641,1.211,0.95,440,145.91,100.3,48,22,26,28,CCM35-ST2.TextGrid
5.24,3.348,8.7,0.0523,0.0627,0.115,0.657,1.172,0.938,287,85.72,54.77,33,15,18,12,CCS09-ST1.TextGrid
4.962,3.149,10.16,0.0431,0.0585,0.1015,0.453,1.651,1.143,325,103.21,65.5,33,14,19,19,CCS09-ST2.TextGrid
4.799,2.186,5.54,0.0799,0.1007,0.1806,0.926,1.738,1.379,288,131.72,60.01,52,23,29,16,CCS45-ST1.TextGrid
4.92,2.032,4.56,0.1111,0.1111,0.2222,0.845,1.756,1.3,333,163.91,67.69,74,37,37,29,CCS45-ST2.TextGrid
5.315,3.475,9.55,0.0578,0.0487,0.1065,0.49,1.464,0.936,554,159.44,104.23,59,32,27,35,CCT15-ST1.TextGrid
5.346,3.664,8.73,0.0691,0.0471,0.1162,0.5,1.089,0.739,637,173.84,119.16,74,44,30,37,CCT15-ST2.TextGrid
5.577,2.79,9.44,0.0516,0.0571,0.1087,0.908,2.318,1.648,368,131.91,65.98,40,19,21,24,EAU18-ST1.TextGrid
5.42,2.494,7.7,0.0565,0.0763,0.1328,1.3,1.876,1.631,354,141.95,65.31,47,20,27,22,EAU18-ST2.TextGrid
5.352,2.565,6.74,0.0873,0.0655,0.1528,0.626,2.265,1.328,229,89.28,42.79,35,20,15,16,ENZ20-ST1.TextGrid
4.767,1.877,4.82,0.1259,0.0889,0.2148,0.681,2.67,1.504,135,71.93,28.32,29,17,12,13,ENZ20-ST2.TextGrid
5.875,2.378,8.27,0.0604,0.0659,0.1264,0.828,3.037,1.981,182,76.54,30.98,23,11,12,13,ENZ31-ST1.TextGrid
5.478,2.63,10.18,0.0289,0.0751,0.104,0.51,2.434,1.9,173,65.77,31.58,18,5,13,14,ENZ31-ST2.TextGrid
3.872,1.217,5.24,0.0883,0.106,0.1943,1.847,3.779,2.901,283,232.63,73.08,55,25,30,18,EUS11-ST1.TextGrid
3.568,0.959,4.0,0.163,0.0978,0.2609,2.657,3.36,2.921,184,191.77,51.57,48,30,18,13,EUS11-ST2.TextGrid
4.533,2.152,5.23,0.113,0.0826,0.1957,0.787,1.878,1.248,230,106.88,50.74,45,26,19,17,EUS32-ST1.TextGrid
4.408,1.908,4.73,0.1056,0.1092,0.2148,1.137,1.622,1.384,284,148.82,64.43,61,30,31,21,EUS32-ST2.TextGrid
4.953,2.253,6.62,0.1067,0.0489,0.1556,0.896,2.993,1.555,225,99.87,45.43,35,24,11,12,IID15-ST1.TextGrid
5.144,2.596,7.0,0.0731,0.0731,0.1462,0.93,1.681,1.306,301,115.96,58.51,44,22,22,17,IID15-ST2.TextGrid
