file_id,n_words,n_gap_candidates,n_scored,n_pred_fillers,max_prob,mean_prob
CCH16-ST1,263,45,45,1,0.588093,0.19382344444444444
CCH16-ST2,236,35,33,0,0.23133,0.14328278787878787
CCM35-ST1,222,42,42,2,0.563447,0.16458911904761905
CCM35-ST2,318,64,63,2,0.695455,0.2029466666666667
CCS09-ST1,177,43,42,0,0.311225,0.12380366666666666
CCS09-ST2,270,47,47,0,0.400785,0.11321617021276595
CCS45-ST1,198,50,50,1,0.758582,0.11803969999999998
CCS45-ST2,261,59,58,1,0.662536,0.10500241379310346
CCT15-ST1,378,78,78,2,0.638534,0.15413239743589743
CCT15-ST2,434,96,96,0,0.377657,0.15363091666666667
EAU18-ST1,235,34,34,0,0.498642,0.12378182352941176
EAU18-ST2,247,29,29,0,0.375826,0.13331537931034482
ENZ20-ST1,163,37,37,2,0.713894,0.2650122432432432
ENZ20-ST2,126,33,33,0,0.441775,0.24066806060606058
ENZ31-ST1,115,17,17,0,0.368502,0.1933659411764706
ENZ31-ST2,135,13,13,0,0.295635,0.14945023076923075
EUS11-ST1,173,29,29,0,0.334527,0.13237693103448275
EUS11-ST2,129,16,16,1,0.527446,0.15769887500000002
EUS32-ST1,152,41,39,3,0.863427,0.1616993333333333
EUS32-ST2,202,47,45,1,0.759543,0.08455831111111112
IID15-ST1,159,31,31,1,0.545259,0.14396941935483873
IID15-ST2,214,43,43,0,0.47398,0.1375789069767442
IID22-ST1,235,55,55,3,0.562757,0.17314394545454548
IID22-ST2,308,65,65,0,0.498862,0.15359984615384617
IID35-ST1,244,77,77,5,0.687196,0.27250531168831166
IID35-ST2,256,63,63,1,0.549854,0.21237414285714284
IID40-ST1,92,23,23,1,0.680408,0.17363482608695652
IID40-ST2,138,31,31,1,0.544636,0.17073077419354837
IID41-ST1,153,44,44,0,0.498342,0.22929611363636362
IID41-ST2,181,40,40,0,0.343006,0.22783487500000002
KKD19-ST1,185,29,28,2,0.715075,0.10869282142857142
KKD19-ST2,263,52,52,1,0.580079,0.08130238461538462
KKD27-ST1,169,25,25,2,0.68308,0.14503012
KKD27-ST2,180,25,24,0,0.392671,0.096107
KKD46-ST1,244,49,48,1,0.54584,0.09486879166666667
KKD46-ST2,292,66,65,2,0.784959,0.10070429230769232
KKR24-ST1,170,39,39,1,0.894036,0.1528262564102564
KKR24-ST2,244,58,57,2,0.723775,0.11291531578947368
KKR40-ST1,186,39,38,2,0.90152,0.12725810526315787
KKR40-ST2,283,58,56,2,0.77969,0.11075592857142859
