file_id,gap_index,island_index,gap_start,gap_end,gap_duration,vad_occupancy,n_voiced_islands,island_duration,candidate_start,candidate_end,prob_filler,pred_filler,skip_reason
CCM35-ST1,0,0,0.82,1.08,0.26,1.0,1,0.26,0.82,1.08,0.053611,0,
CCM35-ST1,1,0,2.8,3.25,0.45,1.0,1,0.45,2.8,3.25,0.053785,0,
CCM35-ST1,2,0,5.14,5.63,0.49,1.0,1,0.49,5.14,5.63,0.055713,0,
CCM35-ST1,3,0,6.25,6.54,0.29,1.0,1,0.29,6.25,6.54,0.078613,0,
CCM35-ST1,4,0,6.67,7.56,0.89,1.0,1,0.89,6.67,7.56,0.065994,0,
CCM35-ST1,5,0,8.67,9.0,0.33,1.0,1,0.33,8.67,9.0,0.068272,0,
CCM35-ST1,6,0,10.86,11.16,0.3,1.0,1,0.3,10.86,11.16,0.21943,0,
CCM35-ST1,7,0,12.84,13.5,0.66,0.9939,1,0.656,12.84,13.496,0.20259,0,
CCM35-ST1,8,0,16.06,16.34,0.28,1.0,1,0.28,16.06,16.34,0.096394,0,
CCM35-ST1,9,0,20.14,20.74,0.6,1.0,1,0.6,20.14,20.74,0.227562,0,
CCM35-ST1,11,0,23.26,24.26,1.0,0.92,2,0.592,23.26,23.852,0.108465,0,
CCM35-ST1,11,1,23.26,24.26,1.0,0.92,2,0.328,23.932,24.26,0.525145,1,
CCM35-ST1,12,0,26.16,26.66,0.5,1.0,1,0.5,26.16,26.66,0.248219,0,
CCM35-ST1,13,0,29.48,30.11,0.63,1.0,1,0.63,29.48,30.11,0.078829,0,
CCM35-ST1,14,0,31.92,32.12,0.2,1.0,1,0.2,31.92,32.12,0.258291,0,
CCM35-ST1,15,0,35.53,36.2,0.67,1.0,1,0.67,35.53,36.2,0.152707,0,
CCM35-ST1,16,0,36.43,36.9,0.47,1.0,1,0.47,36.43,36.9,0.065505,0,
CCM35-ST1,18,0,40.2,41.23,1.03,0.8388,1,0.864,40.2,41.064,0.083125,0,
CCM35-ST1,19,0,42.62,42.77,0.15,1.0,1,0.15,42.62,42.77,0.144963,0,
CCM35-ST1,21,0,47.73,47.91,0.18,1.0,1,0.18,47.73,47.91,0.093806,0,
CCM35-ST1,22,0,48.68,48.94,0.26,1.0,1,0.26,48.68,48.94,0.155605,0,
CCM35-ST1,23,0,49.22,49.97,0.75,1.0,1,0.75,49.22,49.97,0.06152,0,
CCM35-ST1,24,0,52.98,53.94,0.96,1.0,1,0.96,52.98,53.94,0.18639,0,
CCM35-ST1,25,0,55.07,55.54,0.47,1.0,1,0.47,55.07,55.54,0.359127,0,
CCM35-ST1,26,0,57.2,57.46,0.26,1.0,1,0.26,57.2,57.46,0.27165,0,
CCM35-ST1,27,0,58.25,58.98,0.73,0.4603,1,0.336,58.25,58.586,0.234517,0,
CCM35-ST1,28,0,60.46,60.96,0.5,1.0,1,0.5,60.46,60.96,0.164836,0,
CCM35-ST1,29,0,61.78,62.07,0.29,1.0,1,0.29,61.78,62.07,0.201562,0,
CCM35-ST1,30,0,62.36,62.64,0.28,1.0,1,0.28,62.36,62.64,0.070446,0,
CCM35-ST1,32,0,67.95,68.13,0.18,1.0,1,0.18,67.95,68.13,0.07681,0,
CCM35-ST1,33,0,70.32,71.15,0.83,1.0,1,0.83,70.32,71.15,0.25102,0,
CCM35-ST1,36,0,80.96,81.72,0.76,1.0,1,0.76,80.96,81.72,0.063466,0,
CCM35-ST1,37,0,83.38,84.52,1.14,1.0,1,1.14,83.38,84.52,0.095697,0,
CCM35-ST1,38,0,84.61,85.03,0.42,1.0,1,0.42,84.61,85.03,0.197672,0,
CCM35-ST1,39,0,87.72,88.85,1.13,1.0,1,1.13,87.72,88.85,0.150066,0,
CCM35-ST1,41,0,93.56,93.84,0.28,1.0,1,0.28,93.56,93.84,0.267034,0,
CCM35-ST1,42,0,96.53,97.19,0.66,0.6545,1,0.432,96.53,96.962,0.198412,0,
CCM35-ST1,44,0,103.65,104.45,0.8,1.0,1,0.8,103.65,104.45,0.563447,1,
CCM35-ST1,45,0,106.69,107.73,1.04,1.0,1,1.04,106.69,107.73,0.137153,0,
CCM35-ST1,46,0,107.76,108.13,0.37,1.0,1,0.37,107.76,108.13,0.087375,0,
CCM35-ST1,47,0,108.93,109.5,0.57,1.0,1,0.57,108.93,109.5,0.160424,0,
CCM35-ST1,48,0,112.73,113.18,0.45,1.0,1,0.45,112.73,113.18,0.077495,0,
