file_id,gap_index,island_index,gap_start,gap_end,gap_duration,vad_occupancy,n_voiced_islands,island_duration,candidate_start,candidate_end,prob_filler,pred_filler,skip_reason
CCS45-ST2,0,0,0.0,0.65,0.65,0.8031,1,0.522,0.128,0.65,0.113394,0,
CCS45-ST2,1,0,2.32,2.55,0.23,1.0,1,0.23,2.32,2.55,0.110501,0,
CCS45-ST2,2,0,4.42,4.61,0.19,1.0,1,0.19,4.42,4.61,0.298237,0,
CCS45-ST2,3,0,5.03,5.82,0.79,1.0,1,0.79,5.03,5.82,0.041784,0,
CCS45-ST2,5,0,12.16,13.0,0.84,1.0,1,0.84,12.16,13.0,0.087093,0,
CCS45-ST2,8,0,18.36,18.94,0.58,0.9379,1,0.544,18.36,18.904,0.257194,0,
CCS45-ST2,10,0,24.74,25.13,0.39,1.0,1,0.39,24.74,25.13,0.052774,0,
CCS45-ST2,11,0,26.48,27.38,0.9,1.0,1,0.9,26.48,27.38,0.080928,0,
CCS45-ST2,12,0,28.99,29.4,0.41,1.0,1,0.41,28.99,29.4,0.065897,0,
CCS45-ST2,13,0,30.22,31.24,1.02,0.2,1,0.204,31.036,31.24,0.102285,0,
CCS45-ST2,14,0,32.13,32.26,0.13,1.0,1,0.13,32.13,32.26,0.069311,0,
CCS45-ST2,15,0,32.84,32.97,0.13,1.0,1,0.13,32.84,32.97,0.042147,0,
CCS45-ST2,21,0,47.98,48.86,0.88,1.0,1,0.88,47.98,48.86,0.121854,0,
CCS45-ST2,22,0,49.9,50.32,0.42,1.0,1,0.42,49.9,50.32,0.067733,0,
CCS45-ST2,23,0,51.6,52.27,0.67,1.0,1,0.67,51.6,52.27,0.075771,0,
CCS45-ST2,26,0,59.44,59.81,0.37,1.0,1,0.37,59.44,59.81,0.035431,0,
CCS45-ST2,27,0,60.65,60.92,0.27,1.0,1,0.27,60.65,60.92,0.083907,0,
CCS45-ST2,28,0,61.63,62.11,0.48,1.0,1,0.48,61.63,62.11,0.063244,0,
CCS45-ST2,31,0,68.77,69.71,0.94,1.0,1,0.94,68.77,69.71,0.086795,0,
CCS45-ST2,32,0,70.26,70.59,0.33,1.0,1,0.33,70.26,70.59,0.040927,0,
CCS45-ST2,34,0,73.02,73.27,0.25,1.0,1,0.25,73.02,73.27,0.049875,0,
CCS45-ST2,36,0,77.77,77.99,0.22,1.0,1,0.22,77.77,77.99,0.050064,0,
CCS45-ST2,40,0,86.65,87.82,1.17,0.3829,2,0.304,86.65,86.954,0.076979,0,
CCS45-ST2,40,1,86.65,87.82,1.17,0.3829,2,0.144,87.658,87.802,0.094061,0,
CCS45-ST2,41,0,89.14,89.3,0.16,1.0,1,0.16,89.14,89.3,0.055812,0,
CCS45-ST2,42,0,90.19,91.36,1.17,0.453,1,0.53,90.83,91.36,0.1551,0,
CCS45-ST2,43,0,91.44,92.43,0.99,0.5333,2,0.368,91.44,91.808,0.204614,0,
CCS45-ST2,43,1,91.44,92.43,0.99,0.5333,2,0.16,91.904,92.064,0.090423,0,
CCS45-ST2,44,0,93.27,93.77,0.5,1.0,1,0.5,93.27,93.77,0.077232,0,
CCS45-ST2,45,0,94.49,95.22,0.73,1.0,1,0.73,94.49,95.22,0.072776,0,
CCS45-ST2,48,0,99.19,99.32,0.13,1.0,1,0.13,99.19,99.32,0.103471,0,
CCS45-ST2,50,0,103.09,103.82,0.73,1.0,1,0.73,103.09,103.82,0.13269,0,
CCS45-ST2,51,0,104.1,104.48,0.38,1.0,1,0.38,104.1,104.48,0.073908,0,
CCS45-ST2,54,0,109.06,109.53,0.47,1.0,1,0.47,109.06,109.53,0.057126,0,
CCS45-ST2,55,0,110.86,111.45,0.59,1.0,1,0.59,110.86,111.45,0.114514,0,
CCS45-ST2,56,0,113.06,113.32,0.26,1.0,1,0.26,113.06,113.32,0.037421,0,
CCS45-ST2,57,0,113.55,114.42,0.87,1.0,1,0.87,113.55,114.42,0.081221,0,
CCS45-ST2,58,0,115.0,115.54,0.54,1.0,1,0.54,115.0,115.54,0.132771,0,
CCS45-ST2,60,0,118.15,119.0,0.85,1.0,1,0.85,118.15,119.0,0.083163,0,
CCS45-ST2,61,0,119.35,119.63,0.28,1.0,1,0.28,119.35,119.63,0.043367,0,
CCS45-ST2,65,0,132.19,132.87,0.68,1.0,1,0.68,132.19,132.87,0.093262,0,
CCS45-ST2,66,0,133.47,133.78,0.31,1.0,1,0.31,133.47,133.78,0.130238,0,
CCS45-ST2,67,-1,134.61,135.64,1.03,0.0,0,,,,,0,vad_occupancy_out_of_range
CCS45-ST2,68,0,136.59,137.38,0.79,0.8709,2,0.336,136.59,136.926,0.662536,1,
CCS45-ST2,68,1,136.59,137.38,0.79,0.8709,2,0.352,136.99,137.342,0.082454,0,
CCS45-ST2,69,0,138.46,139.15,0.69,1.0,1,0.69,138.46,139.15,0.070755,0,
CCS45-ST2,72,0,143.5,144.68,1.18,0.9085,2,0.944,143.5,144.444,0.131571,0,
CCS45-ST2,72,1,143.5,144.68,1.18,0.9085,2,0.128,144.508,144.636,0.093909,0,
CCS45-ST2,73,0,146.05,146.2,0.15,1.0,1,0.15,146.05,146.2,0.111297,0,
CCS45-ST2,74,0,148.3,148.79,0.49,1.0,1,0.49,148.3,148.79,0.198388,0,
CCS45-ST2,75,0,149.54,149.93,0.39,1.0,1,0.39,149.54,149.93,0.077067,0,
CCS45-ST2,76,0,150.64,150.96,0.32,1.0,1,0.32,150.64,150.96,0.106216,0,
CCS45-ST2,77,0,152.15,152.81,0.66,1.0,1,0.66,152.15,152.81,0.104383,0,
CCS45-ST2,78,0,154.51,155.23,0.72,1.0,1,0.72,154.51,155.23,0.088186,0,
CCS45-ST2,80,0,157.7,158.01,0.31,1.0,1,0.31,157.7,158.01,0.0585,0,
CCS45-ST2,81,0,159.07,159.6,0.53,1.0,1,0.53,159.07,159.6,0.141773,0,
CCS45-ST2,83,0,162.24,163.04,0.8,0.78,2,0.128,162.24,162.368,0.029587,0,
CCS45-ST2,83,1,162.24,163.04,0.8,0.78,2,0.496,162.544,163.04,0.080502,0,
CCS45-ST2,84,0,163.29,163.908,0.618,1.0,1,0.618,163.29,163.908,0.145721,0,
