file_id,gap_index,island_index,gap_start,gap_end,gap_duration,vad_occupancy,n_voiced_islands,island_duration,candidate_start,candidate_end,prob_filler,pred_filler,skip_reason
ENZ20-ST2,0,0,0.0,0.65,0.65,0.9262,1,0.602,0.048,0.65,0.198401,0,
ENZ20-ST2,1,0,2.55,3.59,1.04,1.0,1,1.04,2.55,3.59,0.109996,0,
ENZ20-ST2,2,0,4.52,4.67,0.15,1.0,1,0.15,4.52,4.67,0.159779,0,
ENZ20-ST2,3,0,5.25,6.18,0.93,1.0,1,0.93,5.25,6.18,0.21738,0,
ENZ20-ST2,5,0,8.63,8.91,0.28,1.0,1,0.28,8.63,8.91,0.171041,0,
ENZ20-ST2,6,0,10.09,10.42,0.33,1.0,1,0.33,10.09,10.42,0.195668,0,
ENZ20-ST2,8,0,15.68,15.91,0.23,1.0,1,0.23,15.68,15.91,0.205331,0,
ENZ20-ST2,9,0,16.2,16.4,0.2,1.0,1,0.2,16.2,16.4,0.181184,0,
ENZ20-ST2,10,0,16.97,17.19,0.22,1.0,1,0.22,16.97,17.19,0.227345,0,
ENZ20-ST2,11,0,18.53,19.26,0.73,1.0,1,0.73,18.53,19.26,0.234159,0,
ENZ20-ST2,12,0,19.8,20.64,0.84,1.0,1,0.84,19.8,20.64,0.437372,0,
ENZ20-ST2,13,0,21.73,22.11,0.38,1.0,1,0.38,21.73,22.11,0.140272,0,
ENZ20-ST2,14,0,22.69,23.67,0.98,1.0,1,0.98,22.69,23.67,0.322647,0,
ENZ20-ST2,15,0,24.33,24.47,0.14,1.0,1,0.14,24.33,24.47,0.216989,0,
ENZ20-ST2,17,0,26.93,27.95,1.02,1.0,1,1.02,26.93,27.95,0.250988,0,
ENZ20-ST2,18,0,28.8,29.08,0.28,1.0,1,0.28,28.8,29.08,0.198728,0,
ENZ20-ST2,19,0,30.31,31.48,1.17,1.0,1,1.17,30.31,31.48,0.231655,0,
ENZ20-ST2,20,0,32.07,32.29,0.22,1.0,1,0.22,32.07,32.29,0.300844,0,
ENZ20-ST2,22,0,35.95,36.51,0.56,1.0,1,0.56,35.95,36.51,0.230523,0,
ENZ20-ST2,23,0,37.41,37.84,0.43,1.0,1,0.43,37.41,37.84,0.26541,0,
ENZ20-ST2,24,0,38.5,39.39,0.89,1.0,1,0.89,38.5,39.39,0.310942,0,
ENZ20-ST2,26,0,43.21,43.57,0.36,1.0,1,0.36,43.21,43.57,0.441775,0,
ENZ20-ST2,28,0,47.7,48.34,0.64,1.0,1,0.64,47.7,48.34,0.182326,0,
ENZ20-ST2,29,0,48.75,48.97,0.22,1.0,1,0.22,48.75,48.97,0.118831,0,
ENZ20-ST2,30,0,50.09,50.73,0.64,1.0,1,0.64,50.09,50.73,0.206628,0,
ENZ20-ST2,31,0,51.79,52.24,0.45,1.0,1,0.45,51.79,52.24,0.180399,0,
ENZ20-ST2,32,0,52.82,54.0,1.18,1.0,1,1.18,52.82,54.0,0.400105,0,
ENZ20-ST2,33,0,55.17,55.48,0.31,1.0,1,0.31,55.17,55.48,0.183993,0,
ENZ20-ST2,35,0,58.26,59.11,0.85,1.0,1,0.85,58.26,59.11,0.365475,0,
ENZ20-ST2,37,0,63.27,64.18,0.91,1.0,1,0.91,63.27,64.18,0.254845,0,
ENZ20-ST2,38,0,65.15,65.79,0.64,1.0,1,0.64,65.15,65.79,0.223608,0,
ENZ20-ST2,39,0,66.33,66.99,0.66,1.0,1,0.66,66.33,66.99,0.155439,0,
ENZ20-ST2,40,0,67.79,68.79,1.0,1.0,1,1.0,67.79,68.79,0.421968,0,
