file_id,gap_index,island_index,gap_start,gap_end,gap_duration,vad_occupancy,n_voiced_islands,island_duration,candidate_start,candidate_end,prob_filler,pred_filler,skip_reason
EUS32-ST1,1,0,5.28,6.37,1.09,1.0,1,1.09,5.28,6.37,0.096581,0,
EUS32-ST1,3,0,9.23,9.51,0.28,0.5143,1,0.144,9.23,9.374,0.841806,1,
EUS32-ST1,4,0,11.63,11.85,0.22,1.0,1,0.22,11.63,11.85,0.009721,0,
EUS32-ST1,6,0,15.87,16.92,1.05,1.0,1,1.05,15.87,16.92,0.06572,0,
EUS32-ST1,7,0,17.49,17.93,0.44,0.8727,1,0.384,17.49,17.874,0.023777,0,
EUS32-ST1,9,0,20.11,20.72,0.61,1.0,1,0.61,20.11,20.72,0.055525,0,
EUS32-ST1,11,0,25.42,26.56,1.14,1.0,1,1.14,25.42,26.56,0.132237,0,
EUS32-ST1,12,0,27.25,27.38,0.13,1.0,1,0.13,27.25,27.38,0.026054,0,
EUS32-ST1,14,0,29.56,30.48,0.92,1.0,1,0.92,29.56,30.48,0.053016,0,
EUS32-ST1,15,0,31.9,32.42,0.52,1.0,1,0.52,31.9,32.42,0.052159,0,
EUS32-ST1,16,0,34.63,35.17,0.54,0.4148,1,0.224,34.63,34.854,0.851964,1,
EUS32-ST1,17,0,36.22,36.58,0.36,1.0,1,0.36,36.22,36.58,0.098704,0,
EUS32-ST1,18,0,37.76,38.47,0.71,1.0,1,0.71,37.76,38.47,0.090663,0,
EUS32-ST1,19,0,38.94,39.13,0.19,1.0,1,0.19,38.94,39.13,0.016963,0,
EUS32-ST1,20,0,39.91,40.1,0.19,1.0,1,0.19,39.91,40.1,0.024791,0,
EUS32-ST1,21,0,40.64,40.91,0.27,1.0,1,0.27,40.64,40.91,0.023637,0,
EUS32-ST1,22,0,42.19,43.33,1.14,1.0,1,1.14,42.19,43.33,0.067295,0,
EUS32-ST1,23,0,44.55,45.12,0.57,1.0,1,0.57,44.55,45.12,0.059814,0,
EUS32-ST1,24,0,47.11,47.56,0.45,1.0,1,0.45,47.11,47.56,0.206548,0,
EUS32-ST1,26,0,50.84,51.82,0.98,1.0,1,0.98,50.84,51.82,0.083401,0,
EUS32-ST1,27,0,52.6,53.31,0.71,1.0,1,0.71,52.6,53.31,0.030668,0,
EUS32-ST1,28,0,54.07,54.81,0.74,1.0,1,0.74,54.07,54.81,0.18193,0,
EUS32-ST1,29,0,55.31,56.25,0.94,1.0,1,0.94,55.31,56.25,0.230874,0,
EUS32-ST1,30,0,57.06,57.37,0.31,1.0,1,0.31,57.06,57.37,0.05895,0,
EUS32-ST1,31,0,58.73,59.35,0.62,1.0,1,0.62,58.73,59.35,0.097957,0,
EUS32-ST1,32,0,59.75,60.32,0.57,1.0,1,0.57,59.75,60.32,0.049282,0,
EUS32-ST1,35,0,67.09,67.3,0.21,1.0,1,0.21,67.09,67.3,0.053454,0,
EUS32-ST1,37,0,70.75,71.89,1.14,1.0,1,1.14,70.75,71.89,0.069915,0,
EUS32-ST1,38,0,72.73,73.28,0.55,1.0,1,0.55,72.73,73.28,0.110155,0,
EUS32-ST1,39,0,74.16,74.82,0.66,1.0,1,0.66,74.16,74.82,0.219351,0,
EUS32-ST1,40,-1,76.34,77.52,1.18,0.078,1,,,,,0,vad_occupancy_out_of_range
EUS32-ST1,41,0,77.88,78.05,0.17,1.0,1,0.17,77.88,78.05,0.023077,0,
EUS32-ST1,42,0,79.97,80.49,0.52,0.4,1,0.208,79.97,80.178,0.863427,1,
EUS32-ST1,44,-1,83.43,84.63,1.2,0.0667,1,,,,,0,vad_occupancy_out_of_range
EUS32-ST1,46,0,88.48,88.99,0.51,1.0,1,0.51,88.48,88.99,0.04134,0,
EUS32-ST1,48,0,92.01,93.08,1.07,0.3421,2,0.176,92.01,92.186,0.055129,0,
EUS32-ST1,48,1,92.01,93.08,1.07,0.3421,2,0.19,92.89,93.08,0.25434,0,
EUS32-ST1,49,0,94.21,94.94,0.73,0.7014,1,0.512,94.21,94.722,0.499725,0,
EUS32-ST1,50,0,96.68,97.18,0.5,1.0,1,0.5,96.68,97.18,0.473172,0,
EUS32-ST1,52,0,101.93,102.12,0.19,1.0,1,0.19,101.93,102.12,0.022231,0,
EUS32-ST1,53,0,103.56,104.07,0.51,1.0,1,0.51,103.56,104.07,0.090921,0,
