file_id,gap_index,island_index,gap_start,gap_end,gap_duration,vad_occupancy,n_voiced_islands,island_duration,candidate_start,candidate_end,prob_filler,pred_filler,skip_reason
IID40-ST2,1,0,3.32,3.94,0.62,1.0,1,0.62,3.32,3.94,0.181771,0,
IID40-ST2,2,0,5.63,6.25,0.62,1.0,1,0.62,5.63,6.25,0.124874,0,
IID40-ST2,3,0,6.67,7.09,0.42,1.0,1,0.42,6.67,7.09,0.143019,0,
IID40-ST2,4,0,10.32,11.25,0.93,1.0,1,0.93,10.32,11.25,0.160166,0,
IID40-ST2,5,0,11.87,13.04,1.17,1.0,1,1.17,11.87,13.04,0.094768,0,
IID40-ST2,6,0,14.14,15.18,1.04,1.0,1,1.04,14.14,15.18,0.544636,1,
IID40-ST2,7,0,16.04,16.68,0.64,1.0,1,0.64,16.04,16.68,0.272911,0,
IID40-ST2,8,0,18.8,19.28,0.48,1.0,1,0.48,18.8,19.28,0.265438,0,
IID40-ST2,9,0,19.72,20.2,0.48,1.0,1,0.48,19.72,20.2,0.073973,0,
IID40-ST2,10,0,22.52,23.5,0.98,1.0,1,0.98,22.52,23.5,0.206942,0,
IID40-ST2,11,0,25.71,26.46,0.75,1.0,1,0.75,25.71,26.46,0.247189,0,
IID40-ST2,12,0,27.39,27.59,0.2,1.0,1,0.2,27.39,27.59,0.167183,0,
IID40-ST2,13,0,30.05,30.28,0.23,1.0,1,0.23,30.05,30.28,0.16039,0,
IID40-ST2,14,0,31.47,32.28,0.81,1.0,1,0.81,31.47,32.28,0.101568,0,
IID40-ST2,15,0,33.31,33.65,0.34,1.0,1,0.34,33.31,33.65,0.097522,0,
IID40-ST2,16,0,35.0,35.34,0.34,1.0,1,0.34,35.0,35.34,0.225105,0,
IID40-ST2,17,0,36.84,37.78,0.94,0.6638,1,0.624,36.84,37.464,0.07263,0,
IID40-ST2,18,0,42.93,44.02,1.09,1.0,1,1.09,42.93,44.02,0.189057,0,
IID40-ST2,19,0,45.39,45.97,0.58,0.9724,1,0.564,45.406,45.97,0.157918,0,
IID40-ST2,20,0,46.34,46.47,0.13,0.7538,1,0.098,46.372,46.47,0.014007,0,
IID40-ST2,21,0,46.5,47.47,0.97,0.9072,2,0.4,46.5,46.9,0.144924,0,
IID40-ST2,21,1,46.5,47.47,0.97,0.9072,2,0.48,46.98,47.46,0.100096,0,
IID40-ST2,22,0,49.75,50.34,0.59,1.0,1,0.59,49.75,50.34,0.095939,0,
IID40-ST2,23,0,51.11,51.89,0.78,1.0,1,0.78,51.11,51.89,0.118626,0,
IID40-ST2,24,0,53.18,53.8,0.62,1.0,1,0.62,53.18,53.8,0.284938,0,
IID40-ST2,25,0,55.47,55.66,0.19,1.0,1,0.19,55.47,55.66,0.153935,0,
IID40-ST2,26,0,56.62,56.91,0.29,1.0,1,0.29,56.62,56.91,0.145338,0,
IID40-ST2,27,0,57.18,57.98,0.8,1.0,1,0.8,57.18,57.98,0.296975,0,
IID40-ST2,28,0,59.1,59.84,0.74,1.0,1,0.74,59.1,59.84,0.175333,0,
IID40-ST2,29,0,60.89,62.08,1.19,1.0,1,1.19,60.89,62.08,0.193646,0,
IID40-ST2,30,0,64.76,65.07,0.31,1.0,1,0.31,64.76,65.07,0.081837,0,
