file_id,gap_index,island_index,gap_start,gap_end,gap_duration,vad_occupancy,n_voiced_islands,island_duration,candidate_start,candidate_end,prob_filler,pred_filler,skip_reason
KKD19-ST2,1,0,2.8,2.93,0.13,1.0,1,0.13,2.8,2.93,0.021834,0,
KKD19-ST2,3,0,9.7,10.29,0.59,1.0,1,0.59,9.7,10.29,0.580079,1,
KKD19-ST2,7,0,21.03,22.07,1.04,1.0,1,1.04,21.03,22.07,0.089046,0,
KKD19-ST2,12,0,38.93,39.76,0.83,1.0,1,0.83,38.93,39.76,0.060869,0,
KKD19-ST2,13,0,40.4,40.91,0.51,1.0,1,0.51,40.4,40.91,0.091287,0,
KKD19-ST2,14,0,41.83,41.99,0.16,1.0,1,0.16,41.83,41.99,0.14696,0,
KKD19-ST2,16,0,45.88,46.15,0.27,1.0,1,0.27,45.88,46.15,0.021912,0,
KKD19-ST2,17,0,47.23,48.18,0.95,1.0,1,0.95,47.23,48.18,0.04372,0,
KKD19-ST2,18,0,49.2,49.54,0.34,1.0,1,0.34,49.2,49.54,0.037713,0,
KKD19-ST2,19,0,50.25,50.77,0.52,1.0,1,0.52,50.25,50.77,0.065727,0,
KKD19-ST2,20,0,51.67,52.52,0.85,1.0,1,0.85,51.67,52.52,0.075948,0,
KKD19-ST2,21,0,53.25,54.21,0.96,0.9833,1,0.944,53.25,54.194,0.024212,0,
KKD19-ST2,22,0,54.48,54.78,0.3,1.0,1,0.3,54.48,54.78,0.048775,0,
KKD19-ST2,25,0,60.06,60.44,0.38,0.7474,2,0.128,60.092,60.22,0.075492,0,
KKD19-ST2,25,1,60.06,60.44,0.38,0.7474,2,0.156,60.284,60.44,0.04652,0,
KKD19-ST2,26,0,62.62,63.09,0.47,1.0,1,0.47,62.62,63.09,0.026755,0,
KKD19-ST2,28,0,66.99,67.91,0.92,1.0,1,0.92,66.99,67.91,0.124604,0,
KKD19-ST2,32,0,77.75,78.69,0.94,0.6936,2,0.16,77.75,77.91,0.131579,0,
KKD19-ST2,32,1,77.75,78.69,0.94,0.6936,2,0.492,78.198,78.69,0.060153,0,
KKD19-ST2,34,0,82.84,83.95,1.11,1.0,1,1.11,82.84,83.95,0.051633,0,
KKD19-ST2,35,0,84.62,85.28,0.66,1.0,1,0.66,84.62,85.28,0.085579,0,
KKD19-ST2,36,0,85.67,86.67,1.0,1.0,1,1.0,85.67,86.67,0.056786,0,
KKD19-ST2,37,0,87.42,88.49,1.07,1.0,1,1.07,87.42,88.49,0.035148,0,
KKD19-ST2,38,0,89.36,89.5,0.14,1.0,1,0.14,89.36,89.5,0.021151,0,
KKD19-ST2,41,0,97.24,97.53,0.29,1.0,1,0.29,97.24,97.53,0.120573,0,
KKD19-ST2,42,0,99.02,99.52,0.5,1.0,1,0.5,99.02,99.52,0.070738,0,
KKD19-ST2,44,0,102.39,102.98,0.59,0.5153,2,0.192,102.39,102.582,0.307896,0,
KKD19-ST2,44,1,102.39,102.98,0.59,0.5153,2,0.112,102.758,102.87,0.169356,0,
KKD19-ST2,45,0,104.24,105.11,0.87,1.0,1,0.87,104.24,105.11,0.030776,0,
KKD19-ST2,47,0,107.7,108.43,0.73,1.0,1,0.73,107.7,108.43,0.089884,0,
KKD19-ST2,48,0,109.68,110.3,0.62,1.0,1,0.62,109.68,110.3,0.046739,0,
KKD19-ST2,49,0,112.26,113.01,0.75,1.0,1,0.75,112.26,113.01,0.086361,0,
KKD19-ST2,51,0,115.7,116.07,0.37,1.0,1,0.37,115.7,116.07,0.061697,0,
KKD19-ST2,52,0,116.92,118.07,1.15,0.9165,2,0.944,116.92,117.864,0.039031,0,
KKD19-ST2,52,1,116.92,118.07,1.15,0.9165,2,0.11,117.96,118.07,0.027842,0,
KKD19-ST2,54,0,121.16,121.3,0.14,0.7714,1,0.108,121.192,121.3,0.145782,0,
KKD19-ST2,59,0,134.83,135.12,0.29,1.0,1,0.29,134.83,135.12,0.01887,0,
KKD19-ST2,61,0,141.81,142.01,0.2,1.0,1,0.2,141.81,142.01,0.028559,0,
KKD19-ST2,64,0,147.8,148.47,0.67,1.0,1,0.67,147.8,148.47,0.050354,0,
KKD19-ST2,66,0,153.85,154.11,0.26,1.0,1,0.26,153.85,154.11,0.031679,0,
KKD19-ST2,67,0,154.47,154.79,0.32,1.0,1,0.32,154.47,154.79,0.035641,0,
KKD19-ST2,68,0,155.49,156.14,0.65,1.0,1,0.65,155.49,156.14,0.051444,0,
KKD19-ST2,69,0,156.79,157.37,0.58,1.0,1,0.58,156.79,157.37,0.040076,0,
KKD19-ST2,70,0,158.19,158.83,0.64,1.0,1,0.64,158.19,158.83,0.076541,0,
KKD19-ST2,71,0,159.54,160.64,1.1,1.0,1,1.1,159.54,160.64,0.079061,0,
KKD19-ST2,76,0,173.66,173.89,0.23,1.0,1,0.23,173.66,173.89,0.029123,0,
KKD19-ST2,77,0,174.88,175.68,0.8,1.0,1,0.8,174.88,175.68,0.07775,0,
KKD19-ST2,80,0,184.33,184.9,0.57,1.0,1,0.57,184.33,184.9,0.050203,0,
KKD19-ST2,81,0,185.17,186.23,1.06,1.0,1,1.06,185.17,186.23,0.038325,0,
KKD19-ST2,82,0,187.69,188.19,0.5,1.0,1,0.5,187.69,188.19,0.019682,0,
KKD19-ST2,84,0,192.18,193.32,1.14,0.9965,1,1.136,192.18,193.316,0.353384,0,
KKD19-ST2,85,0,193.59,193.83,0.24,1.0,1,0.24,193.59,193.83,0.026875,0,
