file_id,n_pred_intervals,n_inserted_intervals,n_touched_pauses
CCH16-ST1,1,1,1
CCH16-ST2,0,0,0
CCM35-ST1,2,2,2
CCM35-ST2,2,2,2
CCS09-ST1,0,0,0
CCS09-ST2,0,0,0
CCS45-ST1,1,1,1
CCS45-ST2,1,1,1
CCT15-ST1,2,2,2
CCT15-ST2,0,0,0
EAU18-ST1,0,0,0
EAU18-ST2,0,0,0
ENZ20-ST1,2,2,2
ENZ20-ST2,0,0,0
ENZ31-ST1,0,0,0
ENZ31-ST2,0,0,0
EUS11-ST1,0,0,0
EUS11-ST2,1,1,1
EUS32-ST1,3,3,3
EUS32-ST2,1,1,1
IID15-ST1,1,1,1
IID15-ST2,0,0,0
IID22-ST1,3,3,3
IID22-ST2,0,0,0
IID35-ST1,5,5,5
IID35-ST2,1,1,1
IID40-ST1,1,1,1
IID40-ST2,1,1,1
IID41-ST1,0,0,0
IID41-ST2,0,0,0
KKD19-ST1,2,2,2
KKD19-ST2,1,1,1
KKD27-ST1,2,2,2
KKD27-ST2,0,0,0
KKD46-ST1,1,1,1
KKD46-ST2,2,2,2
KKR24-ST1,1,1,1
KKR24-ST2,2,2,2
KKR40-ST1,2,2,2
KKR40-ST2,2,2,2
