file_id,gap_index,island_index,gap_start,gap_end,gap_duration,vad_occupancy,n_voiced_islands,island_duration,candidate_start,candidate_end,prob_filler,pred_filler,skip_reason
CCH16-ST2,0,-1,0.0,1.1,1.1,0.0982,1,,,,,0,vad_occupancy_out_of_range
CCH16-ST2,1,0,2.45,2.81,0.36,1.0,1,0.36,2.45,2.81,0.211983,0,
CCH16-ST2,3,0,6.87,7.57,0.7,1.0,1,0.7,6.87,7.57,0.151271,0,
CCH16-ST2,5,0,16.41,16.89,0.48,1.0,1,0.48,16.41,16.89,0.194527,0,
CCH16-ST2,6,0,17.29,18.28,0.99,1.0,1,0.99,17.29,18.28,0.171651,0,
CCH16-ST2,7,0,20.19,21.09,0.9,0.9244,1,0.832,20.19,21.022,0.089556,0,
CCH16-ST2,8,0,22.76,22.9,0.14,1.0,1,0.14,22.76,22.9,0.113726,0,
CCH16-ST2,10,0,26.17,26.34,0.17,1.0,1,0.17,26.17,26.34,0.080635,0,
CCH16-ST2,11,0,26.7,27.37,0.67,1.0,1,0.67,26.7,27.37,0.136193,0,
CCH16-ST2,12,0,28.84,29.1,0.26,1.0,1,0.26,28.84,29.1,0.114143,0,
CCH16-ST2,13,0,30.38,30.74,0.36,1.0,1,0.36,30.38,30.74,0.159633,0,
CCH16-ST2,14,-1,31.13,32.12,0.99,0.1111,1,,,,,0,vad_occupancy_out_of_range
CCH16-ST2,15,0,33.89,34.03,0.14,1.0,1,0.14,33.89,34.03,0.070546,0,
CCH16-ST2,16,0,34.68,34.86,0.18,1.0,1,0.18,34.68,34.86,0.050397,0,
CCH16-ST2,17,0,35.57,35.82,0.25,1.0,1,0.25,35.57,35.82,0.053588,0,
CCH16-ST2,18,0,37.23,37.83,0.6,1.0,1,0.6,37.23,37.83,0.194616,0,
CCH16-ST2,19,0,38.32,38.85,0.53,1.0,1,0.53,38.32,38.85,0.170971,0,
CCH16-ST2,20,0,39.11,39.93,0.82,1.0,1,0.82,39.11,39.93,0.134422,0,
CCH16-ST2,22,0,45.12,45.79,0.67,1.0,1,0.67,45.12,45.79,0.152122,0,
CCH16-ST2,25,0,52.2,52.59,0.39,1.0,1,0.39,52.2,52.59,0.23133,0,
CCH16-ST2,26,0,52.77,53.27,0.5,1.0,1,0.5,52.77,53.27,0.170344,0,
CCH16-ST2,27,0,55.88,56.21,0.33,1.0,1,0.33,55.88,56.21,0.179496,0,
CCH16-ST2,28,0,56.34,57.2,0.86,1.0,1,0.86,56.34,57.2,0.158976,0,
CCH16-ST2,29,0,60.83,61.22,0.39,1.0,1,0.39,60.83,61.22,0.187953,0,
CCH16-ST2,30,0,61.49,61.63,0.14,1.0,1,0.14,61.49,61.63,0.086737,0,
CCH16-ST2,31,0,61.97,62.4,0.43,1.0,1,0.43,61.97,62.4,0.077364,0,
CCH16-ST2,33,0,67.17,67.98,0.81,1.0,1,0.81,67.17,67.98,0.135391,0,
CCH16-ST2,37,0,81.82,82.12,0.3,1.0,1,0.3,81.82,82.12,0.17976,0,
CCH16-ST2,38,0,83.93,84.32,0.39,1.0,1,0.39,83.93,84.32,0.106811,0,
CCH16-ST2,39,0,85.01,85.65,0.64,0.8,2,0.368,85.01,85.378,0.213728,0,
CCH16-ST2,39,1,85.01,85.65,0.64,0.8,2,0.144,85.506,85.65,0.137061,0,
CCH16-ST2,40,0,86.93,87.96,1.03,0.7612,2,0.384,86.93,87.314,0.21806,0,
CCH16-ST2,40,1,86.93,87.96,1.03,0.7612,2,0.4,87.49,87.89,0.139159,0,
CCH16-ST2,41,0,88.7,89.74,1.04,1.0,1,1.04,88.7,89.74,0.122689,0,
CCH16-ST2,42,0,91.05,91.58,0.53,1.0,1,0.53,91.05,91.58,0.133493,0,
