file_id,gap_index,island_index,gap_start,gap_end,gap_duration,vad_occupancy,n_voiced_islands,island_duration,candidate_start,candidate_end,prob_filler,pred_filler,skip_reason
IID35-ST1,2,0,6.01,6.59,0.58,1.0,1,0.58,6.01,6.59,0.401526,0,
IID35-ST1,3,0,7.1,7.37,0.27,1.0,1,0.27,7.1,7.37,0.240619,0,
IID35-ST1,4,0,8.76,9.03,0.27,1.0,1,0.27,8.76,9.03,0.268487,0,
IID35-ST1,5,0,10.43,10.61,0.18,1.0,1,0.18,10.43,10.61,0.169364,0,
IID35-ST1,8,0,16.98,17.56,0.58,1.0,1,0.58,16.98,17.56,0.213464,0,
IID35-ST1,9,0,18.76,19.14,0.38,1.0,1,0.38,18.76,19.14,0.346404,0,
IID35-ST1,10,0,19.47,19.61,0.14,1.0,1,0.14,19.47,19.61,0.14707,0,
IID35-ST1,11,0,19.83,20.24,0.41,1.0,1,0.41,19.83,20.24,0.258323,0,
IID35-ST1,12,0,21.11,21.43,0.32,1.0,1,0.32,21.11,21.43,0.361753,0,
IID35-ST1,13,0,22.18,23.01,0.83,1.0,1,0.83,22.18,23.01,0.354938,0,
IID35-ST1,14,0,23.77,24.14,0.37,1.0,1,0.37,23.77,24.14,0.511285,1,
IID35-ST1,15,0,24.35,25.15,0.8,1.0,1,0.8,24.35,25.15,0.191063,0,
IID35-ST1,17,0,29.35,29.49,0.14,1.0,1,0.14,29.35,29.49,0.011903,0,
IID35-ST1,19,0,33.43,33.78,0.35,1.0,1,0.35,33.43,33.78,0.32478,0,
IID35-ST1,20,0,34.23,34.52,0.29,1.0,1,0.29,34.23,34.52,0.48708,0,
IID35-ST1,21,0,35.87,36.15,0.28,1.0,1,0.28,35.87,36.15,0.085164,0,
IID35-ST1,22,0,37.33,37.85,0.52,1.0,1,0.52,37.33,37.85,0.190227,0,
IID35-ST1,23,0,38.77,39.48,0.71,1.0,1,0.71,38.77,39.48,0.452642,0,
IID35-ST1,25,0,43.53,44.59,1.06,1.0,1,1.06,43.53,44.59,0.127246,0,
IID35-ST1,27,0,49.11,49.46,0.35,1.0,1,0.35,49.11,49.46,0.432216,0,
