file_id,gap_index,island_index,gap_start,gap_end,gap_duration,vad_occupancy,n_voiced_islands,island_duration,candidate_start,candidate_end,prob_filler,pred_filler,skip_reason
KKD46-ST2,0,-1,0.0,0.46,0.46,0.0,0,,,,,0,vad_occupancy_out_of_range
KKD46-ST2,1,0,1.8,1.95,0.15,1.0,1,0.15,1.8,1.95,0.069024,0,
KKD46-ST2,2,0,2.77,3.4,0.63,1.0,1,0.63,2.77,3.4,0.060605,0,
KKD46-ST2,3,0,3.65,4.08,0.43,1.0,1,0.43,3.65,4.08,0.039536,0,
KKD46-ST2,4,0,4.46,4.83,0.37,1.0,1,0.37,4.46,4.83,0.066182,0,
KKD46-ST2,5,0,5.29,5.67,0.38,1.0,1,0.38,5.29,5.67,0.079659,0,
KKD46-ST2,7,0,10.7,11.68,0.98,1.0,1,0.98,10.7,11.68,0.066373,0,
KKD46-ST2,8,0,13.25,13.52,0.27,1.0,1,0.27,13.25,13.52,0.074786,0,
KKD46-ST2,9,0,13.84,14.94,1.1,1.0,1,1.1,13.84,14.94,0.032028,0,
KKD46-ST2,10,0,15.49,15.7,0.21,1.0,1,0.21,15.49,15.7,0.074061,0,
KKD46-ST2,12,0,19.49,20.07,0.58,1.0,1,0.58,19.49,20.07,0.094047,0,
KKD46-ST2,14,0,23.1,23.31,0.21,1.0,1,0.21,23.1,23.31,0.044534,0,
KKD46-ST2,15,0,25.09,26.05,0.96,1.0,1,0.96,25.09,26.05,0.015647,0,
KKD46-ST2,16,0,26.87,27.44,0.57,1.0,1,0.57,26.87,27.44,0.039924,0,
KKD46-ST2,17,0,27.81,28.89,1.08,0.8963,2,0.464,27.81,28.274,0.08023,0,
KKD46-ST2,17,1,27.81,28.89,1.08,0.8963,2,0.504,28.386,28.89,0.082709,0,
KKD46-ST2,18,0,29.61,29.87,0.26,1.0,1,0.26,29.61,29.87,0.032676,0,
KKD46-ST2,19,0,31.05,31.65,0.6,1.0,1,0.6,31.05,31.65,0.077109,0,
KKD46-ST2,20,0,32.96,33.74,0.78,1.0,1,0.78,32.96,33.74,0.091667,0,
KKD46-ST2,21,0,34.29,34.47,0.18,1.0,1,0.18,34.29,34.47,0.043832,0,
KKD46-ST2,24,0,44.06,44.78,0.72,0.3556,1,0.256,44.06,44.316,0.784959,1,
KKD46-ST2,26,0,49.31,50.25,0.94,1.0,1,0.94,49.31,50.25,0.06405,0,
KKD46-ST2,27,0,51.02,51.83,0.81,1.0,1,0.81,51.02,51.83,0.281219,0,
KKD46-ST2,29,0,55.2,55.57,0.37,1.0,1,0.37,55.2,55.57,0.350579,0,
KKD46-ST2,32,0,61.13,61.81,0.68,1.0,1,0.68,61.13,61.81,0.013362,0,
KKD46-ST2,33,0,62.4,62.64,0.24,1.0,1,0.24,62.4,62.64,0.078406,0,
KKD46-ST2,35,0,66.03,66.34,0.31,1.0,1,0.31,66.03,66.34,0.085365,0,
KKD46-ST2,36,0,67.61,68.67,1.06,1.0,1,1.06,67.61,68.67,0.028718,0,
KKD46-ST2,38,0,73.19,73.63,0.44,1.0,1,0.44,73.19,73.63,0.122886,0,
KKD46-ST2,39,0,74.19,74.51,0.32,1.0,1,0.32,74.19,74.51,0.1047,0,
KKD46-ST2,41,0,77.75,78.15,0.4,1.0,1,0.4,77.75,78.15,0.064967,0,
KKD46-ST2,42,0,80.08,80.2,0.12,1.0,1,0.12,80.08,80.2,0.080584,0,
KKD46-ST2,43,0,80.74,81.89,1.15,1.0,1,1.15,80.74,81.89,0.047248,0,
