file_id,gap_index,island_index,gap_start,gap_end,gap_duration,vad_occupancy,n_voiced_islands,island_duration,candidate_start,candidate_end,prob_filler,pred_filler,skip_reason
CCT15-ST1,1,0,3.05,3.35,0.3,1.0,1,0.3,3.05,3.35,2.1e-05,0,
CCT15-ST1,2,0,5.49,6.28,0.79,1.0,1,0.79,5.49,6.28,0.0365,0,
CCT15-ST1,3,0,7.02,7.79,0.77,1.0,1,0.77,7.02,7.79,0.000136,0,
CCT15-ST1,4,0,9.27,9.7,0.43,1.0,1,0.43,9.27,9.7,0.007332,0,
CCT15-ST1,5,0,10.12,10.32,0.2,1.0,1,0.2,10.12,10.32,1e-06,0,
CCT15-ST1,7,0,15.04,15.27,0.23,1.0,1,0.23,15.04,15.27,2e-06,0,
CCT15-ST1,8,0,17.29,17.67,0.38,1.0,1,0.38,17.29,17.67,2.1e-05,0,
CCT15-ST1,9,0,18.48,18.66,0.18,1.0,1,0.18,18.48,18.66,4e-06,0,
CCT15-ST1,10,0,19.14,19.34,0.2,1.0,1,0.2,19.14,19.34,3e-06,0,
CCT15-ST1,11,0,20.35,21.17,0.82,1.0,1,0.82,20.35,21.17,0.019682,0,
CCT15-ST1,12,0,22.95,23.1,0.15,1.0,1,0.15,22.95,23.1,4e-06,0,
CCT15-ST1,13,0,25.95,26.29,0.34,1.0,1,0.34,25.95,26.29,3.5e-05,0,
CCT15-ST1,14,0,28.66,29.8,1.14,1.0,1,1.14,28.66,29.8,9.3e-05,0,
CCT15-ST1,15,0,30.48,31.66,1.18,1.0,1,1.18,30.48,31.66,1.6e-05,0,
CCT15-ST1,16,0,31.82,32.11,0.29,1.0,1,0.29,31.82,32.11,1e-05,0,
CCT15-ST1,17,0,34.3,34.71,0.41,1.0,1,0.41,34.3,34.71,0.027643,0,
CCT15-ST1,18,0,35.14,35.79,0.65,1.0,1,0.65,35.14,35.79,0.034632,0,
CCT15-ST1,19,0,36.13,36.33,0.2,1.0,1,0.2,36.13,36.33,2e-06,0,
CCT15-ST1,20,0,37.49,38.03,0.54,1.0,1,0.54,37.49,38.03,0.000885,0,
CCT15-ST1,21,0,40.78,41.33,0.55,1.0,1,0.55,40.78,41.33,0.000186,0,
CCT15-ST1,22,0,42.43,42.62,0.19,1.0,1,0.19,42.43,42.62,5e-06,0,
CCT15-ST1,23,0,45.21,46.35,1.14,1.0,1,1.14,45.21,46.35,4.1e-05,0,
CCT15-ST1,24,0,49.95,50.38,0.43,1.0,1,0.43,49.95,50.38,0.000425,0,
CCT15-ST1,25,0,58.73,59.09,0.36,1.0,1,0.36,58.73,59.09,4e-06,0,
CCT15-ST1,26,0,60.2,60.48,0.28,1.0,1,0.28,60.2,60.48,3e-06,0,
CCT15-ST1,27,0,60.95,61.1,0.15,1.0,1,0.15,60.95,61.1,2e-06,0,
CCT15-ST1,28,0,64.92,65.16,0.24,1.0,1,0.24,64.92,65.16,2e-06,0,
CCT15-ST1,29,0,65.65,66.22,0.57,1.0,1,0.57,65.65,66.22,0.015849,0,
CCT15-ST1,30,0,67.17,67.64,0.47,1.0,1,0.47,67.17,67.64,0.178,0,
CCT15-ST1,31,0,68.47,68.88,0.41,1.0,1,0.41,68.47,68.88,0.023659,0,
CCT15-ST1,33,0,72.05,72.2,0.15,1.0,1,0.15,72.05,72.2,3e-06,0,
CCT15-ST1,35,0,76.79,77.7,0.91,1.0,1,0.91,76.79,77.7,0.000366,0,
