file_id,review_textgrid,out_csv,n_review_intervals,error
CCH16-ST1,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\CCH16-ST1.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\CCH16-ST1_vad_classifier.csv,0,
CCH16-ST2,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\CCH16-ST2.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\CCH16-ST2_vad_classifier.csv,0,
CCM35-ST1,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\CCM35-ST1.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\CCM35-ST1_vad_classifier.csv,2,
CCM35-ST2,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\CCM35-ST2.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\CCM35-ST2_vad_classifier.csv,7,
CCS09-ST1,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\CCS09-ST1.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\CCS09-ST1_vad_classifier.csv,0,
CCS09-ST2,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\CCS09-ST2.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\CCS09-ST2_vad_classifier.csv,1,
CCS45-ST1,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\CCS45-ST1.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\CCS45-ST1_vad_classifier.csv,3,
CCS45-ST2,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\CCS45-ST2.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\CCS45-ST2_vad_classifier.csv,0,
CCT15-ST1,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\CCT15-ST1.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\CCT15-ST1_vad_classifier.csv,1,
CCT15-ST2,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\CCT15-ST2.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\CCT15-ST2_vad_classifier.csv,1,
EAU18-ST1,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\EAU18-ST1.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\EAU18-ST1_vad_classifier.csv,0,
EAU18-ST2,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\EAU18-ST2.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\EAU18-ST2_vad_classifier.csv,0,
ENZ20-ST1,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\ENZ20-ST1.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\ENZ20-ST1_vad_classifier.csv,0,
ENZ20-ST2,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\ENZ20-ST2.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\ENZ20-ST2_vad_classifier.csv,0,
ENZ31-ST1,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\ENZ31-ST1.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\ENZ31-ST1_vad_classifier.csv,0,
ENZ31-ST2,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\ENZ31-ST2.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\ENZ31-ST2_vad_classifier.csv,0,
EUS11-ST1,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\EUS11-ST1.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\EUS11-ST1_vad_classifier.csv,0,
EUS11-ST2,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\EUS11-ST2.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\EUS11-ST2_vad_classifier.csv,0,
