file_id,source_textgrid,candidate_csv,review_textgrid,n_candidates,n_predicted,audio_copied,error
CCH16-ST1,ja\rq3_v16_clean_release_20260223\inputs\asr_word_textgrids\CCH16-ST1.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates\per_file\CCH16-ST1_vad_classifier.csv,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\CCH16-ST1.TextGrid,44,0,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\audio\CCH16-ST1.wav,
CCH16-ST2,ja\rq3_v16_clean_release_20260223\inputs\asr_word_textgrids\CCH16-ST2.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates\per_file\CCH16-ST2_vad_classifier.csv,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\CCH16-ST2.TextGrid,33,0,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\audio\CCH16-ST2.wav,
CCM35-ST1,ja\rq3_v16_clean_release_20260223\inputs\asr_word_textgrids\CCM35-ST1.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates\per_file\CCM35-ST1_vad_classifier.csv,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\CCM35-ST1.TextGrid,41,2,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\audio\CCM35-ST1.wav,
CCM35-ST2,ja\rq3_v16_clean_release_20260223\inputs\asr_word_textgrids\CCM35-ST2.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates\per_file\CCM35-ST2_vad_classifier.csv,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\CCM35-ST2.TextGrid,63,7,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\audio\CCM35-ST2.wav,
CCS09-ST1,ja\rq3_v16_clean_release_20260223\inputs\asr_word_textgrids\CCS09-ST1.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates\per_file\CCS09-ST1_vad_classifier.csv,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\CCS09-ST1.TextGrid,43,0,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\audio\CCS09-ST1.wav,
CCS09-ST2,ja\rq3_v16_clean_release_20260223\inputs\asr_word_textgrids\CCS09-ST2.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates\per_file\CCS09-ST2_vad_classifier.csv,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\CCS09-ST2.TextGrid,47,1,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\audio\CCS09-ST2.wav,
CCS45-ST1,ja\rq3_v16_clean_release_20260223\inputs\asr_word_textgrids\CCS45-ST1.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates\per_file\CCS45-ST1_vad_classifier.csv,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\CCS45-ST1.TextGrid,47,3,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\audio\CCS45-ST1.wav,
CCS45-ST2,ja\rq3_v16_clean_release_20260223\inputs\asr_word_textgrids\CCS45-ST2.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates\per_file\CCS45-ST2_vad_classifier.csv,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\CCS45-ST2.TextGrid,54,0,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\audio\CCS45-ST2.wav,
CCT15-ST1,ja\rq3_v16_clean_release_20260223\inputs\asr_word_textgrids\CCT15-ST1.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates\per_file\CCT15-ST1_vad_classifier.csv,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\CCT15-ST1.TextGrid,76,1,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\audio\CCT15-ST1.wav,
CCT15-ST2,ja\rq3_v16_clean_release_20260223\inputs\asr_word_textgrids\CCT15-ST2.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates\per_file\CCT15-ST2_vad_classifier.csv,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\CCT15-ST2.TextGrid,95,1,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\audio\CCT15-ST2.wav,
