file_id,gap_index,island_index,gap_start,gap_end,gap_duration,vad_occupancy,n_voiced_islands,island_duration,candidate_start,candidate_end,prob_filler,pred_filler,skip_reason
CCS09-ST2,0,0,0.0,0.42,0.42,1.0,1,0.42,0.0,0.42,2.5e-05,0,
CCS09-ST2,1,0,2.11,2.61,0.5,1.0,1,0.5,2.11,2.61,0.011081,0,
CCS09-ST2,2,0,4.29,4.67,0.38,1.0,1,0.38,4.29,4.67,6.4e-05,0,
CCS09-ST2,3,0,7.21,7.82,0.61,1.0,1,0.61,7.21,7.82,0.01003,0,
CCS09-ST2,4,0,8.69,8.86,0.17,1.0,1,0.17,8.69,8.86,2e-06,0,
CCS09-ST2,5,0,9.0,9.56,0.56,1.0,1,0.56,9.0,9.56,0.084947,0,
CCS09-ST2,6,0,9.98,10.87,0.89,1.0,1,0.89,9.98,10.87,0.044604,0,
CCS09-ST2,8,0,15.06,15.34,0.28,1.0,1,0.28,15.06,15.34,1.1e-05,0,
CCS09-ST2,9,0,18.21,18.52,0.31,1.0,1,0.31,18.21,18.52,5.5e-05,0,
CCS09-ST2,10,0,20.5,20.66,0.16,1.0,1,0.16,20.5,20.66,4e-06,0,
CCS09-ST2,12,0,23.63,23.85,0.22,1.0,1,0.22,23.63,23.85,1.2e-05,0,
CCS09-ST2,13,0,24.18,24.45,0.27,1.0,1,0.27,24.18,24.45,1.1e-05,0,
CCS09-ST2,14,0,24.97,25.28,0.31,1.0,1,0.31,24.97,25.28,2.9e-05,0,
CCS09-ST2,15,0,29.48,30.09,0.61,1.0,1,0.61,29.48,30.09,0.001474,0,
CCS09-ST2,16,0,30.88,31.68,0.8,1.0,1,0.8,30.88,31.68,0.000907,0,
CCS09-ST2,18,0,39.71,39.96,0.25,1.0,1,0.25,39.71,39.96,6.1e-05,0,
CCS09-ST2,20,0,44.61,44.78,0.17,1.0,1,0.17,44.61,44.78,3e-06,0,
CCS09-ST2,21,0,46.64,47.09,0.45,1.0,1,0.45,46.64,47.09,0.001636,0,
CCS09-ST2,22,0,47.71,48.43,0.72,1.0,1,0.72,47.71,48.43,0.215384,0,
CCS09-ST2,23,0,51.54,51.7,0.16,1.0,1,0.16,51.54,51.7,3e-06,0,
CCS09-ST2,24,0,52.67,53.27,0.6,1.0,1,0.6,52.67,53.27,0.004871,0,
CCS09-ST2,25,0,54.7,55.14,0.44,1.0,1,0.44,54.7,55.14,0.001043,0,
CCS09-ST2,26,0,58.01,58.42,0.41,1.0,1,0.41,58.01,58.42,0.000444,0,
CCS09-ST2,27,0,60.15,60.37,0.22,1.0,1,0.22,60.15,60.37,8.6e-05,0,
CCS09-ST2,28,0,61.86,62.21,0.35,1.0,1,0.35,61.86,62.21,7e-06,0,
CCS09-ST2,29,0,62.69,63.72,1.03,1.0,1,1.03,62.69,63.72,0.174742,0,
CCS09-ST2,30,0,64.35,65.33,0.98,1.0,1,0.98,64.35,65.33,0.614973,1,
CCS09-ST2,31,0,67.05,67.36,0.31,1.0,1,0.31,67.05,67.36,2e-06,0,
CCS09-ST2,32,0,69.19,69.69,0.5,1.0,1,0.5,69.19,69.69,0.0024,0,
CCS09-ST2,34,0,73.22,73.45,0.23,1.0,1,0.23,73.22,73.45,4e-06,0,
CCS09-ST2,35,0,73.99,74.13,0.14,1.0,1,0.14,73.99,74.13,4e-06,0,
CCS09-ST2,36,0,74.59,74.74,0.15,1.0,1,0.15,74.59,74.74,1e-05,0,
CCS09-ST2,37,0,74.96,75.5,0.54,1.0,1,0.54,74.96,75.5,0.019569,0,
CCS09-ST2,38,0,75.97,76.4,0.43,1.0,1,0.43,75.97,76.4,0.000741,0,
CCS09-ST2,39,0,77.13,77.26,0.13,1.0,1,0.13,77.13,77.26,5e-06,0,
CCS09-ST2,40,0,81.13,81.84,0.71,1.0,1,0.71,81.13,81.84,0.003015,0,
CCS09-ST2,41,0,81.98,82.19,0.21,1.0,1,0.21,81.98,82.19,5e-06,0,
CCS09-ST2,42,0,83.69,84.6,0.91,1.0,1,0.91,83.69,84.6,0.105757,0,
CCS09-ST2,43,0,86.49,86.95,0.46,1.0,1,0.46,86.49,86.95,0.000137,0,
CCS09-ST2,44,0,88.16,89.04,0.88,1.0,1,0.88,88.16,89.04,0.003563,0,
CCS09-ST2,45,0,89.45,89.96,0.51,1.0,1,0.51,89.45,89.96,0.002865,0,
CCS09-ST2,46,0,91.19,91.87,0.68,1.0,1,0.68,91.19,91.87,0.081723,0,
CCS09-ST2,47,0,93.08,93.51,0.43,1.0,1,0.43,93.08,93.51,0.000291,0,
CCS09-ST2,48,0,96.77,97.06,0.29,1.0,1,0.29,96.77,97.06,2e-06,0,
CCS09-ST2,49,0,98.22,98.35,0.13,1.0,1,0.13,98.22,98.35,2e-06,0,
CCS09-ST2,50,0,100.13,100.3,0.17,1.0,1,0.17,100.13,100.3,9e-06,0,
CCS09-ST2,51,0,102.58,103.212,0.632,1.0,1,0.632,102.58,103.212,0.001425,0,
