file_id,gap_index,island_index,gap_start,gap_end,gap_duration,vad_occupancy,n_voiced_islands,island_duration,candidate_start,candidate_end,prob_filler,pred_filler,skip_reason
ENZ31-ST1,3,0,12.82,13.74,0.92,1.0,1,0.92,12.82,13.74,0.421947,0,
ENZ31-ST1,5,0,21.48,22.0,0.52,1.0,1,0.52,21.48,22.0,0.001008,0,
ENZ31-ST1,6,0,24.56,25.27,0.71,1.0,1,0.71,24.56,25.27,0.000591,0,
ENZ31-ST1,7,0,26.24,27.22,0.98,1.0,1,0.98,26.24,27.22,0.001195,0,
ENZ31-ST1,9,0,31.68,32.26,0.58,1.0,1,0.58,31.68,32.26,0.004592,0,
ENZ31-ST1,11,0,34.83,34.96,0.13,1.0,1,0.13,34.83,34.96,3e-06,0,
ENZ31-ST1,13,0,40.67,41.34,0.67,1.0,1,0.67,40.67,41.34,0.005676,0,
ENZ31-ST1,14,0,42.35,42.85,0.5,1.0,1,0.5,42.35,42.85,0.000846,0,
ENZ31-ST1,15,0,43.45,44.0,0.55,1.0,1,0.55,43.45,44.0,0.018351,0,
ENZ31-ST1,16,0,44.59,44.76,0.17,1.0,1,0.17,44.59,44.76,3e-06,0,
ENZ31-ST1,19,0,51.22,51.75,0.53,1.0,1,0.53,51.22,51.75,0.001433,0,
ENZ31-ST1,20,0,53.47,54.21,0.74,1.0,1,0.74,53.47,54.21,0.008501,0,
ENZ31-ST1,22,0,59.04,59.51,0.47,1.0,1,0.47,59.04,59.51,0.002196,0,
ENZ31-ST1,23,0,60.12,60.56,0.44,1.0,1,0.44,60.12,60.56,0.000639,0,
ENZ31-ST1,24,0,61.63,62.36,0.73,1.0,1,0.73,61.63,62.36,0.001976,0,
ENZ31-ST1,25,0,63.26,63.53,0.27,1.0,1,0.27,63.26,63.53,1.5e-05,0,
ENZ31-ST1,27,0,70.42,71.12,0.7,1.0,1,0.7,70.42,71.12,0.014176,0,
