file_id,gap_index,island_index,gap_start,gap_end,gap_duration,vad_occupancy,n_voiced_islands,island_duration,candidate_start,candidate_end,prob_filler,pred_filler,skip_reason
EUS32-ST2,1,0,3.14,4.2,1.06,1.0,1,1.06,3.14,4.2,0.534042,1,
EUS32-ST2,2,0,4.52,5.67,1.15,1.0,1,1.15,4.52,5.67,0.029377,0,
EUS32-ST2,4,0,9.05,9.39,0.34,1.0,1,0.34,9.05,9.39,0.000162,0,
EUS32-ST2,5,0,10.58,10.86,0.28,1.0,1,0.28,10.58,10.86,0.000108,0,
EUS32-ST2,7,0,14.49,15.28,0.79,1.0,1,0.79,14.49,15.28,0.376999,0,
EUS32-ST2,8,0,15.84,16.58,0.74,1.0,1,0.74,15.84,16.58,0.336536,0,
EUS32-ST2,9,0,17.33,18.35,1.02,1.0,1,1.02,17.33,18.35,0.096457,0,
EUS32-ST2,10,0,18.83,19.08,0.25,1.0,1,0.25,18.83,19.08,0.000112,0,
EUS32-ST2,11,0,19.94,20.61,0.67,1.0,1,0.67,19.94,20.61,0.291389,0,
EUS32-ST2,12,0,21.1,21.29,0.19,1.0,1,0.19,21.1,21.29,1.5e-05,0,
EUS32-ST2,13,0,23.02,23.47,0.45,1.0,1,0.45,23.02,23.47,0.001012,0,
EUS32-ST2,14,0,23.85,24.11,0.26,1.0,1,0.26,23.85,24.11,8.6e-05,0,
EUS32-ST2,15,0,24.52,24.67,0.15,1.0,1,0.15,24.52,24.67,2e-05,0,
EUS32-ST2,17,0,27.57,28.07,0.5,1.0,1,0.5,27.57,28.07,0.048393,0,
EUS32-ST2,18,0,28.65,29.35,0.7,1.0,1,0.7,28.65,29.35,0.018916,0,
EUS32-ST2,19,0,30.46,31.33,0.87,1.0,1,0.87,30.46,31.33,0.151218,0,
EUS32-ST2,20,0,32.09,32.36,0.27,1.0,1,0.27,32.09,32.36,2.9e-05,0,
EUS32-ST2,21,0,32.87,33.64,0.77,1.0,1,0.77,32.87,33.64,0.022276,0,
EUS32-ST2,22,0,34.34,35.13,0.79,1.0,1,0.79,34.34,35.13,0.397343,0,
EUS32-ST2,23,0,36.01,36.95,0.94,1.0,1,0.94,36.01,36.95,0.219982,0,
EUS32-ST2,25,0,39.76,40.37,0.61,1.0,1,0.61,39.76,40.37,0.24195,0,
EUS32-ST2,26,0,41.95,42.28,0.33,1.0,1,0.33,41.95,42.28,2.2e-05,0,
EUS32-ST2,27,0,43.89,44.68,0.79,1.0,1,0.79,43.89,44.68,0.429525,0,
EUS32-ST2,28,0,45.77,46.91,1.14,1.0,1,1.14,45.77,46.91,0.2532,0,
EUS32-ST2,29,0,47.45,48.19,0.74,1.0,1,0.74,47.45,48.19,0.732015,1,
EUS32-ST2,34,0,62.75,63.67,0.92,1.0,1,0.92,62.75,63.67,0.099728,0,
EUS32-ST2,35,0,64.45,64.58,0.13,1.0,1,0.13,64.45,64.58,9e-06,0,
EUS32-ST2,39,0,73.51,74.47,0.96,1.0,1,0.96,73.51,74.47,0.377701,0,
EUS32-ST2,40,0,75.55,75.92,0.37,1.0,1,0.37,75.55,75.92,4.8e-05,0,
EUS32-ST2,41,0,76.54,76.75,0.21,1.0,1,0.21,76.54,76.75,3.3e-05,0,
EUS32-ST2,42,0,77.76,78.25,0.49,1.0,1,0.49,77.76,78.25,0.001823,0,
EUS32-ST2,43,0,79.71,79.88,0.17,1.0,1,0.17,79.71,79.88,7e-06,0,
EUS32-ST2,44,0,80.18,80.87,0.69,1.0,1,0.69,80.18,80.87,0.092936,0,
EUS32-ST2,46,0,84.74,85.28,0.54,1.0,1,0.54,84.74,85.28,0.386113,0,
EUS32-ST2,47,0,85.9,86.77,0.87,1.0,1,0.87,85.9,86.77,0.009019,0,
EUS32-ST2,51,0,95.4,96.12,0.72,1.0,1,0.72,95.4,96.12,0.006706,0,
EUS32-ST2,52,0,97.0,97.85,0.85,1.0,1,0.85,97.0,97.85,0.068165,0,
EUS32-ST2,53,0,98.81,99.3,0.49,1.0,1,0.49,98.81,99.3,0.020347,0,
EUS32-ST2,58,0,111.62,112.13,0.51,1.0,1,0.51,111.62,112.13,0.014559,0,
EUS32-ST2,63,0,124.68,124.84,0.16,1.0,1,0.16,124.68,124.84,1.2e-05,0,
EUS32-ST2,64,0,125.79,126.31,0.52,1.0,1,0.52,125.79,126.31,0.010434,0,
EUS32-ST2,65,0,127.96,129.09,1.13,1.0,1,1.13,127.96,129.09,0.002111,0,
EUS32-ST2,67,0,131.7,131.84,0.14,1.0,1,0.14,131.7,131.84,5e-06,0,
EUS32-ST2,71,0,141.04,141.94,0.9,1.0,1,0.9,141.04,141.94,0.341366,0,
