file_id,gap_index,island_index,gap_start,gap_end,gap_duration,vad_occupancy,n_voiced_islands,island_duration,candidate_start,candidate_end,prob_filler,pred_filler,skip_reason
KKD19-ST2,1,0,2.8,2.93,0.13,1.0,1,0.13,2.8,2.93,2e-06,0,
KKD19-ST2,3,0,9.7,10.29,0.59,1.0,1,0.59,9.7,10.29,0.020271,0,
KKD19-ST2,7,0,21.03,22.07,1.04,1.0,1,1.04,21.03,22.07,0.010963,0,
KKD19-ST2,12,0,38.93,39.76,0.83,1.0,1,0.83,38.93,39.76,0.081776,0,
KKD19-ST2,13,0,40.4,40.91,0.51,1.0,1,0.51,40.4,40.91,0.007335,0,
KKD19-ST2,14,0,41.83,41.99,0.16,1.0,1,0.16,41.83,41.99,5e-06,0,
KKD19-ST2,16,0,45.88,46.15,0.27,1.0,1,0.27,45.88,46.15,1.7e-05,0,
KKD19-ST2,17,0,47.23,48.18,0.95,1.0,1,0.95,47.23,48.18,0.30036,0,
KKD19-ST2,18,0,49.2,49.54,0.34,1.0,1,0.34,49.2,49.54,3.2e-05,0,
KKD19-ST2,19,0,50.25,50.77,0.52,1.0,1,0.52,50.25,50.77,0.01402,0,
KKD19-ST2,20,0,51.67,52.52,0.85,1.0,1,0.85,51.67,52.52,0.185467,0,
KKD19-ST2,21,0,53.25,54.21,0.96,1.0,1,0.96,53.25,54.21,0.439891,0,
KKD19-ST2,22,0,54.48,54.78,0.3,1.0,1,0.3,54.48,54.78,1.4e-05,0,
KKD19-ST2,25,0,60.06,60.44,0.38,1.0,1,0.38,60.06,60.44,1.3e-05,0,
KKD19-ST2,26,0,62.62,63.09,0.47,1.0,1,0.47,62.62,63.09,0.007735,0,
KKD19-ST2,28,0,66.99,67.91,0.92,1.0,1,0.92,66.99,67.91,0.009679,0,
KKD19-ST2,32,0,77.75,78.69,0.94,1.0,1,0.94,77.75,78.69,0.006468,0,
KKD19-ST2,34,0,82.84,83.95,1.11,1.0,1,1.11,82.84,83.95,0.071983,0,
KKD19-ST2,35,0,84.62,85.28,0.66,1.0,1,0.66,84.62,85.28,0.02524,0,
KKD19-ST2,36,0,85.67,86.67,1.0,1.0,1,1.0,85.67,86.67,0.031048,0,
KKD19-ST2,37,0,87.42,88.49,1.07,1.0,1,1.07,87.42,88.49,0.007353,0,
KKD19-ST2,38,0,89.36,89.5,0.14,1.0,1,0.14,89.36,89.5,8e-06,0,
KKD19-ST2,41,0,97.24,97.53,0.29,1.0,1,0.29,97.24,97.53,1e-06,0,
KKD19-ST2,42,0,99.02,99.52,0.5,1.0,1,0.5,99.02,99.52,0.005728,0,
KKD19-ST2,44,0,102.39,102.98,0.59,1.0,1,0.59,102.39,102.98,0.001091,0,
KKD19-ST2,45,0,104.24,105.11,0.87,1.0,1,0.87,104.24,105.11,0.019018,0,
KKD19-ST2,47,0,107.7,108.43,0.73,1.0,1,0.73,107.7,108.43,0.004691,0,
KKD19-ST2,48,0,109.68,110.3,0.62,1.0,1,0.62,109.68,110.3,0.258319,0,
KKD19-ST2,49,0,112.26,113.01,0.75,1.0,1,0.75,112.26,113.01,0.039555,0,
KKD19-ST2,51,0,115.7,116.07,0.37,1.0,1,0.37,115.7,116.07,0.000446,0,
KKD19-ST2,52,0,116.92,118.07,1.15,1.0,1,1.15,116.92,118.07,0.120798,0,
KKD19-ST2,54,0,121.16,121.3,0.14,1.0,1,0.14,121.16,121.3,6e-06,0,
KKD19-ST2,59,0,134.83,135.12,0.29,1.0,1,0.29,134.83,135.12,7.8e-05,0,
KKD19-ST2,61,0,141.81,142.01,0.2,1.0,1,0.2,141.81,142.01,1.1e-05,0,
KKD19-ST2,64,0,147.8,148.47,0.67,1.0,1,0.67,147.8,148.47,0.011542,0,
KKD19-ST2,66,0,153.85,154.11,0.26,1.0,1,0.26,153.85,154.11,5.9e-05,0,
KKD19-ST2,67,0,154.47,154.79,0.32,1.0,1,0.32,154.47,154.79,0.000132,0,
KKD19-ST2,68,0,155.49,156.14,0.65,1.0,1,0.65,155.49,156.14,0.005989,0,
KKD19-ST2,69,0,156.79,157.37,0.58,1.0,1,0.58,156.79,157.37,0.015399,0,
KKD19-ST2,70,0,158.19,158.83,0.64,1.0,1,0.64,158.19,158.83,0.313142,0,
KKD19-ST2,71,0,159.54,160.64,1.1,1.0,1,1.1,159.54,160.64,0.021066,0,
KKD19-ST2,76,0,173.66,173.89,0.23,1.0,1,0.23,173.66,173.89,1.3e-05,0,
KKD19-ST2,77,0,174.88,175.68,0.8,1.0,1,0.8,174.88,175.68,0.237068,0,
KKD19-ST2,80,0,184.33,184.9,0.57,1.0,1,0.57,184.33,184.9,0.000853,0,
KKD19-ST2,81,0,185.17,186.23,1.06,1.0,1,1.06,185.17,186.23,0.037349,0,
KKD19-ST2,82,0,187.69,188.19,0.5,1.0,1,0.5,187.69,188.19,0.023836,0,
KKD19-ST2,84,0,192.18,193.32,1.14,1.0,1,1.14,192.18,193.32,0.03007,0,
KKD19-ST2,85,0,193.59,193.83,0.24,1.0,1,0.24,193.59,193.83,2e-06,0,
