file_id	lexicon_mode	pred_set	manual_event_count	pred_event_count	matched_manual_event_count	matched_pred_event_count	manual_filler_duration_sec	pred_filler_duration_sec	overlap_duration_sec	duration_recall	duration_precision	duration_f1	event_recall	event_precision	classifier_interval_count	classifier_duration_sec
CCH16-ST1	conservative	words_only	0	1	0	0	0	0.3	0.0	nan	0.0	nan	nan	0.0	0	0
CCH16-ST1	conservative	words_plus_classifier	0	1	0	0	0	0.3	0.0	nan	0.0	nan	nan	0.0	0	0
CCH16-ST1	permissive	words_only	14	9	9	9	3.33	2.23	2.23	0.6696696696696751	1.0	0.8021582733812989	0.6428571428571429	1.0	0	0
CCH16-ST1	permissive	words_plus_classifier	14	9	9	9	3.33	2.23	2.23	0.6696696696696751	1.0	0.8021582733812989	0.6428571428571429	1.0	0	0
CCH16-ST2	conservative	words_only	3	1	1	1	1.08	0.36	0.36	0.3333333333333333	1.0	0.5	0.3333333333333333	1.0	0	0
CCH16-ST2	conservative	words_plus_classifier	3	1	1	1	1.08	0.36	0.36	0.3333333333333333	1.0	0.5	0.3333333333333333	1.0	0	0
CCH16-ST2	permissive	words_only	17	11	10	10	4.024732	2.81	2.43	0.6037669226834766	0.8647686832740223	0.7110739768450792	0.5882352941176471	0.9090909090909091	0	0
CCH16-ST2	permissive	words_plus_classifier	17	11	10	10	4.024732	2.81	2.43	0.6037669226834766	0.8647686832740223	0.7110739768450792	0.5882352941176471	0.9090909090909091	0	0
CCM35-ST1	conservative	words_only	9	14	7	7	5.828754	4.51	2.125631	0.3646801218109277	0.47131498020599133	0.4111966780144063	0.7777777777777778	0.5	2	1.76
CCM35-ST1	conservative	words_plus_classifier	9	16	8	8	5.828754	6.27	2.435631	0.41786473434426213	0.38845782467767576	0.4026250385696342	0.8888888888888888	0.5	2	1.76
CCM35-ST1	permissive	words_only	25	19	15	15	10.432742	6.12	4.495631	0.4309155425600369	0.7345801569818701	0.5431886312821146	0.6	0.7894736842105263	2	1.76
CCM35-ST1	permissive	words_plus_classifier	25	21	17	17	10.432742	7.88	5.205631	0.49897051973948076	0.6606130153209452	0.5685255259927103	0.68	0.8095238095238095	2	1.76
CCM35-ST2	conservative	words_only	16	4	2	2	12.650946	1.27	0.86	0.06797910430875997	0.6771653543307349	0.12355481872703158	0.125	0.5	7	5.59
CCM35-ST2	conservative	words_plus_classifier	16	10	3	3	12.650946	6.86	1.973276	0.1559785459433932	0.2876495937270564	0.20227375749466098	0.1875	0.3	7	5.59
CCM35-ST2	permissive	words_only	42	17	13	13	23.574816	4.92	4.13	0.17518694377776833	0.8394308943089472	0.2898772865336809	0.30952380952380953	0.7647058823529411	7	5.59
CCM35-ST2	permissive	words_plus_classifier	42	22	19	18	23.574816	10.51	7.253276	0.30767053078106027	0.690130943193872	0.4256016034031771	0.4523809523809524	0.8181818181818182	7	5.59
CCS09-ST1	conservative	words_only	1	1	0	0	0.43	0.18	0.0	0.0	0.0	nan	0.0	0.0	0	0
CCS09-ST1	conservative	words_plus_classifier	1	1	0	0	0.43	0.18	0.0	0.0	0.0	nan	0.0	0.0	0	0
CCS09-ST1	permissive	words_only	6	5	3	3	1.64	0.78	0.51	0.31097560975609906	0.653846153846146	0.42148760330578483	0.5	0.6	0	0
CCS09-ST1	permissive	words_plus_classifier	6	5	3	3	1.64	0.78	0.51	0.31097560975609906	0.653846153846146	0.42148760330578483	0.5	0.6	0	0
CCS09-ST2	conservative	words_only	2	2	1	1	0.51	0.32	0.16	0.3137254901960686	0.5	0.3855421686746913	0.5	0.5	1	0.98
CCS09-ST2	conservative	words_plus_classifier	2	3	1	1	0.51	1.3	0.16	0.3137254901960686	0.12307692307692072	0.17679558011049326	0.5	0.3333333333333333	1	0.98
CCS09-ST2	permissive	words_only	8	5	3	3	1.3	0.58	0.36	0.27692307692307283	0.6206896551724161	0.3829787234042519	0.375	0.6	1	0.98
CCS09-ST2	permissive	words_plus_classifier	8	6	4	4	1.3	1.56	0.63	0.4846153846153768	0.4038461538461499	0.440559440559435	0.5	0.6666666666666666	1	0.98
CCS45-ST1	conservative	words_only	5	5	4	4	2.57	1.67	1.48	0.5758754863813232	0.8862275449101806	0.6981132075471702	0.8	0.8	3	2.8
CCS45-ST1	conservative	words_plus_classifier	5	8	4	4	2.57	4.47	1.48	0.5758754863813232	0.3310961968680094	0.42045454545454586	0.8	0.5	3	2.8
CCS45-ST1	permissive	words_only	9	9	8	8	4.34	3.11	2.92	0.6728110599078356	0.9389067524115764	0.7838926174496658	0.8888888888888888	0.8888888888888888	3	2.8
CCS45-ST1	permissive	words_plus_classifier	9	11	8	8	4.34	5.91	2.92	0.6728110599078356	0.4940778341793588	0.5697560975609773	0.8888888888888888	0.7272727272727273	3	2.8
CCS45-ST2	conservative	words_only	4	3	2	2	1.47	0.85	0.6	0.40816326530612385	0.7058823529411745	0.5172413793103454	0.5	0.6666666666666666	0	0
CCS45-ST2	conservative	words_plus_classifier	4	3	2	2	1.47	0.85	0.6	0.40816326530612385	0.7058823529411745	0.5172413793103454	0.5	0.6666666666666666	0	0
CCS45-ST2	permissive	words_only	9	7	6	6	2.104362	1.17	0.836049	0.39729306468204123	0.7145713691739691	0.5106634236129071	0.6666666666666666	0.8571428571428571	0	0
CCS45-ST2	permissive	words_plus_classifier	9	7	6	6	2.104362	1.17	0.836049	0.39729306468204123	0.7145713691739691	0.5106634236129071	0.6666666666666666	0.8571428571428571	0	0
CCT15-ST1	conservative	words_only	4	1	1	1	1.21	0.3	0.3	0.2479338842975064	1.0	0.3973509933774651	0.25	1.0	1	0.95
CCT15-ST1	conservative	words_plus_classifier	4	2	1	1	1.21	1.25	0.3	0.2479338842975064	0.23999999999998908	0.2439024390243777	0.25	0.5	1	0.95
CCT15-ST1	permissive	words_only	34	27	22	22	11.158275	7.66	6.776079	0.6072693736140966	0.8846056062419989	0.7201593962651133	0.6470588235294118	0.8148148148148148	1	0.95
CCT15-ST1	permissive	words_plus_classifier	34	27	22	22	11.158275	8.61	7.006079	0.6278818778498627	0.8137141630445656	0.7088204493242873	0.6470588235294118	0.8148148148148148	1	0.95
CCT15-ST2	conservative	words_only	8	4	3	3	2.774826	0.8	0.61	0.21983363165404382	0.762500000000002	0.34127538492999837	0.375	0.75	1	0.46
CCT15-ST2	conservative	words_plus_classifier	8	5	3	3	2.774826	1.26	0.61	0.21983363165404382	0.4841269841269872	0.3023674640783023	0.375	0.6	1	0.46
CCT15-ST2	permissive	words_only	38	29	28	28	11.132475	7.45	7.16	0.6431633732621095	0.9610738255033561	0.7706185644371495	0.7368421052631579	0.9655172413793104	1	0.46
CCT15-ST2	permissive	words_plus_classifier	38	29	28	28	11.132475	7.91	7.44	0.6683150135572747	0.9405815423514532	0.7814110409022397	0.7368421052631579	0.9655172413793104	1	0.46
EAU18-ST1	conservative	words_only	1	1	1	1	0.53	0.53	0.53	1.0	1.0	1.0	1.0	1.0	0	0
EAU18-ST1	conservative	words_plus_classifier	1	1	1	1	0.53	0.53	0.53	1.0	1.0	1.0	1.0	1.0	0	0
EAU18-ST1	permissive	words_only	7	4	4	4	2.446851	1.36	1.36	0.5558165308182499	1.0	0.7145013821468134	0.5714285714285714	1.0	0	0
EAU18-ST1	permissive	words_plus_classifier	7	4	4	4	2.446851	1.36	1.36	0.5558165308182499	1.0	0.7145013821468134	0.5714285714285714	1.0	0	0
EAU18-ST2	conservative	words_only	0	2	0	0	0	0.25	0.0	nan	0.0	nan	nan	0.0	0	0
EAU18-ST2	conservative	words_plus_classifier	0	2	0	0	0	0.25	0.0	nan	0.0	nan	nan	0.0	0	0
EAU18-ST2	permissive	words_only	12	11	10	10	4.176521	2.05	1.88	0.450135371760379	0.9170731707317101	0.6038684806435466	0.8333333333333334	0.9090909090909091	0	0
EAU18-ST2	permissive	words_plus_classifier	12	11	10	10	4.176521	2.05	1.88	0.450135371760379	0.9170731707317101	0.6038684806435466	0.8333333333333334	0.9090909090909091	0	0
ENZ20-ST1	conservative	words_only	4	1	1	1	1.27	0.14	0.14	0.11023622047244112	1.0	0.19858156028368823	0.25	1.0	0	0
ENZ20-ST1	conservative	words_plus_classifier	4	1	1	1	1.27	0.14	0.14	0.11023622047244112	1.0	0.19858156028368823	0.25	1.0	0	0
ENZ20-ST1	permissive	words_only	8	6	6	6	2.98	1.8	1.8	0.604026845637585	1.0	0.7531380753138084	0.75	1.0	0	0
ENZ20-ST1	permissive	words_plus_classifier	8	6	6	6	2.98	1.8	1.8	0.604026845637585	1.0	0.7531380753138084	0.75	1.0	0	0
ENZ20-ST2	conservative	words_only	0	0	0	0	0	0	0.0	nan	nan	nan	nan	nan	0	0
ENZ20-ST2	conservative	words_plus_classifier	0	0	0	0	0	0	0.0	nan	nan	nan	nan	nan	0	0
ENZ20-ST2	permissive	words_only	1	1	1	1	0.09	0.09	0.09	1.0	1.0	1.0	1.0	1.0	0	0
ENZ20-ST2	permissive	words_plus_classifier	1	1	1	1	0.09	0.09	0.09	1.0	1.0	1.0	1.0	1.0	0	0
ENZ31-ST1	conservative	words_only	0	0	0	0	0	0	0.0	nan	nan	nan	nan	nan	0	0
ENZ31-ST1	conservative	words_plus_classifier	0	0	0	0	0	0	0.0	nan	nan	nan	nan	nan	0	0
