file_id,task,MCPD_auto_baseline,MCPD_manual,MCPD_auto_vad,MCPD_auto_clf,abs_err_baseline,abs_err_vad,abs_err_clf,delta_vad_minus_base,delta_clf_minus_base,delta_clf_minus_vad
CCH16-ST1,ST1,0.821,0.741,0.821,0.821,0.07999999999999996,0.07999999999999996,0.07999999999999996,0.0,0.0,0.0
CCH16-ST2,ST2,0.77,0.837,0.744,0.77,0.06699999999999995,0.09299999999999997,0.06699999999999995,0.026000000000000023,0.0,-0.026000000000000023
CCM35-ST1,ST1,0.717,0.548,0.717,0.717,0.16899999999999993,0.16899999999999993,0.16899999999999993,0.0,0.0,0.0
CCM35-ST2,ST2,0.64,0.571,0.64,0.638,0.06900000000000006,0.06900000000000006,0.06700000000000006,0.0,-0.0020000000000000018,-0.0020000000000000018
CCS09-ST1,ST1,0.657,0.676,0.657,0.657,0.019000000000000017,0.019000000000000017,0.019000000000000017,0.0,0.0,0.0
CCS09-ST2,ST2,0.453,0.433,0.453,0.412,0.020000000000000018,0.020000000000000018,0.02100000000000002,0.0,0.0010000000000000009,0.0010000000000000009
CCS45-ST1,ST1,0.926,0.834,0.926,0.927,0.09200000000000008,0.09200000000000008,0.09300000000000008,0.0,0.0010000000000000009,0.0010000000000000009
CCS45-ST2,ST2,0.854,0.739,0.845,0.854,0.11499999999999999,0.10599999999999998,0.11499999999999999,-0.009000000000000008,0.0,0.009000000000000008
CCT15-ST1,ST1,0.48,0.423,0.48,0.466,0.056999999999999995,0.056999999999999995,0.04300000000000004,0.0,-0.013999999999999957,-0.013999999999999957
CCT15-ST2,ST2,0.5,0.486,0.5,0.5,0.014000000000000012,0.014000000000000012,0.014000000000000012,0.0,0.0,0.0
EAU18-ST1,ST1,0.908,0.762,0.908,0.908,0.14600000000000002,0.14600000000000002,0.14600000000000002,0.0,0.0,0.0
EAU18-ST2,ST2,1.3,1.034,1.3,1.3,0.266,0.266,0.266,0.0,0.0,0.0
ENZ20-ST1,ST1,0.65,0.589,0.65,0.65,0.061000000000000054,0.061000000000000054,0.061000000000000054,0.0,0.0,0.0
ENZ20-ST2,ST2,0.681,0.609,0.681,0.681,0.07200000000000006,0.07200000000000006,0.07200000000000006,0.0,0.0,0.0
ENZ31-ST1,ST1,0.828,0.556,0.828,0.828,0.2719999999999999,0.2719999999999999,0.2719999999999999,0.0,0.0,0.0
ENZ31-ST2,ST2,0.51,0.51,0.51,0.51,0.0,0.0,0.0,0.0,0.0,0.0
EUS11-ST1,ST1,1.847,1.453,1.847,1.847,0.3939999999999999,0.3939999999999999,0.3939999999999999,0.0,0.0,0.0
EUS11-ST2,ST2,2.657,2.313,2.657,2.657,0.34399999999999986,0.34399999999999986,0.34399999999999986,0.0,0.0,0.0
EUS32-ST1,ST1,0.795,0.735,0.773,0.795,0.06000000000000005,0.038000000000000034,0.06000000000000005,-0.02200000000000002,0.0,0.02200000000000002
EUS32-ST2,ST2,1.137,1.054,1.137,1.151,0.08299999999999996,0.08299999999999996,0.09699999999999998,0.0,0.014000000000000012,0.014000000000000012
IID15-ST1,ST1,0.913,0.693,0.913,0.922,0.22000000000000008,0.22000000000000008,0.2290000000000001,0.0,0.009000000000000008,0.009000000000000008
IID15-ST2,ST2,0.93,0.577,0.93,0.94,0.3530000000000001,0.3530000000000001,0.363,0.0,0.009999999999999898,0.009999999999999898
IID22-ST1,ST1,0.474,0.408,0.474,0.434,0.066,0.066,0.026000000000000023,0.0,-0.03999999999999998,-0.03999999999999998
IID22-ST2,ST2,0.753,0.627,0.753,0.753,0.126,0.126,0.126,0.0,0.0,0.0
IID35-ST1,ST1,0.977,0.67,0.977,0.987,0.30699999999999994,0.30699999999999994,0.31699999999999995,0.0,0.010000000000000009,0.010000000000000009
IID35-ST2,ST2,1.48,0.935,1.349,1.48,0.5449999999999999,0.4139999999999999,0.5449999999999999,-0.131,0.0,0.131
IID40-ST1,ST1,0.631,0.599,0.631,0.606,0.03200000000000003,0.03200000000000003,0.007000000000000006,0.0,-0.025000000000000022,-0.025000000000000022
IID40-ST2,ST2,0.644,0.455,0.644,0.6,0.189,0.189,0.14499999999999996,0.0,-0.04400000000000004,-0.04400000000000004
IID41-ST1,ST1,1.42,1.125,1.42,1.455,0.29499999999999993,0.29499999999999993,0.33000000000000007,0.0,0.03500000000000014,0.03500000000000014
IID41-ST2,ST2,1.444,0.879,1.444,1.444,0.565,0.565,0.565,0.0,0.0,0.0
KKD19-ST1,ST1,1.583,1.471,1.559,1.583,0.11199999999999988,0.08799999999999986,0.11199999999999988,-0.02400000000000002,0.0,0.02400000000000002
KKD19-ST2,ST2,1.4,1.081,1.015,1.4,0.31899999999999995,0.06600000000000006,0.31899999999999995,-0.2529999999999999,0.0,0.2529999999999999
